index,label,MaternalLine,FlowerHead,Surv_19964,Qubit,Meet_conc,Sample_Group,Google_Latitude,
1,3-4-4,2011-2599-1,2,Y,48.2,T,saint_clair,38.65150728,
2,3-4-3,2011-2599-1,2,Y,60.1,T,saint_clair,38.65150728,
3,6-1-12,2011-2613-1,6A,Y,18.4,T,N/A,40.20813715,
4,4-6-12,2011-2659-1,12B,Y,29.8,T,frederick,40.07116309,
5,5-2-8,2011-2613-1,8A,Y,25.2,T,fulton1,40.20813715,
6,1-6-5,2011-2664-1,14,Y,89.9,T,fulton2,40.20744448,
7,2-1-1,2011-2661-1,7B,Y,36.5,T,tazewell,40.69584984,
8,3-3-1,2011-2635-1,28,Y,29.2,T,alton,38.86501905,
9,8-6-1,2011-2598-1,L1B,Y,33.7,T,jersey,38.96139842,
10,6-4-5,2011-2636-1,5,Y,47,T,cass,40.01789753,
11,6-5-7,2011-2623-1,7A,Y,19.2,T,N/A,41.34414603,
12,2-6-8,2011-2598-1,L13B,Y,39.6,T,jersey,38.96139842,
13,5-6-5,2011-2629-1,28C,Y,145,T,marshal,41.02868893,
14,10-6-5,2011-2613-1,14B,Y,165,T,fulton1,40.20813715,
15,1-2-6,2011-2623-1,30C,Y,70.1,T,hennepin,41.34414603,
16,9-6-8,2011-2635-1,17,Y,83.3,T,alton,38.86501905,
17,9-5-3,2011-2664-1,7,Y,93.7,T,fulton2,40.20744448,
18,1-6-11,2011-2636-1,9,Y,149,T,cass,40.01789753,
19,2-3-5,2011-2675-1,2A,Y,54.8,T,schuyler,40.07010712,
20,7-1-6,2011-2650-1,18A,Y,103,T,woodford,40.84668797,
21,2-4-1,2011-2666-1,18A,Y,135,T,fulton3,40.46699903,
22,10-2-3,2011-2636-1,23,Y,99.7,T,cass,40.01789753,
23,4-4-1,2011-2664-1,29,Y,77,T,fulton2,40.20744448,
24,5-2-11,2011-2623-1,25C,Y,43.3,T,hennepin,41.34414603,
25,2-6-12,2011-2675-1,25A,Y,120,T,schuyler,40.07010712,
26,6-3-5,2011-2618-1,7B,Y,60.2,T,peoria,40.69352233,
27,8-6-12,2011-2598-1,L3B,Y,119,T,jersey,38.96139842,
28,9-4-8,2011-2618-1,20C,Y,58,T,peoria,40.69352233,
29,10-6-12,2011-2650-1,20C,Y,95.6,T,woodford,40.84668797,
30,9-6-11,2011-2661-1,20B,Y,92.9,T,tazewell,40.69584984,
31,10-5-4,2011-2620-1,14C,Y,97.4,T,morgan,39.87546016,
32,3-1-8,2011-2638-1,15C,Y,132,T,scott,39.78656977,
33,7-5-8,2011-2629-1,17B,Y,72.2,T,marshal,41.02868893,
34,6-3-8,2011-2609-1,18C,Y,105,T,madison,38.69652811,
35,7-5-12,2011-2599-1,24,Y,56.6,T,saint_clair,38.65150728,
36,5-4-2,2011-2599-1,9,Y,66.9,T,saint_clair,38.65150728,
37,10-3-5,2011-2661-1,12A,Y,120,T,tazewell,40.69584984,
38,11-5-8,2011-2638-1,22A,Y,375,T,scott,39.78656977,
39,8-1-6,2011-2620-1,30B,Y,287,T,morgan,39.87546016,
40,7-6-2,2011-2618-1,3C,Y,281,T,peoria,40.69352233,
41,2-6-3,2011-2636-1,2,Y,236,T,cass,40.01789753,
42,6-3-6,2011-2609-1,18C,Y,324,T,madison,38.69652811,
43,6-4-9,2011-2613-1,1A,Y,299,T,fulton1,40.20813715,
44,5-1-1,2011-2636-1,18,Y,371,T,cass,40.01789753,
45,2-3-3,2011-2664-1,12,Y,413,T,fulton2,40.20744448,
46,4-3-4,2011-2675-1,19B,Y,133,T,schuyler,40.07010712,
47,3-3-10,2011-2638-1,6A,Y,184,T,scott,39.78656977,
48,3-6-11,2011-2675-1,9B,Y,100,T,schuyler,40.07010712,
49,1-6-8,2011-2618-1,1B,Y,19.9,T,N/A,40.69352233,
50,8-5-2,2011-2620-1,12B,Y,51.8,T,morgan,39.87546016,
51,3-1-5,2011-2635-1,2,Y,153,T,alton,38.86501905,
52,3-3-5,2011-2635-1,21,Y,131,T,alton,38.86501905,
