"index","label","MaternalLine","FlowerHead","Sample_Group","Id","Country","State","County","Latitude","Longitude","Google_latitude","Google_longitude","Locality","Location Details","PlantingDate","FirstLeafDate","TransplantDate","flwrBud_19844","flwrBud_19851","latBuds_19844","leafLong_19844","leafLong_19851","leafLong_19858","leafWide_19844","leafWide_19851","leafWide_19858","notes_19851","notes_19865","notes_19872","notes_19879","notes_19886","notes_19893","notes_19900","notes_19907","notes_19915","notes_19929","notes_19935","notes_19942","notes_19949","notes_19957","notes_19964","notes_19970","notes_19978","numDeadF_19898","numDeadF_19900","numDeadF_19902","numDeadF_19905","numDeadF_19907","numDeadF_19912","numDeadF_19915","numDeadF_19919","numDeadF_19922","numDeadF_19926","numDeadF_19929","numDeadF_19935","numDeadF_19942","numDeadF_19949","numDeadF_19957","numDeadF_19964","numDeadF_19970","numDeadF_19978","numDiscF_19853","numDiscF_19856","numDiscF_19858","numDiscF_19860","numDiscF_19863","numDiscF_19865","numDiscF_19867","numDiscF_19870","numDiscF_19872","numDiscF_19874","numDiscF_19877","numDiscF_19879","numDiscF_19881","numDiscF_19884","numDiscF_19886","numDiscF_19888","numDiscF_19891","numDiscF_19893","numDiscF_19895","numDiscF_19898","numDiscF_19900","numDiscF_19902","numDiscF_19905","numDiscF_19907","numDiscF_19912","numDiscF_19915","numDiscF_19919","numDiscF_19922","numDiscF_19926","numDiscF_19929","numDiscF_19935","numDiscF_19942","numDiscF_19949","numDiscF_19957","numDiscF_19964","numDiscF_19970","numDiscF_19978","numFlwrB_19853","numFlwrB_19856","numFlwrB_19858","numFlwrB_19860","numFlwrB_19863","numFlwrB_19865","numFlwrB_19867","numFlwrB_19870","numFlwrB_19872","numFlwrB_19874","numFlwrB_19877","numFlwrB_19879","numFlwrB_19881","numFlwrB_19884","numFlwrB_19886","numFlwrB_19888","numFlwrB_19891","numFlwrB_19893","numFlwrB_19895","numFlwrB_19898","numFlwrB_19900","numFlwrB_19902","numFlwrB_19905","numFlwrB_19907","numFlwrB_19912","numFlwrB_19915","numFlwrB_19919","numFlwrB_19922","numFlwrBud_19844","numLSt_19865","numLSt_19872","numLSt_19879","numLSt_19886","numLSt_19893","numLSt_19900","numLSt_19907","numLSt_19915","numLSt_19929","numLvs_19844","numLvs_19851","numLvs_19858","numRayF_19853","numRayF_19856","numRayF_19858","numRayF_19860","numRayF_19863","numRayF_19865","numRayF_19867","numRayF_19870","numRayF_19872","numRayF_19874","numRayF_19877","numRayF_19879","numRayF_19881","numRayF_19884","numRayF_19886","numRayF_19888","numRayF_19891","numRayF_19893","numRayF_19895","numRayF_19898","numRayF_19900","numRayF_19902","numRayF_19905","numRayF_19907","numRayF_19912","numRayF_19915","numRayF_19919","numRayF_19922","numRayF_19926","numRayF_19929","numRayF_19935","numRayF_19942","numRayF_19949","numRayF_19957","numRayF_19964","numRayF_19970","numRayF_19978","numRos_19844","numRos_19851","numRos_19858","numRos_19865","numRos_19872","numRos_19879","numRos_19886","numRos_19893","numRos_19900","numRos_19907","numRos_19915","numRos_19929","numRos_19942","numStem_19844","numStem_19851","numStem_19858","numStem_19865","numStem_19872","numStem_19879","numStem_19886","numStem_19893","numStem_19900","numStem_19907","numStem_19915","numStem_19929","numStem_19942","numStem_19957","numStem_19970","stemLength_19844","stemLength_19851","stemLength_19858","stemLength_19865","stemLength_19872","stemLength_19879","stemLength_19886","stemLength_19893","stemLength_19900","stemLength_19907","stemLength_19915","stemLength_19929","stemLength_19942","stemLength_19957","stemLength_19970","Surv_19844","Surv_19851","Surv_19865","Surv_19872","Surv_19879","Surv_19886","Surv_19893","Surv_19900","Surv_19907","Surv_19915","Surv_19929","Surv_19935","Surv_19942","Surv_19949","Surv_19957","Surv_19964","Surv_19970","Surv_19978","Taxon","Area","Bed","Position/Spot","Inventory Date","Status","Plant Count","Planting Material Type","Source","Provenance","Property","Ipen","Restriction","Date received","Quantity received","Collector","Collection Num","Collection Date","Sampling method","EO ID","EO number","Property ownership","Notes on Habitat and soil","Mother Plant/Maternal Pop","Family","Seed/Lot #","Index Seminum Year","Sample_Name","true_lat","true_long","N"
1,"3/4/2004","2011-2599-1","2","saint_clair",1180002,"United States","Illinois","Saint Clair",38.6494444,-90.1161111,38.65150728,-90.10298739,NA,"Fairmont City, Maternal lines = 28, Seedheads = 28; 2 packets","2/29/2024","3/7/2024","4/12/2024",NA,NA,0,10.4,13.2,17.5,1.7,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,13,16,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",2632,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,28,"Smith","s.n.","5-Dec-97",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_001",38.6494444,-90.1161111,20
4,"4/6/2012","2011-2659-1","12B","frederick",1180062,"United States","Illinois","Frederick",NA,NA,40.07116309,-90.42957196,NA,"Frederick Landing, Maternal lines = 15, Seedheads = 44; 2 packets","2/29/2024","3/6/2024","4/12/2024","N","0",0,13.1,17.6,20.2,1.6,1.7,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,3,4,4,4,7,7,7,10,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,5,4,6,6,6,9,9,14,24,42,73,NA,0,0,0,0,0,0,2,2,2,3,3,3,3,2,2,1,0,0,1,2,4,4,5,5,4,4,3,0,0,0,1,3,3,8,10,9,11,10,13,12,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,3,1,0,0,0,0,0,0,3,2,4,2,1,0,5,6,17,42,25,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.4,10.2,21.2,35,49.6,64.3,65.6,62.1,61.5,65.2,64.9,65.3,66.2,64.2,64.2,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",4101,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2011-2659","Project specific use only",2011-12-01,44,"Smith","s.n.","1-Dec-11",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_004",40.07116309,-90.42957196,23
5,"5/2/2008","2011-2613-1","8A","fulton1",1180016,"United States","Illinois","Fulton",40.2047222,-90.1994444,40.20813715,-90.18724498,NA,"Anderson Lake, Maternal lines = 30, Seedheads = 61; 2 packets","2/29/2024","3/7/2024","4/12/2024","N","0",2,15.7,24.9,25.5,1.9,2.5,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,14,22,25,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,2,3,2,2,2,1,1,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2,1.8,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",5913,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,61,"Smith","s.n.","1-Oct-00",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_005",40.2047222,-90.1994444,21
6,"1/6/2005","2011-2664-1","14","fulton2",1180067,"United States","Illinois","Fulton",40.2047222,-90.1994444,40.20744448,-90.18719999,NA,"Anderson Lake, Maternal lines = 31, Seedheads = 31","2/29/2024","3/12/2024","4/12/2024",NA,NA,2,10.1,14,21.5,1.5,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,16,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,13,15,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,24,27,10,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,63.4,92.1,122.3,123.2,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",2875,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,31,"Smith","s.n.","21-Nov-97",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_006",40.2047222,-90.1994444,28
7,"2/1/2001","2011-2661-1","7B","tazewell",1180064,"United States","Illinois","Tazewell",NA,NA,40.69584984,-89.54394792,NA,"Cooper park South, Maternal lines = 43, Seedheads = 73; 4 packets","2/29/2024","3/9/2024","4/12/2024",NA,NA,1,11.6,16.8,25.8,2,1.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tip of apical meristem is damaged/dead",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,73,108,130,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,NA,0,0,0,0,2,7,6,9,7,10,14,17,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,54,28,14,13,1,2,0,3,1,2,1,1,3,2,1,1,1,0,0,1,1,2,1,2,2,2,2,2,2,2,2,2,NA,NA,2.4,10.2,26.5,50.6,56.2,51.3,73,80.4,86.8,75.6,78.1,76.5,76.4,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",6976,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,73,"Smith","s.n.","1-Oct-00",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_007",40.69584984,-89.54394792,26
8,"3/3/2001","2011-2635-1","28","alton",1180038,"United States","Illinois","Alton",NA,NA,38.86501905,-90.22302348,NA,"West Alton, Maternal lines = 32, Seedheads = 32; 2 packets","2/29/2024","3/6/2024","4/12/2024",NA,NA,0,10.1,13.5,17.9,1.7,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,12,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",2831,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,32,"Smith","s.n.","7-Nov-99",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_008",38.86501905,-90.22302348,23
9,"8/6/2001","2011-2598-1","L1B","jersey",1180001,"United States","Illinois","Jersey",NA,NA,38.96139842,-90.51481032,NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets","2/29/2024","3/7/2024","4/12/2024",NA,"0",0,10,16.9,22.6,1.9,2.4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,11,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",9628,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,98,"Smith","s.n.","8-Nov-97",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_009",38.96139842,-90.51481032,36
13,"5/6/2005","2011-2629-1","28C","marshal",1180032,"United States","Illinois","Marshal",41.045,-89.4311111,41.02868893,-89.43846248,NA,"Sparland, Maternal lines = 30, Seedheads = 90; 3 packets","2/29/2024","3/7/2024","4/12/2024",NA,"0",0,11.6,20.4,20.6,2.1,2.7,2.5,NA,NA,NA,NA,NA,NA,NA,"Stem just beginning to form",NA,"Abnormal stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,14,35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,10,13,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,4,22,16,8,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,NA,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,42,65.5,88.9,87.6,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",8786,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,90,"Smith","s.n.","11-Nov-99",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_013",41.045,-89.4311111,32
15,"1/2/2006","2011-2623-1","30C","hennepin",1180026,"United States","Illinois","Hennepin",NA,NA,41.34414603,-89.55849692,NA,"Hennepin Bridge, Maternal lines = 30, Seedheads = 90; 6 packets","2/28/2024","3/8/2024","4/12/2024","N","0",8,12.5,12.5,15.4,2,1.3,1.6,NA,NA,NA,NA,"5 of 8 discs senesced","9 of 10 discs senesced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,8,9,9,12,12,12,13,13,16,17,18,29,31,0,0,0,0,0,0,1,2,3,3,5,5,6,6,8,7,9,10,12,2,2,2,4,4,5,6,6,7,7,11,10,18,22,33,45,59,64,1,1,2,3,4,3,3,2,3,1,2,4,4,1,2,5,3,5,6,10,15,11,13,13,11,16,15,9,0,7,9,5,7,10,9,15,15,18,15,46,70,0,0,0,0,1,2,1,1,1,2,1,2,0,2,1,0,1,1,1,2,0,4,2,2,1,3,2,4,3,1,3,7,11,21,17,6,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,8.2,17.6,26.8,29,28.6,30.4,29.8,28.9,27.5,NA,62,28.5,29.2,33.1,33.1,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",2883,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,90,"Smith","s.n.","11-Nov-99",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_015",41.34414603,-89.55849692,25
19,"2/3/2005","2011-2675-1","2A","schuyler",1180078,"United States","Illinois","Schuyler",40.0672223,-90.4275,40.07010712,-90.42899628,NA,"Frederick Borrow Pit, Maternal lines = 30, Seedheads = 90; 3 packets","2/29/2024","3/8/2024","4/12/2024",NA,NA,0,12,20.5,24.1,1.6,1.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,9,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Boltonia decurrens","MBG Seed Bank","CCSD Seed Bank Freezer",NA,2023-12-01,"Dormant",8728,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve",NA,"Project specific use only",2011-12-01,90,"Smith","s.n.","7-Oct-99",NA,NA,NA,NA,"Open bottomland/floodplain",NA,"Asteraceae",NA,NA,"Boltonia_019",40.0672223,-90.4275,32
