Name,OriginID,DestinationID,DestinationRank,Total_Length,Shape_Length
saint_clair - saint_clair,1,1,1,0.000000000000000,0.000000000000000
saint_clair - madison,1,17,2,4143.725136982215190,2601.619496212892955
saint_clair - alton,1,6,3,41656.986913749482483,24220.687481533852406
saint_clair - jersey,1,7,4,71967.169098737533204,48341.309844359238923
saint_clair - scott,1,16,5,174251.130201137275435,134197.973070867650677
saint_clair - morgan,1,15,6,183801.155001619074028,141718.747114007797791
saint_clair - cass,1,13,7,206676.788373156654416,155511.076934812444961
saint_clair - schuyler,1,10,8,213196.877431405620882,160643.179929059610004
saint_clair - frederick,1,2,9,213199.243215269059874,160643.967601069627563
saint_clair - fulton1,1,3,10,241460.549468128476292,172869.903588333691005
saint_clair - fulton2,1,4,11,241460.549468128476292,172869.903588333691005
saint_clair - fulton3,1,12,12,287296.616798988019582,207202.006495428853668
saint_clair - tazewell,1,5,13,330041.662410508957691,234712.854393288696883
saint_clair - peoria,1,14,14,332704.186576833715662,237341.735678314173128
saint_clair - woodford,1,11,15,354242.763822439534124,256994.393957550259074
saint_clair - marshal,1,8,16,373560.300990602001548,274738.046138435427565
saint_clair - hennepin,1,9,17,425830.790131476707757,304950.522412674035877
frederick - frederick,2,2,1,0.000000000000000,0.000000000000000
frederick - schuyler,2,10,2,2.365783863427832,2.365358424345872
frederick - cass,2,13,3,6522.454842112423648,5981.645905652682814
frederick - fulton1,2,3,4,28261.306252859449160,24136.033187235829246
frederick - fulton2,2,4,5,28261.306252859449160,24136.033187235829246
frederick - morgan,2,15,6,29398.088213649978570,26325.010992400530085
frederick - scott,2,16,7,38948.113014131769887,34242.334921500631026
frederick - fulton3,2,12,8,74097.373583718974260,65895.228408673516242
frederick - tazewell,2,5,9,116842.419195239926921,102244.346014976879815
frederick - peoria,2,14,10,119504.943361564670340,104446.317873758976930
frederick - woodford,2,11,11,141043.520607170532458,122318.685709070268786
frederick - jersey,2,7,12,141232.074116531555774,124286.877357631106861
frederick - marshal,2,8,13,160361.057775332999881,138398.022257324540988
frederick - alton,2,6,14,197492.318931410525693,137568.901552389375865
frederick - hennepin,2,9,15,212631.546916207706090,160112.838691445649602
frederick - saint_clair,2,1,16,213199.243215269088978,160643.967601069627563
frederick - madison,2,17,17,214484.693850830080919,159173.988185127032921
fulton1 - fulton1,3,3,1,0.000000000000000,0.000000000000000
fulton1 - fulton2,3,4,2,0.000000000000000,0.000000000000000
fulton1 - frederick,3,2,3,28261.306252859449160,24136.033187235829246
fulton1 - schuyler,3,10,4,28263.672036722877237,24138.379181688145763
fulton1 - cass,3,13,5,34783.761094971880084,29340.271114855633641
fulton1 - fulton3,3,12,6,45836.067330859528738,42375.175324568474025
fulton1 - morgan,3,15,7,57659.394466509431368,49489.563280180649599
fulton1 - scott,3,16,8,67209.419266991229961,56717.118555432403809
fulton1 - tazewell,3,5,9,88581.112942380481400,78429.544655757985311
fulton1 - peoria,3,14,10,91243.637108705224819,80694.296004681018530
fulton1 - woodford,3,11,11,112782.214354311072384,98979.066639776239754
fulton1 - marshal,3,8,12,132099.751522473554360,115467.672403497927007
fulton1 - jersey,3,7,13,169493.380369391001295,140942.907379064068664
fulton1 - hennepin,3,9,14,184370.240663348231465,139059.275134468392935
fulton1 - alton,3,6,15,225753.625184269971214,150965.128676184860524
fulton1 - saint_clair,3,1,16,241460.549468128534500,172869.903588333691005
fulton1 - madison,3,17,17,242746.000103689526441,171141.795604515384184
fulton2 - fulton1,4,3,1,0.000000000000000,0.000000000000000
fulton2 - fulton2,4,4,2,0.000000000000000,0.000000000000000
fulton2 - frederick,4,2,3,28261.306252859449160,24136.033187235829246
fulton2 - schuyler,4,10,4,28263.672036722877237,24138.379181688145763
fulton2 - cass,4,13,5,34783.761094971880084,29340.271114855633641
fulton2 - fulton3,4,12,6,45836.067330859528738,42375.175324568474025
fulton2 - morgan,4,15,7,57659.394466509431368,49489.563280180649599
fulton2 - scott,4,16,8,67209.419266991229961,56717.118555432403809
fulton2 - tazewell,4,5,9,88581.112942380481400,78429.544655757985311
fulton2 - peoria,4,14,10,91243.637108705224819,80694.296004681018530
fulton2 - woodford,4,11,11,112782.214354311072384,98979.066639776239754
fulton2 - marshal,4,8,12,132099.751522473554360,115467.672403497927007
fulton2 - jersey,4,7,13,169493.380369391001295,140942.907379064068664
fulton2 - hennepin,4,9,14,184370.240663348231465,139059.275134468392935
fulton2 - alton,4,6,15,225753.625184269971214,150965.128676184860524
fulton2 - saint_clair,4,1,16,241460.549468128534500,172869.903588333691005
fulton2 - madison,4,17,17,242746.000103689526441,171141.795604515384184
tazewell - tazewell,5,5,1,0.000000000000000,0.000000000000000
tazewell - peoria,5,14,2,2662.524166324739326,2629.022151870077778
tazewell - woodford,5,11,3,24201.101411930594622,22368.655579500300519
tazewell - fulton3,5,12,4,42745.045611520952662,36481.920077693372150
tazewell - marshal,5,8,5,43518.638580093072960,40106.921893874139641
tazewell - fulton1,5,3,6,88581.112942380481400,78429.544655757985311
tazewell - fulton2,5,4,7,88581.112942380481400,78429.544655757985311
tazewell - hennepin,5,9,8,95789.127720967779169,71514.802843372614007
tazewell - frederick,5,2,9,116842.419195239926921,102244.346014976879815
tazewell - schuyler,5,10,10,116844.784979103351361,102246.625099838114693
