IID,Pop,Sample_Group
1,saint clair,saint_clair
2,saint clair,saint_clair
4,frederick,frederick
5,fulton,fulton1
6,fulton,fulton2
7,tazewell,tazewell
8,alton,alton
9,jersey,jersey
10,cass,misID
12,jersey,jersey
13,marshal,marshal
14,fulton,fulton1
15,hennepin,hennepin
16,alton,alton
17,fulton,fulton2
18,cass,misID
19,schuyler,schuyler
20,woodford,woodford
21,fulton,fulton3
22,cass,cass
23,fulton,fulton2
24,hennepin,hennepin
25,schuyler,schuyler
26,peoria,peoria
27,jersey,jersey
28,peoria,peoria
29,woodford,woodford
30,tazewell,tazewell
31,morgan,morgan
32,scott,scott
33,marshal,marshal
34,madison,madison
35,saint clair,saint_clair
36,saint clair,saint_clair
37,tazewell,tazewell
38,scott,scott
39,morgan,morgan
40,peoria,peoria
41,cass,misID
42,madison,madison
43,fulton,fulton1
44,cass,cass
45,fulton,fulton2
46,schuyler,schuyler
47,scott,scott
48,schuyler,schuyler
50,morgan,morgan
51,alton,alton
52,alton,alton
53,hennepin,hennepin
54,peoria,peoria
55,fulton,fulton2
56,hennepin,hennepin
57,hennepin,hennepin
58,jersey,jersey
59,morgan,morgan
60,hennepin,hennepin
61,fulton,fulton1
62,fulton,fulton2
63,woodford,woodford
64,saint clair,saint_clair
65,hennepin,hennepin
66,marshal,marshal
67,jersey,jersey
68,cass,misID
69,cass,misID
70,tazewell,tazewell
71,morgan,morgan
72,madison,madison
73,marshal,marshal
74,fulton,fulton3
75,scott,scott
76,morgan,morgan
77,woodford,woodford
78,frederick,frederick
79,schuyler,schuyler
80,woodford,woodford
81,hennepin,hennepin
82,cass,misID
83,jersey,jersey
84,schuyler,schuyler
85,woodford,woodford
86,scott,scott
87,marshal,marshal
88,fulton,fulton2
89,marshal,marshal
90,marshal,marshal
91,jersey,jersey
92,fulton,fulton1
93,fulton,fulton3
94,scott,scott
95,fulton,fulton3
96,morgan,morgan
97,frederick,frederick
98,peoria,peoria
99,fulton,fulton3
100,fulton,fulton1
101,schuyler,schuyler
102,jersey,jersey
103,jersey,jersey
104,cass,misID
105,peoria,peoria
106,fulton,fulton1
107,woodford,woodford
108,peoria,peoria
109,morgan,morgan
110,fulton,fulton2
111,fulton,fulton3
112,fulton,fulton3
113,fulton,fulton2
114,saint clair,saint_clair
115,frederick,frederick
116,peoria,peoria
117,fulton,fulton3
118,schuyler,schuyler
119,schuyler,schuyler
120,fulton,fulton2
121,fulton,fulton2
123,woodford,woodford
124,woodford,woodford
125,marshal,marshal
126,tazewell,tazewell
127,alton,alton
128,tazewell,tazewell
129,schuyler,schuyler
130,marshal,marshal
131,hennepin,hennepin
132,marshal,marshal
133,schuyler,schuyler
134,hennepin,hennepin
135,marshal,marshal
136,scott,scott
137,marshal,marshal
138,schuyler,schuyler
139,madison,madison
140,frederick,frederick
141,madison,madison
142,woodford,woodford
143,hennepin,hennepin
144,scott,scott
145,alton,alton
146,scott,scott
147,fulton,fulton3
148,schuyler,schuyler
149,fulton,fulton1
150,woodford,woodford
151,scott,scott
152,schuyler,schuyler
153,alton,alton
154,hennepin,hennepin
155,saint clair,saint_clair
157,frederick,frederick
158,fulton,fulton1
159,fulton,fulton3
160,scott,scott
161,peoria,peoria
162,frederick,frederick
163,marshal,marshal
164,schuyler,schuyler
165,madison,madison
166,cass,misID
167,schuyler,schuyler
168,tazewell,tazewell
169,saint clair,saint_clair
170,woodford,woodford
171,jersey,jersey
172,fulton,fulton1
173,cass,cass
174,schuyler,schuyler
175,peoria,peoria
176,saint clair,saint_clair
177,peoria,peoria
178,saint clair,saint_clair
179,fulton,fulton1
180,marshal,marshal
181,peoria,peoria
182,hennepin,hennepin
183,cass,cass
184,madison,madison
185,woodford,woodford
186,tazewell,tazewell
187,schuyler,schuyler
188,schuyler,schuyler
189,fulton,fulton3
190,jersey,jersey
191,marshal,marshal
192,scott,scott
193,fulton,fulton2
194,cass,cass
195,marshal,marshal
196,saint clair,saint_clair
197,frederick,frederick
198,morgan,morgan
199,cass,misID
200,morgan,morgan
201,woodford,woodford
202,fulton,fulton3
203,madison,madison
204,morgan,morgan
205,hennepin,hennepin
206,cass,misID
