Sample_Name,PlantingDate,FirstLeafDate,Disc.Flower.Date.2024
Boltonia_003,2024-02-29,2024-03-07,2024-05-27
Boltonia_004,2024-02-29,2024-03-06,2024-06-14
Boltonia_006,2024-02-29,2024-03-12,2024-08-29
Boltonia_007,2024-02-29,2024-03-09,2024-08-14
Boltonia_012,2024-02-29,2024-03-10,2024-08-07
Boltonia_013,2024-02-29,2024-03-07,2024-08-29
Boltonia_015,2024-02-28,2024-03-08,2024-05-24
Boltonia_023,2024-02-29,2024-03-07,2024-07-18
Boltonia_024,2024-02-29,2024-03-07,2024-05-22
Boltonia_028,2024-02-29,2024-03-08,2024-09-04
Boltonia_033,2024-02-29,2024-03-07,2024-05-24
Boltonia_036,2024-02-29,2024-03-09,2024-08-22
Boltonia_046,2024-02-29,2024-03-07,2024-08-22
Boltonia_049,2024-02-29,2024-03-07,2024-05-15
Boltonia_050,2024-02-29,2024-03-06,2024-05-24
Boltonia_053,2024-02-29,2024-03-06,2024-05-24
Boltonia_054,2024-02-29,2024-03-06,2024-06-03
Boltonia_056,2024-02-29,2024-03-05,2024-06-14
Boltonia_057,2024-02-29,2024-03-07,2024-05-24
Boltonia_058,2024-02-29,2024-03-07,2024-06-14
Boltonia_059,2024-03-01,2024-03-10,2024-08-07
Boltonia_060,2024-03-01,2024-03-08,2024-05-27
Boltonia_064,2024-03-01,2024-03-08,2024-07-15
Boltonia_065,2024-02-29,2024-03-08,2024-05-29
Boltonia_066,2024-02-29,2024-03-08,2024-08-07
Boltonia_067,2024-02-29,2024-03-05,2024-05-29
Boltonia_072,2024-02-29,2024-03-08,2024-09-25
Boltonia_074,2024-02-29,2024-03-08,2024-05-24
Boltonia_075,2024-02-29,2024-03-07,2024-09-12
Boltonia_078,2024-02-29,2024-03-07,2024-06-03
Boltonia_083,2024-02-29,2034-03-17,2024-08-29
Boltonia_084,2024-02-29,2024-03-08,2024-05-27
Boltonia_085,2024-02-29,2024-03-06,2024-08-07
Boltonia_086,2024-02-29,NA,2024-09-25
Boltonia_092,2024-02-29,2024-03-08,2024-08-22
Boltonia_093,2024-02-29,2024-03-05,2024-05-29
Boltonia_094,2024-02-29,2024-03-08,2024-07-31
Boltonia_095,2024-02-29,2024-03-21,2024-06-28
Boltonia_099,2024-02-29,2024-03-06,2024-08-14
Boltonia_100,2024-02-29,2024-03-14,2024-08-14
Boltonia_102,2024-02-29,2024-03-07,2024-06-12
Boltonia_103,2024-02-29,2024-03-07,2024-05-31
Boltonia_105,2024-02-29,2024-03-07,2024-08-29
Boltonia_109,2024-03-01,2024-03-07,2024-05-20
Boltonia_110,2024-02-29,2024-03-10,2024-07-25
Boltonia_117,2024-03-01,2024-03-07,2024-05-29
Boltonia_118,2024-02-29,2024-03-07,2024-05-17
Boltonia_119,2024-03-02,2024-03-10,2024-08-22
Boltonia_122,2024-02-29,2024-03-06,2024-08-14
Boltonia_127,2024-02-29,NA,2024-08-29
Boltonia_129,2024-02-29,2024-03-06,2024-06-03
Boltonia_133,2024-02-28,2024-03-21,2024-07-31
Boltonia_134,2024-02-29,2024-03-07,2024-05-15
Boltonia_136,2024-02-29,2024-03-06,2024-08-07
Boltonia_138,2024-02-29,2024-03-08,2024-08-07
Boltonia_140,2024-02-28,2024-03-05,2024-06-05
Boltonia_141,2024-02-29,2024-03-10,2024-07-15
Boltonia_143,2024-02-29,2024-03-08,2024-05-24
Boltonia_146,2024-02-29,2024-03-08,2024-08-22
Boltonia_147,2024-02-29,2024-03-07,2024-05-15
Boltonia_148,2024-02-29,2024-03-07,2024-07-25
Boltonia_149,2024-02-29,2024-03-07,2024-08-07
Boltonia_153,2024-02-29,2024-03-08,2024-06-07
Boltonia_155,2024-02-29,2024-03-07,2024-09-12
Boltonia_164,2024-03-01,2024-03-10,2024-08-22
Boltonia_167,2024-02-29,2024-03-08,2024-05-29
Boltonia_169,2024-02-29,2024-03-07,2024-08-29
Boltonia_172,2024-02-29,2024-03-08,2024-05-15
Boltonia_174,2024-02-29,2024-03-07,2024-08-22
Boltonia_176,2024-02-29,2024-03-07,2024-06-03
Boltonia_177,2024-02-29,2024-03-08,2024-08-14
Boltonia_180,2024-02-29,2024-03-06,2024-05-20
Boltonia_181,2024-02-28,2024-03-12,2024-05-27
Boltonia_187,2024-02-29,2024-03-06,2024-08-22
Boltonia_188,2024-02-29,2024-03-07,2024-06-10
Boltonia_189,2024-02-29,2024-03-07,2024-08-14
Boltonia_190,2024-02-29,2024-03-08,2024-05-27
Boltonia_195,2024-02-29,2024-03-07,2024-05-29
Boltonia_198,2024-02-29,2024-03-09,2024-07-31
Boltonia_200,2024-02-29,2024-03-09,2024-06-21
Boltonia_201,2024-02-29,2024-03-07,2024-08-07
Boltonia_202,2024-02-29,2024-03-06,2024-05-29
Boltonia_209,2024-03-02,2024-03-12,2024-09-04
Boltonia_211,2024-02-29,2024-03-10,2024-07-25
Boltonia_221,2024-02-29,2024-03-08,2024-07-31
Boltonia_222,2024-02-29,2024-03-08,2024-07-31
Boltonia_224,2024-02-29,2024-03-09,2024-08-29
Boltonia_225,2024-02-29,2024-03-08,2024-05-31
Boltonia_226,2024-02-29,2024-03-08,2024-06-10
Boltonia_229,2024-02-29,2024-03-06,2024-05-31
Boltonia_230,2024-02-29,2024-03-06,2024-07-31
Boltonia_232,2024-02-29,2024-03-07,2024-06-03
Boltonia_236,2024-02-29,2024-03-07,2024-08-22
Boltonia_237,2024-02-29,2024-03-16,2024-07-31
Boltonia_240,2024-02-29,2024-03-06,2024-06-10
Boltonia_242,2024-02-29,2024-03-05,2024-07-08
Boltonia_243,2024-02-29,2024-03-06,2024-05-13
Boltonia_246,2024-02-29,2024-03-08,2024-08-14
Boltonia_249,2024-03-01,2024-03-12,2024-08-07
Boltonia_250,2024-02-29,2024-03-06,2024-05-27
Boltonia_251,2024-03-01,2024-03-08,2024-09-04
Boltonia_253,2024-02-29,2024-03-07,2024-09-12
Boltonia_255,2024-03-01,2024-03-07,2024-09-12
Boltonia_256,2024-02-29,2024-03-10,2024-09-04
Boltonia_261,2024-03-01,2024-03-09,2024-07-31
Boltonia_265,2024-03-01,2024-03-12,2024-07-31
Boltonia_266,2024-03-01,2024-03-10,2024-09-04
Boltonia_268,2024-02-29,2024-03-09,2024-08-14
Boltonia_270,2024-02-29,2024-03-07,2024-08-29
Boltonia_272,2024-02-29,2024-03-08,2024-09-12
Boltonia_274,2024-02-29,2024-03-08,2024-06-03
Boltonia_279,2024-02-29,2024-03-07,2024-05-29
Boltonia_280,2024-02-29,2024-03-07,2024-07-08
Boltonia_281,2024-02-29,2024-03-13,2024-06-14
Boltonia_282,2024-02-29,2024-03-08,2024-05-13
Boltonia_283,2024-02-29,2024-03-10,2024-09-25
Boltonia_287,2024-02-29,2024-03-09,2024-05-27
Boltonia_288,2024-02-28,2024-03-05,2024-05-27
Boltonia_289,2024-02-29,2024-03-07,2024-06-26
Boltonia_293,2024-02-29,2024-03-07,2024-08-14
Boltonia_294,2024-02-29,2024-03-07,2024-05-27
Boltonia_296,2024-03-01,2024-03-08,2024-05-29
Boltonia_298,2024-02-29,2024-03-07,2024-06-03
Boltonia_301,2024-03-01,2024-03-12,2024-07-22
Boltonia_302,2024-02-29,2024-03-08,2024-06-12
Boltonia_305,2024-02-28,2024-03-10,2024-06-10
Boltonia_307,2024-02-29,2024-03-06,2024-05-27
Boltonia_308,2024-02-29,2024-03-06,2024-08-14
Boltonia_309,2024-02-29,2024-03-06,2024-06-17
Boltonia_311,2024-02-29,2024-03-07,2024-08-29
Boltonia_315,2024-02-29,2024-03-08,2024-06-12
Boltonia_317,2024-02-29,2024-03-12,2024-05-29
Boltonia_318,2024-02-29,2024-03-08,2024-08-22
Boltonia_323,2024-03-01,2024-03-08,2024-05-27
Boltonia_325,2024-02-29,2024-03-07,2024-06-10
Boltonia_329,2024-02-29,2024-03-07,2024-08-14
Boltonia_332,2024-02-29,2024-03-06,2024-05-13
Boltonia_335,2024-02-29,2024-03-25,2024-09-12
Boltonia_336,2024-03-01,2024-03-07,2024-09-04
Boltonia_337,2024-02-29,2024-03-07,2024-05-29
Boltonia_343,2024-02-29,2024-03-06,2024-08-29
Boltonia_344,2024-02-29,2024-03-08,2024-06-07
Boltonia_345,2024-03-01,2024-03-10,2024-08-22
Boltonia_350,2024-02-29,2024-03-14,2024-08-07
Boltonia_351,2024-02-29,2024-03-06,2024-08-29
Boltonia_355,2024-02-28,2024-03-13,2024-05-31
Boltonia_356,2024-02-29,2024-03-09,2024-06-03
Boltonia_359,2024-02-29,2024-03-07,2024-07-31
Boltonia_361,2024-02-29,2024-03-07,2024-05-22
