Id,Accession,Planting,Taxon,Area,Bed,Position/Spot,Inventory Date,Status,Plant Count,Planting Material Type,Source,Provenance,Property,Ipen,Restriction,Date received,Quantity received,Country,State,County,Collector,Collection Num,Collection Date,Sampling method,EO ID,EO number,Latitude,Longitude,Property ownership,Locality,Location Details,Notes on Habitat and soil,Mother Plant/Maternal Pop,Family,Seed/Lot #,Index Seminum Year
1086807,1986-2830,1,Boltonia decurrens ,Shaw Nature Reserve,<None>,,2017-01-23T14:08:55.44,Dead,0,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,US-0-MO-1986-2830,,1986-10-24T00:00:00,Sev,United States,Illinois,Saint Clair,Rogers & Brant,Brant 1006,20 Oct 1986,,,,,,,,"Fairmont City, large marsh between Collinsville Rd. & I-55/70 just W. of Fairmont Golf Course; near center of marsh",Disturbed meadow,,Asteraceae,,
1086808,1986-2830,2,Boltonia decurrens ,Whitmire Wildflower Garden,WFG6b,WFG6b,2017-01-23T14:08:55.5,Dead,0,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,US-0-MO-1986-2830,,1986-10-24T00:00:00,Sev,United States,Illinois,Saint Clair,Rogers & Brant,Brant 1006,20 Oct 1986,,,,,,,,"Fairmont City, large marsh between Collinsville Rd. & I-55/70 just W. of Fairmont Golf Course; near center of marsh",Disturbed meadow,,Asteraceae,,
1081254,1986-3068,1,Boltonia decurrens ,Rock Garden,<None>,S,1993-03-01T00:00:00,Dead,0,Plant,"Missouri Department of Conservation, George White Nursery",Wild,Mobot,,,1986-11-13T00:00:00,4,United States,Missouri,St. Charles,Wallace,s.n.,01 Nov 1986,,,,,,,,"Rosettes taken from site at Missouri River Delta St. Charles, MO across from Alton",,,Asteraceae,,
1081255,1986-3068,2,Boltonia decurrens ,Woodland Garden,<None>,,1999-05-01T00:00:00,Dead,0,Plant,"Missouri Department of Conservation, George White Nursery",Wild,Mobot,,,1986-11-13T00:00:00,4,United States,Missouri,St. Charles,Wallace,s.n.,01 Nov 1986,,,,,,,,"Rosettes taken from site at Missouri River Delta St. Charles, MO across from Alton",,,Asteraceae,,
1098202,1989-4584,1,Boltonia decurrens ,Nursery,<None>,,1990-01-01T00:00:00,Dead,0,Plant,"Denison, Edgar W. (Deceased)",Unknown,Mobot,,,1989-06-11T00:00:00,1,,,,,,,,,,,,,,,,,Asteraceae,,
1102620,1989-7615,1,Boltonia decurrens ,Greenhouse Indoors,,,1989-01-01T00:00:00,Dead,0,Plant,Missouri Botanical Garden,Cultivated from wild,Mobot,,,1989-11-29T00:00:00,Sev,,,,,,,,,,,,,,,,,Asteraceae,,
1109428,1990-3532,1,Boltonia decurrens ,National Center for Genetic Resources Preservation,<None>,,1998-02-01T00:00:00,Dormant,0,Seed,Missouri Botanical Garden,Cultivated from wild,Off Site,XX-1-MO-1990-3532,Project specific use only,1990-10-08T00:00:00,Sev,United States,Illinois,Saint Clair,Rogers & Brant,Brant 1006,20 Oct 1986,,,,,,,,"Fairmont City, large marsh between Collinsville Rd. & I-55/70 just W. of Fairmont Golf  Course; near center of marsh",Disturbed meadow,,Asteraceae,,
1109429,1990-3532,2,Boltonia decurrens ,MBG Seed Bank,CCSD Seed Bank Freezer,,2022-04-14T00:00:00,Dormant,10000,Seed,Missouri Botanical Garden,Cultivated from wild,Shaw Nature Reserve,XX-1-MO-1990-3532,Project specific use only,1990-10-08T00:00:00,Sev,United States,Illinois,Saint Clair,Rogers & Brant,Brant 1006,20 Oct 1986,,,,,,,,"Fairmont City, large marsh between Collinsville Rd. & I-55/70 just W. of Fairmont Golf  Course; near center of marsh",Disturbed meadow,,Asteraceae,,
1118519,1994-2212,1,Boltonia decurrens ,Rare Plant Nursery at Arboretum,02,02,2017-01-23T14:01:24.27,Dead,1,Plant,Missouri Botanical Garden,Wild,Shaw Nature Reserve,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
1118525,1994-2212,2,Boltonia decurrens ,Dry Stream Bed,<None>,,2010-08-20T00:00:00,Dead,0,Plant,Missouri Botanical Garden,Wild,Mobot,,Project specific use only,1994-10-24T00:00:00,Sev,United States,Missouri,,Havens,94-7,21 Oct 1994,,,,,,,,"Roadside ditch off Hwy. 94, 2 mi. N. of Hwy. 67, #1 on attached map","Mesic to wet ditch, full sun",,Asteraceae,,
