label,index,Date.1,Surv.1,numStem.1,numRos.1,stemLength.1,numLvs.1,# latBuds.1,leafLong.1,leafWide.1,numFlwrBud.1,flwrBud.1,Date.2,Surv.2,numStem.2,numRos.2,stemLength.2,numLvs.2,leafLong.2,leafWide.2,flwrBud.2,notes.2,Date.3,numStem.3,numRos.3,stemLength.3,numLvs.3,leafLong.3,leafWide.3,numFlwrB.3,numRayF.3,numDiscF.3,firstFlwr.3,Date.4,Surv.4,numStem.4,numRos.4,numLSt.4,stemLength.4,numFlwrB.4,numRayF.4,numDiscF.4,firstFlwr.4,notes.4,Date.5,Surv.5,numStem.5,numRos.5,numLSt.5,stemLength.5,numFlwrB.5,numRayF.5,numDiscF.5,firstFlwr.5,notes.5,Date.6,Surv..6,numStem.6,numRos.6,numLSt.6,stemLength.6,numFlwrB.6,numRayF.6,numDiscF.6,notes.6,Date.7,Surv.7,numStem.7,numRos.7,numLSt.7,stemLength.7,numFlwrB.7,numRayF.7,numDiscF.7,notes.7,Index2,Date.8 ,Surv.8,numStem.8,numRos.8,numLSt.8,stemLength.8,numFlwrB.8,numRayF.8,numDiscF.8,notes.8
3-4-4,1,5/1/2024,Y,0,1,NA,13,0,10.4,1.7,NA,NA,5/8/2024,Y,0,1,NA,16,13.2,2,NA,,5/15/2024,0,1,NA,19,17.5,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,1,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
3-4-3,2,5/1/2024,Y,0,1,NA,12,0,9.4,1.9,NA,NA,5/8/2024,Y,1,0,1.7,19,14.9,1.9,0,,5/15/2024,1,0,1.2,23,18.0,2.2,0,0,0,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,2,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
6-1-12,3,5/1/2024,Y,1,0,9.4,14,4,15.5,2.5,0,N,5/8/2024,Y,1,0,22.8,24,16.7,2.7,Y,,5/15/2024,1,0,39.1,28,16.9,2.6,5,0,0,,5/22/2024,Y,1,0,6,50,9,3,0,,,5/29/2024,Y,1,0,6,50,13,3,3,,,6/5/24,Y,1,0,5,52.5,5,11,7,,6/12/24,Y,1,0,5,53.5,9,5,14,6 of 14 discs senesced,3,6/19/24,Y,1,0,5,50.4,8,5,19,12 of 19 discs senesced
4-6-12,4,5/1/2024,Y,1,0,1.4,10,0,13.1,1.6,0,N,5/8/2024,Y,1,0,10.2,13,17.6,1.7,0,,5/15/2024,1,0,21.2,12,20.2,1.8,0,0,0,,5/22/2024,Y,1,0,0,35,0,0,0,,,5/29/2024,Y,1,0,0,49.6,2,0,0,,,6/5/24,Y,1,0,1,64.3,3,1,0,,6/12/24,Y,1,0,3,65.6,2,2,0,,4,6/19/24,Y,1,0,3,62.1,0,3,1,
5-2-8,5,5/1/2024,Y,1,0,1.2,14,2,15.7,1.9,0,N,5/8/2024,Y,1,2,1.8,22,24.9,2.5,0,,5/15/2024,0,3,NA,25,25.5,2.6,NA,NA,NA,,5/22/2024,Y,1,2,0,0.8,0,0,0,,,5/29/2024,Y,0,3,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,5,6/19/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,
1-6-5,6,5/1/2024,Y,0,1,NA,13,2,10.1,1.5,NA,NA,5/8/2024,Y,0,1,NA,15,14,1.8,NA,,5/15/2024,0,1,NA,19,21.5,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
2-1-1,7,5/1/2024,Y,0,1,NA,10,1,11.6,2.0,NA,NA,5/8/2024,Y,0,2,NA,14,16.8,1.9,NA,,5/15/2024,1,0,2.4,17,25.8,2.9,0,0,0,,5/22/2024,Y,1,3,0,10.2,0,0,0,,,5/29/2024,Y,2,1,0,26.5,0,0,0,,,6/5/24,Y,1,2,0,50.6,0,0,0,,6/12/24,Y,2,1,0,56.2,0,0,0,,7,6/19/24,Y,2,1,2,51.3,0,0,0,
3-3-1,8,5/1/2024,Y,0,1,NA,12,0,10.1,1.7,NA,NA,5/8/2024,Y,0,1,NA,13,13.5,1.7,NA,,5/15/2024,0,1,NA,16,17.9,2.0,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
8-6-1,9,5/1/2024,Y,0,1,NA,11,0,10.0,1.9,NA,NA,5/8/2024,Y,1,0,0.8,12,16.9,2.4,0,,5/15/2024,0,1,NA,16,22.6,2.3,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,9,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
6-4-5,10,5/1/2024,Y,0,1,NA,11,0,10.2,1.9,NA,NA,5/8/2024,Y,0,1,NA,12,15.1,2,NA,,5/15/2024,0,1,NA,16,16.5,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,10,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,
