label,index,Date.1,Surv.1,numStem.1,numRos.1,stemLength.1,numLvs.1,# latBuds.1,leafLong.1,leafWide.1,numFlwrBud.1,flwrBud.1,Date.2,Surv.2,numStem.2,numRos.2,stemLength.2,numLvs.2,leafLong.2,leafWide.2,flwrBud.2,notes.2,Date.3,numStem.3,numRos.3,stemLength.3,numLvs.3,leafLong.3,leafWide.3,numFlwrB.3,numRayF.3,numDiscF.3,firstFlwr.3,Date.4,Surv.4,numStem.4,numRos.4,numLSt.4,stemLength.4,numFlwrB.4,numRayF.4,numDiscF.4,firstFlwr.4,notes.4,Date.5,Surv.5,numStem.5,numRos.5,numLSt.5,stemLength.5,numFlwrB.5,numRayF.5,numDiscF.5,firstFlwr.5,notes.5,Date.6,Surv.6,numStem.6,numRos.6,numLSt.6,stemLength.6,numFlwrB.6,numRayF.6,numDiscF.6,notes.6,Date.7,Surv.7,numStem.7,numRos.7,numLSt.7,stemLength.7,numFlwrB.7,numRayF.7,numDiscF.7,notes.7,Date.8 ,Surv.8,numStem.8,numRos.8,numLSt.8,stemLength.8,numFlwrB.8,numRayF.8,numDiscF.8,notes.8,Date.9,Surv.9,numStem.9,numRos.9,numLSt.9,stemLength.9,numFlwrB.9,numRayF.9,numDiscF.9,numDeadF.9,notes.9,Date.10,Surv.10,numStem.10,numRos.10,numLSt.10,stemLength.10,numFlwrB.10,numRayF.10,numDiscF.10,numDeadF.10,notes.10,Date.11,Surv.11,numStem.11,numRos.11,numLSt.11,stemLength.11,numFlwrB.11,numRayF.11,numDiscF.11,numDeadF.11,notes.11,Date.12,Surv.12,numStem.12,numRos.12,numLSt.12,stemLength.12,numFlwrB.12,numRayF.12,numDiscF.12,numDeadF.12,notes.12,Date.13,Surv.13,numStem.13,numRos.13,numLSt.13,stemLength.13,numRayF.13,numDiscF.13,numDeadF.13,notes.13,Date.14,Surv.14,numStem.14,numRos.14,stemLength.14,numRayF.14,numDiscF.14,numDeadF.14,notes.14
3-4-4,1,5/1/2024,Y,0,1,NA,13,0,10.4,1.7,NA,NA,5/8/2024,Y,0,1,NA,16,13.2,2,NA,,5/15/2024,0,1,NA,19,17.5,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,3,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,3,N/A,N/A,N/A,N/A,
3-4-3,2,5/1/2024,Y,0,1,NA,12,0,9.4,1.9,NA,NA,5/8/2024,Y,1,0,1.7,19,14.9,1.9,0,,5/15/2024,1,0,1.2,23,18.0,2.2,0,0,0,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,2,N/A,N/A,N/A,N/A,
6-1-12,3,5/1/2024,Y,1,0,9.4,14,4,15.5,2.5,0,N,5/8/2024,Y,1,0,22.8,24,16.7,2.7,Y,,5/15/2024,1,0,39.1,28,16.9,2.6,5,0,0,,5/22/2024,Y,1,0,6,50,9,3,0,,,5/29/2024,Y,1,0,6,50,13,3,3,,,6/5/24,Y,1,0,5,52.5,5,11,7,,6/12/24,Y,1,0,5,53.5,9,5,14,6 of 14 discs senesced,6/19/24,Y,1,0,5,50.4,8,5,19,12 of 19 discs senesced,6/26/24,Y,1,1,6,50,24,4,18,5,,7/3/24,Y,1,2,7,50.4,26,3,22,7,,7/11/24,Y,1,1,7,51.6,28,12,21,11,,7/18/24,Y,1,2,9,68.3,18,10,21,17,,7/25/24,Y,1,2,9,50.2,8,27,17,,8/7/24,Y,1,2,51.4,5,37,27,
4-6-12,4,5/1/2024,Y,1,0,1.4,10,0,13.1,1.6,0,N,5/8/2024,Y,1,0,10.2,13,17.6,1.7,0,,5/15/2024,1,0,21.2,12,20.2,1.8,0,0,0,,5/22/2024,Y,1,0,0,35,0,0,0,,,5/29/2024,Y,1,0,0,49.6,2,0,0,,,6/5/24,Y,1,0,1,64.3,3,1,0,,6/12/24,Y,1,0,3,65.6,2,2,0,,6/19/24,Y,1,0,3,62.1,0,3,1,,6/26/24,Y,1,1,8,61.5,2,0,4,0,,7/3/24,Y,1,0,10,65.2,5,0,4,0,,7/11/24,Y,1,0,9,64.9,4,3,4,0,,7/18/24,Y,1,0,11,64.9,3,4,4,1,,7/25/24,Y,1,0,11,65.3,1,6,3,,8/7/24,Y,1,0,66.2,5,9,4,
5-2-8,5,5/1/2024,Y,1,0,1.2,14,2,15.7,1.9,0,N,5/8/2024,Y,1,2,1.8,22,24.9,2.5,0,,5/15/2024,0,3,NA,25,25.5,2.6,NA,NA,NA,,5/22/2024,Y,1,2,0,0.8,0,0,0,,,5/29/2024,Y,0,3,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,3,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,3,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,3,N/A,N/A,N/A,N/A,
1-6-5,6,5/1/2024,Y,0,1,NA,13,2,10.1,1.5,NA,NA,5/8/2024,Y,0,1,NA,15,14,1.8,NA,,5/15/2024,0,1,NA,19,21.5,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,1,0,0,23,0,0,0,0,,7/18/24,Y,1,1,0,43,0,0,0,0,,7/25/24,Y,1,1,0,63.4,0,0,0,,8/7/24,Y,1,1,92.1,0,0,0,
2-1-1,7,5/1/2024,Y,0,1,NA,10,1,11.6,2.0,NA,NA,5/8/2024,Y,0,2,NA,14,16.8,1.9,NA,,5/15/2024,1,0,2.4,17,25.8,2.9,0,0,0,,5/22/2024,Y,1,3,0,10.2,0,0,0,,,5/29/2024,Y,2,1,0,26.5,0,0,0,,,6/5/24,Y,1,2,0,50.6,0,0,0,,6/12/24,Y,2,1,0,56.2,0,0,0,,6/19/24,Y,2,1,2,51.3,0,0,0,,6/26/24,Y,2,3,7,73,1,0,0,0,,7/3/24,Y,2,2,6,80.4,1,0,0,0,,7/11/24,Y,2,1,9,86.8,2,0,0,0,,7/18/24,Y,2,1,6,75.4,2,0,0,0,,7/25/24,Y,2,1,7,75.6,0,0,0,Tip of apical meristem is damaged/dead,8/7/24,Y,2,1,78.1,11,0,0,
3-3-1,8,5/1/2024,Y,0,1,NA,12,0,10.1,1.7,NA,NA,5/8/2024,Y,0,1,NA,13,13.5,1.7,NA,,5/15/2024,0,1,NA,16,17.9,2.0,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,2,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,3,N/A,N/A,N/A,N/A,
8-6-1,9,5/1/2024,Y,0,1,NA,11,0,10.0,1.9,NA,NA,5/8/2024,Y,1,0,0.8,12,16.9,2.4,0,,5/15/2024,0,1,NA,16,22.6,2.3,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,1,N/A,N/A,N/A,N/A,
6-4-5,10,5/1/2024,Y,0,1,NA,11,0,10.2,1.9,NA,NA,5/8/2024,Y,0,1,NA,12,15.1,2,NA,,5/15/2024,0,1,NA,16,16.5,2.1,NA,NA,NA,,5/22/2024,Y,0,1,0,NA,NA,NA,NA,,,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,6/26/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/3/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/11/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/18/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,N/A,,7/25/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,,8/7/24,Y,0,4,N/A,N/A,N/A,N/A,
