Sample_Name,DaysToFlower
Boltonia_001,360
Boltonia_002,360
Boltonia_003,88
Boltonia_004,106
Boltonia_005,360
Boltonia_006,182
Boltonia_007,167
Boltonia_008,360
Boltonia_009,360
Boltonia_010,360
Boltonia_011,160
Boltonia_012,182
Boltonia_013,360
Boltonia_014,86
Boltonia_015,360
Boltonia_016,360
Boltonia_017,360
Boltonia_018,360
Boltonia_019,360
Boltonia_020,360
Boltonia_021,140
Boltonia_022,83
Boltonia_023,360
Boltonia_024,360
Boltonia_025,360
Boltonia_026,188
Boltonia_027,360
Boltonia_028,360
Boltonia_029,360
Boltonia_030,360
Boltonia_031,85
Boltonia_032,360
Boltonia_033,360
Boltonia_034,175
Boltonia_035,360
Boltonia_036,360
Boltonia_037,360
Boltonia_038,360
Boltonia_039,360
Boltonia_040,360
Boltonia_041,360
Boltonia_042,360
Boltonia_043,175
Boltonia_044,360
Boltonia_045,360
Boltonia_046,76
Boltonia_047,85
Boltonia_048,360
Boltonia_049,360
Boltonia_050,85
Boltonia_051,95
Boltonia_052,360
Boltonia_053,106
Boltonia_054,85
Boltonia_055,106
Boltonia_056,159
Boltonia_057,87
Boltonia_058,360
Boltonia_059,360
Boltonia_060,360
Boltonia_061,136
Boltonia_062,90
Boltonia_063,160
Boltonia_064,90
Boltonia_065,360
Boltonia_066,360
Boltonia_067,360
Boltonia_068,360
Boltonia_069,85
Boltonia_070,196
Boltonia_071,360
Boltonia_072,360
Boltonia_073,95
Boltonia_074,360
Boltonia_075,360
Boltonia_076,360
Boltonia_077,182
Boltonia_078,88
Boltonia_079,160
Boltonia_080,360
Boltonia_081,360
Boltonia_082,360
Boltonia_083,360
Boltonia_084,360
Boltonia_085,360
Boltonia_086,175
Boltonia_087,90
Boltonia_088,153
Boltonia_089,120
Boltonia_090,360
Boltonia_091,360
Boltonia_092,360
Boltonia_093,167
Boltonia_094,167
Boltonia_095,360
Boltonia_096,104
Boltonia_097,92
Boltonia_098,182
Boltonia_099,360
Boltonia_100,360
Boltonia_101,360
Boltonia_102,80
Boltonia_103,147
Boltonia_104,360
Boltonia_105,360
Boltonia_106,360
Boltonia_107,360
Boltonia_108,360
Boltonia_109,360
Boltonia_110,89
Boltonia_111,78
Boltonia_112,173
Boltonia_113,360
Boltonia_114,360
Boltonia_115,167
Boltonia_116,360
Boltonia_117,360
Boltonia_118,360
Boltonia_119,360
Boltonia_120,182
Boltonia_121,360
Boltonia_122,95
Boltonia_123,360
Boltonia_124,360
Boltonia_125,360
Boltonia_126,154
Boltonia_127,76
Boltonia_128,360
Boltonia_129,160
Boltonia_130,360
Boltonia_131,160
Boltonia_132,360
Boltonia_133,98
Boltonia_134,137
Boltonia_135,360
Boltonia_136,85
Boltonia_137,360
Boltonia_138,360
Boltonia_139,175
Boltonia_140,76
Boltonia_141,147
Boltonia_142,160
Boltonia_143,360
Boltonia_144,360
Boltonia_145,360
Boltonia_146,99
Boltonia_147,360
Boltonia_148,196
Boltonia_149,360
Boltonia_150,360
Boltonia_151,360
Boltonia_152,360
Boltonia_153,360
Boltonia_154,360
Boltonia_155,360
Boltonia_156,360
Boltonia_157,174
Boltonia_158,360
Boltonia_159,90
Boltonia_160,360
Boltonia_161,182
Boltonia_162,360
Boltonia_163,360
Boltonia_164,76
Boltonia_165,360
Boltonia_166,175
Boltonia_167,360
Boltonia_168,95
Boltonia_169,167
Boltonia_170,360
Boltonia_171,360
Boltonia_172,81
Boltonia_173,89
Boltonia_174,360
Boltonia_175,360
Boltonia_176,360
Boltonia_177,360
Boltonia_178,360
Boltonia_179,175
Boltonia_180,102
Boltonia_181,167
Boltonia_182,88
Boltonia_183,360
Boltonia_184,360
Boltonia_185,360
Boltonia_186,360
Boltonia_187,90
Boltonia_188,360
Boltonia_189,360
Boltonia_190,153
Boltonia_191,113
Boltonia_192,160
Boltonia_193,90
Boltonia_194,360
Boltonia_195,360
Boltonia_196,360
Boltonia_197,360
Boltonia_198,360
Boltonia_199,186
Boltonia_200,360
Boltonia_201,147
Boltonia_202,360
Boltonia_203,360
Boltonia_204,360
Boltonia_205,360
Boltonia_206,360
Boltonia_207,360
Boltonia_208,360
Boltonia_209,360
Boltonia_210,153
Boltonia_211,153
Boltonia_212,182
Boltonia_213,92
Boltonia_214,102
Boltonia_215,360
Boltonia_216,360
Boltonia_217,92
Boltonia_218,153
Boltonia_219,360
Boltonia_220,95
Boltonia_221,360
Boltonia_222,360
Boltonia_223,360
Boltonia_224,175
Boltonia_225,153
Boltonia_226,360
Boltonia_227,360
Boltonia_228,102
Boltonia_229,360
Boltonia_230,130
Boltonia_231,74
Boltonia_232,360
Boltonia_233,360
Boltonia_234,167
Boltonia_235,360
Boltonia_236,360
Boltonia_237,159
Boltonia_238,88
Boltonia_239,187
Boltonia_240,196
Boltonia_241,360
Boltonia_242,195
Boltonia_243,188
Boltonia_244,360
Boltonia_245,360
Boltonia_246,360
Boltonia_247,360
Boltonia_248,152
Boltonia_249,360
Boltonia_250,360
Boltonia_251,360
Boltonia_252,152
Boltonia_253,187
Boltonia_254,360
Boltonia_255,167
Boltonia_256,360
Boltonia_257,182
Boltonia_258,360
Boltonia_259,196
Boltonia_260,360
Boltonia_261,95
Boltonia_262,360
Boltonia_263,360
Boltonia_264,360
Boltonia_265,360
Boltonia_266,90
Boltonia_267,130
Boltonia_268,106
Boltonia_269,74
Boltonia_270,360
Boltonia_271,360
Boltonia_272,360
Boltonia_273,360
Boltonia_274,88
Boltonia_275,89
Boltonia_276,118
Boltonia_277,360
Boltonia_278,360
Boltonia_279,360
Boltonia_280,167
Boltonia_281,88
Boltonia_282,360
Boltonia_283,89
Boltonia_284,360
Boltonia_285,95
Boltonia_286,360
Boltonia_287,360
Boltonia_288,143
Boltonia_289,104
Boltonia_290,360
Boltonia_291,360
Boltonia_292,103
Boltonia_293,360
Boltonia_294,88
Boltonia_295,167
Boltonia_296,109
Boltonia_297,360
Boltonia_298,182
Boltonia_299,360
Boltonia_300,360
Boltonia_301,104
Boltonia_302,360
Boltonia_303,90
Boltonia_304,175
Boltonia_305,360
Boltonia_306,360
Boltonia_307,360
Boltonia_308,87
Boltonia_309,360
Boltonia_310,102
Boltonia_311,360
Boltonia_312,360
Boltonia_313,167
Boltonia_314,360
Boltonia_315,360
Boltonia_316,74
Boltonia_317,360
Boltonia_318,360
Boltonia_319,196
Boltonia_320,187
Boltonia_321,90
Boltonia_322,360
Boltonia_323,360
Boltonia_324,360
Boltonia_325,360
Boltonia_326,182
Boltonia_327,99
Boltonia_328,174
Boltonia_329,360
Boltonia_330,360
Boltonia_331,360
Boltonia_332,160
Boltonia_333,182
Boltonia_334,360
Boltonia_335,360
Boltonia_336,360
Boltonia_337,93
Boltonia_338,95
Boltonia_339,360
Boltonia_340,153
Boltonia_341,360
Boltonia_342,83
Boltonia_343,360
Boltonia_344,360
Boltonia_345,360
Boltonia_346,360
Boltonia_347,360
Boltonia_348,167
Boltonia_349,188
Boltonia_350,360
Boltonia_351,360
Boltonia_352,360
Boltonia_353,96
Boltonia_354,360
Boltonia_355,160
Boltonia_356,95
Boltonia_357,360
Boltonia_358,90
Boltonia_359,360
Boltonia_360,187
Boltonia_361,360
Boltonia_362,92
Boltonia_363,360
Boltonia_364,360
Boltonia_365,140
Boltonia_366,360
Boltonia_367,360
Boltonia_368,360
Boltonia_369,360
Boltonia_370,95
Boltonia_371,360
Boltonia_372,360
Boltonia_373,360
Boltonia_374,188
Boltonia_375,360
Boltonia_376,360
Boltonia_377,360
Boltonia_378,360
Boltonia_379,360
Boltonia_380,360
Boltonia_381,160
Boltonia_382,360
Boltonia_383,85
Boltonia_384,188
Boltonia_385,360
Boltonia_386,360
Boltonia_387,360
Boltonia_388,360
Boltonia_389,360
Boltonia_390,90
Boltonia_391,360
Boltonia_392,360
Boltonia_393,360
