Pop_Name,Pop,Pop_Index,Adapted_Latitude,Adapted_Longitude
1-Fairmont City (1997),Fairmont City (1997),Pop_01,38.6494444,-90.1161111
2-Horseshoe Lake (2000),Horseshoe Lake (2000),Pop_02,38.6891666,-90.0972222
3-West Alton (1999),West Alton (1999),Pop_03,38.86501904919102,-90.22302347588696
4-Gilbert Lake (1997),Gilbert Lake (1997),Pop_04,38.96139842380207,-90.51481032460988
5-Smith Lake (1998),Smith Lake (1998),Pop_05,39.7852777,-90.5902777
6-Meredosia Lake (1999),Meredosia Lake (1999),Pop_06,39.8672223,-90.5533333
7-Beardstown (1997),Beardstown (1997),Pop_07,40.010555600000004,-90.4458333
8-Frederick Borrow Pit (1999),Frederick Borrow Pit (1999),Pop_08,40.0672223,-90.4275
9-Frederick Landing (2011),Frederick Landing (2011),Pop_09,40.07116308939078,-90.429571958886
10-Anderson Lake (1997),Anderson Lake (1997),Pop_10,40.2047222,-90.1994444
11-Anderson Lake (2000),Anderson Lake (2000),Pop_11,40.2047222,-90.1994444
12-Rice Lake (1999),Rice Lake (1999),Pop_12,40.4925,-89.9022222
13-Cooper Park (2000),Cooper Park (2000),Pop_13,40.69599285579125,-89.54380274568008
14-McClugage Bridge (1999),McClugage Bridge (1999),Pop_14,40.7222223,-89.5519444
15-Woodford County (1999),Woodford County (1999),Pop_15,40.8852777,-89.4583333
16-Sparland (1999),Sparland (1999),Pop_16,41.045,-89.4311111
17-Hennepin Bridge (1999),Hennepin Bridge (1999),Pop_17,41.34414603458205,-89.55849691836283
