index,mean_stemLength,c_stemLength,SD_stemLength,sample_size
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,51.4,"52.5, 53.5, 50.4, 50, 50.4, 51.6",1.3870832707519767,6
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,37.775,"30.4, 29.8, 28.9, 62",16.16176042391422,4
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,29.8,"29.4, 31.5, 30.5, 28.6, 29",1.1853269591129696,5
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,31.825,"31, 32.3, 32.3, 31.7",0.6184658438426477,4
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,24.933333333333334,"24.2, 25.3, 25.3",0.6350852961085892,3
50,40.7,"32, 42.9, 43.4, 41.3, 41, 42.6, 41.7",3.9344631145812,7
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,41,"42.3, 42, 40, 39.7",1.3391539617733759,4
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,13.075,"14.7, 13, 12.3, 12.3",1.1324751652906118,4
57,36.2,36.2,NA,1
58,69.05,"68.8, 69.3",0.3535533905932738,2
59,NA,NA,NA,NA
60,51.6,"52.5, 52.2, 51, 51.3, 51",0.7035623639735153,5
61,NA,NA,NA,NA
62,NA,NA,NA,NA
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,33.3,"33.4, 33.2",0.14142135623730648,2
66,NA,NA,NA,NA
67,61.48,"61.5, 59.9, 63, 62.3, 60.7",1.2336936410632904,5
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,NA,NA,NA,NA
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,48.22,"48.7, 48.8, 49.6, 47, 47",1.167047556871613,5
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,NA,NA,NA,NA
