index,mean_stemLength,c_stemLength,SD_stemLength,sample_size
1,,,,
2,,,,
3,51.1,"50, 52.5, 53.5, 50.4, 50, 50.4, 51.6, 50.2, 51.4, 51.1, 51.1",1.1,11
4,64.2,"62.1, 61.5, 65.2, 64.9, 65.3, 66.2, 64.2, 64.2",1.6,8
5,,,,
6,,,,
7,76.5,"76.5, 76.4",0.1,2
8,,,,
9,,,,
10,,,,
11,,,,
12,152.0,"152.3, 151.6, 152",0.4,3
13,,,,
14,,,,
15,33.1,"28.6, 30.4, 29.8, 28.9, 27.5, 62, 28.5, 29.2, 33.1, 33.1",10.3,10
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,109.1,"108.8, 109.4, 109.1, 109.1",0.2,4
24,30.0,"29, 29.4, 31.5, 30.5, 28.6, 29, 29.3, 32.5, 29.8, 30, 30",1.2,11
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,31.8,"31, 32.3, 32.3, 31.7, 31.8, 31.8, 31.8",0.4,7
34,,,,
35,,,,
36,93.3,"91.4, 95.1",2.6,2
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,102.3,"103, 101.5",1.1,2
47,,,,
48,,,,
49,23.8,"24.7, 21.2, 20.7, 24.2, 25.3, 25.3, 23.7, 24.9, 23.8, 23.8",1.6,10
50,40.8,"32, 42.9, 43.4, 41.3, 41, 42.6, 41.7, 41.9, 40.7, 40.8, 40.8",3.1,11
51,,,,
52,,,,
53,40.7,"40.1, 41.6, 42.3, 42, 40, 39.7, 39.4, 39.9, 41, 40.7, 40.7",1.0,11
54,,,,
55,,,,
56,13.0,"14.7, 13, 12.3, 12.3, 12.7, 13.1, 13, 13",0.8,8
57,37.2,"36, 38.3, 38.3, 36.2, 37, 37.3, 37.4, 37.3, 37.2, 37.2",0.7,10
58,69.5,"71.2, 68.5, 68.8, 69.3, 70.2, 69.1, 69.5, 69.5",0.9,8
59,81.6,"81.6, 81.6, 81.6",0.0,3
60,51.7,"50.8, 52.5, 52.5, 52.2, 51, 51.3, 51, 52.4, 51.6, 51.7, 51.7",0.6,11
61,,,,
62,,,,
63,,,,
64,119.9,"118.8, 121, 119.9, 119.9",0.9,4
65,32.5,"31.9, 33.5, 33.4, 33.2, 32, 31.7, 32, 31.9, 33.3, 32.5, 32.5",0.7,11
66,154.8,"153.9, 155.6, 154.8",0.9,3
67,61.7,"60.1, 62.9, 61.5, 59.9, 63, 62.3, 60.7, 63.1, 61.5, 61.7, 61.7",1.1,11
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,47.9,"47, 48.7, 48.8, 49.6, 47, 47.7, 47, 46.8, 48.2, 47.9, 47.9",0.9,11
75,,,,
76,,,,
77,,,,
78,50.7,"51.7, 51.7, 52.4, 47, 52.9, 50.8, 47.9, 50.8, 50.7, 50.7",1.9,10
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,42.5,"38.7, 40.6, 46.1, 47.8, 39, 38.9, 45.2, 39.5, 47, 42.5, 42.5",3.5,11
85,147.7,"146.5, 148.8, 147.7",1.2,3
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,113.0,"113, 112.9",0.1,2
93,38.8,"37.1, 53.9, 38.2, 37.3, 29.7, 36.5, 37.6, 39.8, 38.8, 38.8",6.0,10
94,91.1,"86.4, 95.8, 91.1",4.7,3
95,76.8,"75.9, 75.5, 76.7, 79.1, 76.8, 76.8",1.2,6
96,,,,
