index,median_stemLength,c_stemLength,SD_stemLength,sample_size
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,51.1,"50, 52.5, 53.5, 50.4, 50, 50.4, 51.6, 50.2, 51.4, 51.1, 51.1, 51.1",1.0561149501255949,12
4,64.2,"62.1, 61.5, 65.2, 64.9, 65.3, 66.2, 64.2, 64.2, 64.2",1.5165750888103107,9
5,NA,NA,NA,NA
6,124.80000000000001,"123.2, 126.4",2.2627416997969543,2
7,76.5,"76.5, 76.4, 76.5",0.05773502691895929,3
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,152,"152.3, 151.6, 152, 152",0.2872281323269082,4
13,88,"87.6, 88.4",0.5656854249492461,2
14,NA,NA,NA,NA
15,29.8,"28.6, 30.4, 29.8, 28.9, 27.5, 62, 28.5, 29.2, 33.1, 33.1, 33.1",9.792900953798577,11
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,109.1,"108.8, 109.4, 109.1, 109.1, 109.1",0.21213203435596728,5
24,29.9,"29, 29.4, 31.5, 30.5, 28.6, 29, 29.3, 32.5, 29.8, 30, 30, 30",1.1113737063434221,12
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,133.7,"132.7, 134.7",1.4142135623730951,2
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,31.8,"31, 32.3, 32.3, 31.7, 31.8, 31.8, 31.8, 31.8",0.40510139824140584,8
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,93.3,"91.4, 95.1, 93.3",1.8502252115170499,3
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,102.3,"103, 101.5, 102.3",0.7505553499465134,3
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,23.8,"24.7, 21.2, 20.7, 24.2, 25.3, 25.3, 23.7, 24.9, 23.8, 23.8, 23.8",1.51807294111497,11
50,41.15,"32, 42.9, 43.4, 41.3, 41, 42.6, 41.7, 41.9, 40.7, 40.8, 40.8, 40.8",2.9257866075172454,12
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,40.7,"40.1, 41.6, 42.3, 42, 40, 39.7, 39.4, 39.9, 41, 40.7, 40.7, 40.7",0.9205976319760981,12
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,13,"14.7, 13, 12.3, 12.3, 12.7, 13.1, 13, 13, 13",0.7043515536371809,9
