"statistic","signif","env_var","sig_color"
0.31452310455686816,0.03469653034696531,"annualPET","p < 0.05"
0.33677441543573494,0.009499050094990502,"aridityIndexThornthwaite","p < 0.05"
0.11777104571374362,0.21787821217878212,"climaticMoistureIndex","p >= 0.05"
0.38260160162272255,0.013398660133986601,"continentality","p < 0.05"
0.3368045107373528,0.0136986301369863,"embergerQ","p < 0.05"
0.45707081328156207,0.0066993300669933005,"growingDegDays0","p < 0.05"
0.3796629390284042,0.010498950104989501,"growingDegDays5","p < 0.05"
0.41684963648444795,0.009299070092990702,"maxTempColdest","p < 0.05"
0.46322447049972226,0.008099190080991902,"minTempWarmest","p < 0.05"
0.0497324330081073,0.34806519348065196,"monthCountByTemp10","p >= 0.05"
0.39978326707078016,0.0052994700529947,"PETColdestQuarter","p < 0.05"
0.39978326707078016,0.0057994200579942,"PETDriestQuarter","p < 0.05"
0.4471843033673033,0.0086991300869913,"PETseasonality","p < 0.05"
0.1489631898509956,0.21337866213378662,"PETWarmestQuarter","p >= 0.05"
0.09598461990169777,0.28157184281571845,"PETWettestQuarter","p >= 0.05"
0.4463386168438133,0.008999100089991,"thermicityIndex","p < 0.05"
0.41336296781947807,0.0071992800719928,"Bio1 - Annual Mean Temperature","p < 0.05"
0.38677834739755246,0.0192980701929807,"Bio10 - Mean Temperature of Warmest Quarter","p < 0.05"
0.4300109422846648,0.0064993500649935,"Bio11 - Mean Temperature of Coldest Quarter","p < 0.05"
0.36376458837515,0.013098690130986902,"Bio12 - Annual Precipitation","p < 0.05"
-0.1436160239664369,0.8894110588941105,"Bio13 - Precipitation of Wettest Month","p >= 0.05"
0.4310089106015966,0.012398760123987601,"Bio14 - Precipitation of Driest Month","p < 0.05"
0.45016225354052763,0.004899510048995101,"Bio15 - Precipitation Seasonality","p < 0.05"
0.3216986951582735,0.016998300169983,"Bio16 - Precipitation of Wettest Quarter","p < 0.05"
0.45457065814413716,0.0064993500649935,"Bio17 - Precipitation of Driest Quarter","p < 0.05"
0.2298487195412369,0.14238576142385762,"Bio18 - Precipitation of Warmest Quarter","p >= 0.05"
0.45457065814413716,0.006399360063993601,"Bio19 - Precipitation of Coldest Quarter","p < 0.05"
-0.09863142934131654,0.7574242575742426,"Bio2 - Mean Diurnal Range","p >= 0.05"
-0.08190079606454785,0.7148285171482852,"Bio3 - Isothermality","p >= 0.05"
0.4353271107330023,0.005099490050994901,"Bio4 - Temperature Seasonality","p < 0.05"
0.28461696276281295,0.0542945705429457,"Bio5 - Max Temperature of Warmest Month","p >= 0.05"
0.4443378288185779,0.007699230076992301,"Bio6 - Min Temperature of Coldest Month","p < 0.05"
0.4890936149206872,0.0046995300469953,"Bio7 - Temperature Annual Range","p < 0.05"
0.09148589910568006,0.2692730726927307,"Bio8 - Mean Temperature of Wettest Quarter","p >= 0.05"
0.4300109422846648,0.0066993300669933005,"Bio9 - Mean Temperature of Driest Quarter","p < 0.05"
0.2710328904130151,0.027997200279972004,"Euclidean Distance","p < 0.05"
0.39946832046586006,0.0035996400359964,"River Path Distance","p < 0.05"
