POP1,POP2,river_path_m
Pop_01,Pop_02,3129.6843558292376
Pop_01,Pop_03,36662.82429137339
Pop_02,Pop_03,33533.13993554415
Pop_01,Pop_04,66099.33377717741
Pop_02,Pop_04,62969.64942134817
Pop_03,Pop_04,29436.509485804017
Pop_01,Pop_05,168640.88956987337
Pop_02,Pop_05,165511.20521404414
Pop_03,Pop_05,131978.06527849997
Pop_04,Pop_05,102541.55579269596
Pop_01,Pop_06,178185.0307510306
Pop_02,Pop_06,175055.34639520137
Pop_03,Pop_06,141522.2064596572
Pop_04,Pop_06,112085.69697385319
Pop_05,Pop_06,9544.141181157227
Pop_01,Pop_07,201217.58877585817
Pop_02,Pop_07,198087.90442002894
Pop_03,Pop_07,164554.76448448477
Pop_04,Pop_07,135118.25499868076
Pop_05,Pop_07,32576.699205984783
Pop_06,Pop_07,23032.558024827555
Pop_01,Pop_08,207754.18602379286
Pop_02,Pop_08,204624.50166796363
Pop_03,Pop_08,171091.36173241946
Pop_04,Pop_08,141654.85224661545
Pop_05,Pop_08,39113.29645391948
Pop_06,Pop_08,29569.15527276225
Pop_07,Pop_08,6536.5972479346965
Pop_01,Pop_09,207754.18602379286
Pop_02,Pop_09,204624.50166796363
Pop_03,Pop_09,171091.36173241946
Pop_04,Pop_09,141654.85224661545
Pop_05,Pop_09,39113.29645391948
Pop_06,Pop_09,29569.15527276225
Pop_07,Pop_09,6536.5972479346965
Pop_08,Pop_09,0
Pop_01,Pop_10,236008.13470034153
Pop_02,Pop_10,232878.4503445123
Pop_03,Pop_10,199345.31040896813
Pop_04,Pop_10,169908.80092316412
Pop_05,Pop_10,67367.24513046816
Pop_06,Pop_10,57823.10394931093
Pop_07,Pop_10,34790.54592448337
Pop_08,Pop_10,28253.948676548673
Pop_09,Pop_10,28253.948676548673
Pop_01,Pop_11,236008.13470034153
Pop_02,Pop_11,232878.4503445123
Pop_03,Pop_11,199345.31040896813
Pop_04,Pop_11,169908.80092316412
Pop_05,Pop_11,67367.24513046816
Pop_06,Pop_11,57823.10394931093
Pop_07,Pop_11,34790.54592448337
Pop_08,Pop_11,28253.948676548673
Pop_09,Pop_11,28253.948676548673
Pop_10,Pop_11,0
Pop_01,Pop_12,282119.25262665737
Pop_02,Pop_12,278989.5682708281
Pop_03,Pop_12,245456.42833528394
Pop_04,Pop_12,216019.91884947993
Pop_05,Pop_12,113478.36305678397
Pop_06,Pop_12,103934.22187562674
Pop_07,Pop_12,80901.66385079919
Pop_08,Pop_12,74365.06660286449
Pop_09,Pop_12,74365.06660286449
Pop_10,Pop_12,46111.11792631582
Pop_11,Pop_12,46111.11792631582
Pop_01,Pop_13,325055.0876361453
Pop_02,Pop_13,321925.40328031604
Pop_03,Pop_13,288392.26334477187
Pop_04,Pop_13,258955.75385896786
Pop_05,Pop_13,156414.1980662719
Pop_06,Pop_13,146870.05688511467
Pop_07,Pop_13,123837.4988602871
Pop_08,Pop_13,117300.9016123524
Pop_09,Pop_13,117300.9016123524
Pop_10,Pop_13,89046.95293580374
Pop_11,Pop_13,89046.95293580374
Pop_12,Pop_13,42935.83500948792
Pop_01,Pop_14,327650.94439016597
Pop_02,Pop_14,324521.2600343367
Pop_03,Pop_14,290988.12009879254
Pop_04,Pop_14,261551.61061298856
Pop_05,Pop_14,159010.0548202926
Pop_06,Pop_14,149465.91363913537
Pop_07,Pop_14,126433.35561430779
Pop_08,Pop_14,119896.75836637309
Pop_09,Pop_14,119896.75836637309
Pop_10,Pop_14,91642.80968982443
Pop_11,Pop_14,91642.80968982443
Pop_12,Pop_14,45531.69176350861
Pop_13,Pop_14,2595.856754020687
Pop_01,Pop_15,349346.73740738264
Pop_02,Pop_15,346217.0530515534
Pop_03,Pop_15,312683.9131160092
Pop_04,Pop_15,283247.40363020526
Pop_05,Pop_15,180705.8478375093
Pop_06,Pop_15,171161.70665635206
Pop_07,Pop_15,148129.14863152447
Pop_08,Pop_15,141592.55138358977
Pop_09,Pop_15,141592.55138358977
Pop_10,Pop_15,113338.60270704111
Pop_11,Pop_15,113338.60270704111
Pop_12,Pop_15,67227.4847807253
Pop_13,Pop_15,24291.649771237375
Pop_14,Pop_15,21695.79301721669
Pop_01,Pop_16,368810.04275806766
Pop_02,Pop_16,365680.3584022384
Pop_03,Pop_16,332147.21846669423
Pop_04,Pop_16,302710.7089808903
Pop_05,Pop_16,200169.1531881943
Pop_06,Pop_16,190625.01200703706
Pop_07,Pop_16,167592.45398220947
Pop_08,Pop_16,161055.85673427477
Pop_09,Pop_16,161055.85673427477
Pop_10,Pop_16,132801.9080577261
Pop_11,Pop_16,132801.9080577261
Pop_12,Pop_16,86690.79013141026
Pop_13,Pop_16,43754.95512192234
Pop_14,Pop_16,41159.09836790166
Pop_15,Pop_16,19463.305350684972
Pop_01,Pop_17,419456.8316570412
Pop_02,Pop_17,416327.14730121195
Pop_03,Pop_17,382794.0073656678
Pop_04,Pop_17,353357.49787986383
Pop_05,Pop_17,250815.94208716782
Pop_06,Pop_17,241271.80090601058
Pop_07,Pop_17,218239.242881183
Pop_08,Pop_17,211702.6456332483
Pop_09,Pop_17,211702.6456332483
Pop_10,Pop_17,183448.69695669963
Pop_11,Pop_17,183448.69695669963
Pop_12,Pop_17,137337.5790303838
Pop_13,Pop_17,94401.74402089586
Pop_14,Pop_17,91805.88726687519
Pop_15,Pop_17,70110.09424965849
Pop_16,Pop_17,52869.72420490132
