gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5828049876	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/562027592/original.jpg	https://www.inaturalist.org/photos/562027592					2025-09-03T16:43:53Z	Christopher David Benda		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Christopher David Benda
5828049876	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/562027643/original.jpg	https://www.inaturalist.org/photos/562027643					2025-09-03T16:43:53Z	Christopher David Benda		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Christopher David Benda
5828049876	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/562027619/original.jpg	https://www.inaturalist.org/photos/562027619					2025-09-03T16:43:53Z	Christopher David Benda		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Christopher David Benda
574776758	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMTMvOTcvUGhvdG9fNTFjMWNiZDYwYmI4Yy5qcGc=	http://data.rbge.org.uk/living/19891397	19891397	Image of living collection specimen with accession number 19891397 by Debbie White				Debbie White		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574776758	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMTMvOTcvUGhvdG9fNTFjMWNiZDY2ZDAzNy5qcGc=	http://data.rbge.org.uk/living/19891397	19891397	Image of living collection specimen with accession number 19891397 by Debbie White				Debbie White		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574776758	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2ZvdG9zdGF0aW9uL0FyY2hpdmUvQVJDSF8xLzAwMDAwODQ3LmpwZw==	http://data.rbge.org.uk/living/19891397	19891397	Image of living collection specimen with accession number 19891397						Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574776758	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2ZvdG9zdGF0aW9uL0FyY2hpdmUvQVJDSF8xLzAwMDAwODQ4LmpwZw==	http://data.rbge.org.uk/living/19891397	19891397	Image of living collection specimen with accession number 19891397						Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574776758	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2ZvdG9zdGF0aW9uL0FyY2hpdmUvQVJDSF8xLzAwMDAwODUwLmpwZw==	http://data.rbge.org.uk/living/19891397	19891397	Image of living collection specimen with accession number 19891397						Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574776758	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMTMvOTcvUGhvdG9fNTFjMWQxYzQ4ZWQyNy5qcGc=	http://data.rbge.org.uk/living/19891397	19891397	Image of living collection specimen with accession number 19891397 by Debbie White				Debbie White		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574776758	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2ZvdG9zdGF0aW9uL0FyY2hpdmUvQVJDSF8xLzAwMDAwODQ5LmpwZw==	http://data.rbge.org.uk/living/19891397	19891397	Image of living collection specimen with accession number 19891397						Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
5292680040	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/551921244/original.jpg	https://www.inaturalist.org/photos/551921244					2025-08-13T18:20:38Z	Dillon Freiburger		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Dillon Freiburger
