gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
5833243306				CC_BY_NC_4_0	2025-09-05T09:58:00Z		https://sernecportal.org/portal/collections/individual/index.php?occid=34015087				urn:lsid:biocol.org:col:15610		GA				PRESERVED_SPECIMEN	field values redacted: eventDate, month, day, startDayOfYear, endDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources			b740cea9-f199-4a4c-a7e0-88f6e16f0618	GA281394		Paul D. Sørensen															PRESENT							294954																2011				2011																		US	Illinois	DeKalb																																																						74866								Boltonia decurrens (Torr. & A.Gray) Wood							Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Boltonia	Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES				ACCEPTED			648e3756-5dff-462b-9323-41e3214d9c3c	US	2025-10-02T05:01:17.391Z						TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY				false	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens		DWC_ARCHIVE	2025-10-02T05:01:17.391Z	2025-10-02T04:48:15.057Z		false			false	NORTH_AMERICA	NORTH_AMERICA									
5828049876				CC_BY_NC_4_0	2025-09-03T22:04:59Z		https://www.inaturalist.org/observations/311344983	Christopher David Benda					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 28417m at the request of the observer			https://www.inaturalist.org/observations/311344983	311344983		Christopher David Benda															PRESENT																							2025-09-03T11:43:53	11:43:53-05:00	246	246	2025	9	3	2025-09-03 11:43:53-05:00											NORTH_AMERICA				US	Illinois				Illinois, US								37.29618	-89.417459	28417.0																															692247727				Christopher David Benda		2025-09-03T22:02:13				159307								Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-09-30T18:42:11.516Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens		DWC_ARCHIVE	2025-09-30T18:42:11.516Z	2025-09-30T01:52:16.102Z		false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.14_1	Illinois	USA.14.2_1	Alexander			
575284047				CC0	2023-10-22T22:12:55Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN	Sensitive location data withheld			https://data.rbge.org.uk/herb/E00421302	E00421302																	PRESENT	HERBARIUM SHEET																																							Cultivated	EUROPE				GB				R09:Rock Garden																																																												Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-09-30T03:54:39.576Z						CONTINENT_DERIVED_FROM_COUNTRY				false	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens (Torr. & A.Gray) Wood		DWC_ARCHIVE	2025-09-30T03:54:39.576Z	2025-09-30T03:23:56.099Z		false			false	EUROPE	EUROPE									
575063897				CC0	2012-03-01T00:00:00Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00560975	E00560975																	PRESENT	HERBARIUM SHEET																																							North America																																																																					Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-09-30T03:54:25.998Z										false	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens (Torr. & A.Gray) Wood		DWC_ARCHIVE	2025-09-30T03:54:25.998Z	2025-09-30T03:23:56.099Z					false		EUROPE									
575014979				CC0	2023-10-22T22:12:55Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN	Sensitive location data withheld			https://data.rbge.org.uk/herb/E00421301	E00421301																	PRESENT	HERBARIUM SHEET																																							Cultivated	EUROPE				GB				R09:Rock Garden																																																												Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-09-30T03:54:41.903Z						CONTINENT_DERIVED_FROM_COUNTRY				false	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens (Torr. & A.Gray) Wood		DWC_ARCHIVE	2025-09-30T03:54:41.903Z	2025-09-30T03:23:56.099Z		false			false	EUROPE	EUROPE									
574909397				CC0	2012-03-01T00:00:00Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00560974	E00560974																	PRESENT	HERBARIUM SHEET																																							North America																																																																					Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-09-30T03:54:26Z										false	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens (Torr. & A.Gray) Wood		DWC_ARCHIVE	2025-09-30T03:54:26Z	2025-09-30T03:23:56.099Z					false		EUROPE									
574820592				CC0	2012-03-01T00:00:00Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00560973	E00560973																	PRESENT	HERBARIUM SHEET																																							North America																																																																					Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-09-30T03:54:26.083Z										false	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens (Torr. & A.Gray) Wood		DWC_ARCHIVE	2025-09-30T03:54:26.083Z	2025-09-30T03:23:56.099Z					false		EUROPE									
574776758				CC_BY_NC_4_0	2012-05-16T00:00:00Z				PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LIVING_SPECIMEN				http://data.rbge.org.uk/living/19891397	19891397							Indeterminate										PRESENT		alive																														collected directly from the wild								North America					US	Illinois			E St Louis														degrees minutes seconds																																														Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES			ICBN	ACCEPTED			7adf20e0-c955-11de-95c0-b8a03c50a862	GB	2025-09-30T10:06:19.489Z						AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY			StillImage	false	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens (Torr. & A.Gray) Wood		DWC_ARCHIVE	2025-09-30T10:06:19.489Z	2025-09-30T03:13:51.227Z		true			false	NORTH_AMERICA	EUROPE									
5292680040				CC_BY_NC_4_0	2025-08-15T01:05:59Z		https://www.inaturalist.org/observations/306073724	Dillon Freiburger					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 28181m at the request of the observer			https://www.inaturalist.org/observations/306073724	306073724		Dillon Freiburger															PRESENT								7															2025-08-13T11:20:19	11:20:19-05:00	225	225	2025	8	13	2025-08-13 11:20:19											NORTH_AMERICA				US	Missouri				Missouri, US								38.889609	-90.063551	28181.0																															681186626				Dillon Freiburger		2025-08-13T18:42:44				159307								Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-09-30T18:17:32.688Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens		DWC_ARCHIVE	2025-09-30T18:17:32.688Z	2025-09-30T01:52:16.102Z		false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.14_1	Illinois	USA.14.58_1	Madison			
5292438190				CC_BY_NC_4_0	2025-09-03T16:44:54Z		https://www.inaturalist.org/observations/302611792	Dillon Freiburger					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 28151m at the request of the observer			https://www.inaturalist.org/observations/302611792	302611792		Dillon Freiburger															PRESENT																							2025-07-31T09:19:11	09:19:11-05:00	212	212	2025	7	31	2025-07-31 09:19:11											NORTH_AMERICA				US	Missouri				Missouri, US								39.12196	-90.783792	28151.0																															674172847				Dillon Freiburger		2025-07-31T14:22:03				159307								Boltonia decurrens (Torr. & A.Gray) Wood								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia	Boltonia			decurrens			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-09-30T17:31:01.628Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	5393595	5393595	6	7707728	220	414	3065	3114418		5393595	Boltonia decurrens	Boltonia decurrens (Torr. & A.Gray) Wood	Boltonia decurrens		DWC_ARCHIVE	2025-09-30T17:31:01.628Z	2025-09-30T01:52:16.102Z		false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.26_1	Missouri	USA.26.57_1	Lincoln			
