gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
5833243306					2025-09-05 09:58:00		https://sernecportal.org/portal/collections/individual/index.php?occid=34015087				urn:lsid:biocol.org:col:15610		GA				PreservedSpecimen	field values redacted: eventDate, month, day, startDayOfYear, endDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources			b740cea9-f199-4a4c-a7e0-88f6e16f0618	GA281394		Paul D. Sørensen																							294954																				2011																		United States	US	Illinois	DeKalb																																																														74866								Boltonia decurrens							Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Boltonia	Plantae	Magnoliophyta		Asterales		Asteraceae				Boltonia				decurrens			Species		(Torr. & A. Gray) Alph. Wood					
5828049876				https://creativecommons.org/licenses/by-nc/4.0/	2025-09-03T22:04:59Z		https://www.inaturalist.org/observations/311344983	Christopher David Benda					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 28417m at the request of the observer			https://www.inaturalist.org/observations/311344983	311344983		Christopher David Benda																																							2025-09-03T11:43:53-05:00	11:43:53-05:00						2025-09-03 11:43:53-05:00																US	Illinois				Illinois, US												37.2961802755	-89.4174588524	EPSG:4326	28417																																		692247727				Christopher David Benda		2025-09-03T22:02:13Z				159307								Boltonia decurrens								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia							species							
575284047					2023-10-22T22:12:55Z				PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	HERBARIUM SHEET	Sensitive location data withheld			https://data.rbge.org.uk/herb/E00421302	E00421302																		HERBARIUM SHEET																																								Cultivated					United Kingdom	GB				R09:Rock Garden															wgs84																																																					Boltonia decurrens (Torr. & A.Gray) Wood													Compositae				Boltonia				decurrens							ICBN			
575063897					2012-03-01T00:00:00Z				PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	HERBARIUM SHEET				https://data.rbge.org.uk/herb/E00560975	E00560975																		HERBARIUM SHEET																																								North America																									wgs84																																																					Boltonia decurrens (Torr. & A.Gray) Wood													Compositae				Boltonia				decurrens							ICBN			
575014979					2023-10-22T22:12:55Z				PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	HERBARIUM SHEET	Sensitive location data withheld			https://data.rbge.org.uk/herb/E00421301	E00421301																		HERBARIUM SHEET																																								Cultivated					United Kingdom	GB				R09:Rock Garden															wgs84																																																					Boltonia decurrens (Torr. & A.Gray) Wood													Compositae				Boltonia				decurrens							ICBN			
574909397					2012-03-01T00:00:00Z				PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	HERBARIUM SHEET				https://data.rbge.org.uk/herb/E00560974	E00560974																		HERBARIUM SHEET																																								North America																									wgs84																																																					Boltonia decurrens (Torr. & A.Gray) Wood													Compositae				Boltonia				decurrens							ICBN			
574820592					2012-03-01T00:00:00Z				PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	HERBARIUM SHEET				https://data.rbge.org.uk/herb/E00560973	E00560973																		HERBARIUM SHEET																																								North America																									wgs84																																																					Boltonia decurrens (Torr. & A.Gray) Wood													Compositae				Boltonia				decurrens							ICBN			
574776758					2012-05-16 00:00:00				PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19891397	19891397							not recorded												alive																															collected directly from the wild								North America					US		Illinois			E St Louis																						degrees minutes seconds																																														Boltonia decurrens (Torr. & A.Gray) Wood													Compositae				Boltonia				decurrens							ICBN			
5292680040				https://creativecommons.org/licenses/by-nc/4.0/	2025-08-15T01:05:59Z		https://www.inaturalist.org/observations/306073724	Dillon Freiburger					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 28181m at the request of the observer			https://www.inaturalist.org/observations/306073724	306073724		Dillon Freiburger																								7															2025-08-13T11:20:19-05:00	11:20:19-05:00						2025-08-13 11:20:19																US	Missouri				Missouri, US												38.8896086223	-90.0635512126	EPSG:4326	28181																																		681186626				Dillon Freiburger		2025-08-13T18:42:44Z				159307								Boltonia decurrens								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia							species							
5292438190				https://creativecommons.org/licenses/by-nc/4.0/	2025-09-03T16:44:54Z		https://www.inaturalist.org/observations/302611792	Dillon Freiburger					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 28151m at the request of the observer			https://www.inaturalist.org/observations/302611792	302611792		Dillon Freiburger																																							2025-07-31T09:19:11-05:00	09:19:11-05:00						2025-07-31 09:19:11																US	Missouri				Missouri, US												39.1219602405	-90.7837921129	EPSG:4326	28151																																		674172847				Dillon Freiburger		2025-07-31T14:22:03Z				159307								Boltonia decurrens								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia							species							
