qseqid	gene	protein_name	uniprot_acc	organism	Function	sacc	taxid	pident	qcovs	evalue	bitscore	stitle	sscinames	sskingdoms	PE	SV	length	staxids	uniprot_entry	full_desc
g10845	DTX14	Protein DETOXIFICATION 14	Q9C994	Arabidopsis thaliana	NA	sp|Q9C994|DTX14_ARATH	3702	56.223	98	0	556	sp|Q9C994|DTX14_ARATH Protein DETOXIFICATION 14 OS=Arabidopsis thaliana OX=3702 GN=DTX14 PE=1 SV=1	N/A	N/A	1	1	466	0	DTX14_ARATH	Protein DETOXIFICATION 14 OS=Arabidopsis thaliana OX=3702 GN=DTX14 PE=1 SV=1
g10846	DTX14	Protein DETOXIFICATION 14	Q9C994	Arabidopsis thaliana	NA	sp|Q9C994|DTX14_ARATH	3702	57.356	96	0	565	sp|Q9C994|DTX14_ARATH Protein DETOXIFICATION 14 OS=Arabidopsis thaliana OX=3702 GN=DTX14 PE=1 SV=1	N/A	N/A	1	1	469	0	DTX14_ARATH	Protein DETOXIFICATION 14 OS=Arabidopsis thaliana OX=3702 GN=DTX14 PE=1 SV=1
g11037	N	TMV resistance protein N	Q40392	Nicotiana glutinosa	Disease resistance protein. Resistance proteins guard the plant against pathogens that contain an appropriate avirulence protein via a direct or indirect interaction with this avirulence protein. That triggers a defense system including the hypersensitive response, which restricts the pathogen growth.	sp|Q40392|TMVRN_NICGU	35889	33.86	81	4.219999999999999e-151	485	sp|Q40392|TMVRN_NICGU TMV resistance protein N OS=Nicotiana glutinosa OX=35889 GN=N PE=1 SV=1	N/A	N/A	1	1	1013	0	TMVRN_NICGU	TMV resistance protein N OS=Nicotiana glutinosa OX=35889 GN=N PE=1 SV=1
g17785	RPPL1	Putative disease resistance RPP13-like protein 1	Q9LRR4	Arabidopsis thaliana	Potential disease resistance protein.	sp|Q9LRR4|R13L1_ARATH	3702	34.877	76	3.1499999999999993e-168	532	sp|Q9LRR4|R13L1_ARATH Putative disease resistance RPP13-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=RPPL1 PE=3 SV=1	N/A	N/A	3	1	1015	0	R13L1_ARATH	Putative disease resistance RPP13-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=RPPL1 PE=3 SV=1
g23771	ADH2	Alcohol dehydrogenase class-3	Q96533	Arabidopsis thaliana	Alcohol dehydrogenase catalyzing the reduction of nitrosoglutathione (PubMed:38308388). Can also use long-chain alcohols including cinnamyl alcohol and geraniol, and, to a lower extent, octanol (PubMed:38308388). Plays a central role in formaldehyde detoxification (PubMed:12913179). Not able to use ethanol (EtOH) as substrate (PubMed:38308388). {ECO:0000269|PubMed:12913179, ECO:0000269|PubMed:38308388}.	sp|Q96533|ADHX_ARATH	3702	90.107	98	0	710	sp|Q96533|ADHX_ARATH Alcohol dehydrogenase class-3 OS=Arabidopsis thaliana OX=3702 GN=ADH2 PE=1 SV=2	N/A	N/A	1	2	374	0	ADHX_ARATH	Alcohol dehydrogenase class-3 OS=Arabidopsis thaliana OX=3702 GN=ADH2 PE=1 SV=2
g23772	RIN13	RPM1 interacting protein 13	Q9SK71	Arabidopsis thaliana	Resistance protein interactor which positively enhances RPM1-mediated resistance to necrotrophic bacterial pathogens Pseudomonas syringae pv. tomato DC3000 harboring type III effector protein AvrRpm1 or AvrB, but prevents the hypersensitive response (HR) controlled by RPM1 (PubMed:15722472). Together with ARF1, promotes leaf senescence and cell death, probably by facilitating the translocation of ARF1 into the nucleus, and activates ROS-related enzymes (e.g. POD, CAT and SOD) (PubMed:32446355). {ECO:0000269|PubMed:15722472, ECO:0000269|PubMed:32446355}.	sp|Q9SK71|RIN13_ARATH	3702	30.743	54	1.02e-28	121	sp|Q9SK71|RIN13_ARATH RPM1 interacting protein 13 OS=Arabidopsis thaliana OX=3702 GN=RIN13 PE=1 SV=1	N/A	N/A	1	1	296	0	RIN13_ARATH	RPM1 interacting protein 13 OS=Arabidopsis thaliana OX=3702 GN=RIN13 PE=1 SV=1
g23775	IAA13	Auxin-responsive protein IAA13	Q38831	Arabidopsis thaliana	Aux/IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations. Repression is thought to result from the interaction with auxin response factors (ARFs), proteins that bind to the auxin-responsive promoter element (AuxRE). Formation of heterodimers with ARF proteins may alter their ability to modulate early auxin response genes expression. {ECO:0000269|PubMed:12036262}.	sp|Q38831|IAA13_ARATH	3702	43.59	73	2.4e-37	134	sp|Q38831|IAA13_ARATH Auxin-responsive protein IAA13 OS=Arabidopsis thaliana OX=3702 GN=IAA13 PE=1 SV=2	N/A	N/A	1	2	195	0	IAA13_ARATH	Auxin-responsive protein IAA13 OS=Arabidopsis thaliana OX=3702 GN=IAA13 PE=1 SV=2
g23776	At1g04090	Hypothetical protein At1g04090	Q501D1	Arabidopsis thaliana	NA	sp|Q501D1|Y1490_ARATH	3702	53.86	99	0	629	sp|Q501D1|Y1490_ARATH Hypothetical protein At1g04090 OS=Arabidopsis thaliana OX=3702 GN=At1g04090 PE=2 SV=1	N/A	N/A	2	1	570	0	Y1490_ARATH	Hypothetical protein At1g04090 OS=Arabidopsis thaliana OX=3702 GN=At1g04090 PE=2 SV=1
g29333	Hnrnpul1	Heterogeneous nuclear ribonucleoprotein U-like protein 1	Q8VDM6	Mus musculus	Acts as a basic transcriptional regulator. Represses basic transcription driven by several virus and cellular promoters. When associated with BRD7, activates transcription of glucocorticoid-responsive promoter in the absence of ligand-stimulation. Also plays a role in mRNA processing and transport. Binds avidly to poly(G) and poly(C) RNA homopolymers in vitro (By similarity). {ECO:0000250}.	sp|Q8VDM6|HNRL1_MOUSE	10090	38.265	58	1.63e-79	273	sp|Q8VDM6|HNRL1_MOUSE Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Mus musculus OX=10090 GN=Hnrnpul1 PE=1 SV=1	N/A	N/A	1	1	392	0	HNRL1_MOUSE	Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Mus musculus OX=10090 GN=Hnrnpul1 PE=1 SV=1
g33823	NA	Ras-related protein Rab7	Q43463	Glycine max	Protein transport. Probably involved in vesicular traffic (By similarity). {ECO:0000250}.	sp|Q43463|RAB7_SOYBN	3847	92.432	100	5.429999999999999e-130	365	sp|Q43463|RAB7_SOYBN Ras-related protein Rab7 OS=Glycine max OX=3847 PE=2 SV=1	N/A	N/A	2	1	185	0	RAB7_SOYBN	Ras-related protein Rab7 OS=Glycine max OX=3847 PE=2 SV=1
g35152	CHS3	Chalcone synthase 3	P48392	Gerbera hybrida	The primary product of this enzyme is 4,2',4',6'-tetrahydroxychalcone (also termed naringenin-chalcone or chalcone) which can under specific conditions spontaneously isomerize into naringenin.	sp|P48392|CHS3_GERHY	18101	91.067	100	0	778	sp|P48392|CHS3_GERHY Chalcone synthase 3 OS=Gerbera hybrida OX=18101 GN=CHS3 PE=2 SV=1	N/A	N/A	2	1	403	0	CHS3_GERHY	Chalcone synthase 3 OS=Gerbera hybrida OX=18101 GN=CHS3 PE=2 SV=1
g3732	COX5B-2	Cytochrome c oxidase subunit 5b-2, mitochondrial	Q9SSB8	Arabidopsis thaliana	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport. {ECO:0000255|PROSITE-ProRule:PRU00692}.	sp|Q9SSB8|CX5B2_ARATH	3702	57.862	90	1.1799999999999998e-56	177	sp|Q9SSB8|CX5B2_ARATH Cytochrome c oxidase subunit 5b-2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=COX5B-2 PE=1 SV=1	N/A	N/A	1	1	159	0	CX5B2_ARATH	Cytochrome c oxidase subunit 5b-2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=COX5B-2 PE=1 SV=1
g7187	At1g12620	Pentatricopeptide repeat-containing protein At1g12620	Q9ASZ8	Arabidopsis thaliana	NA	sp|Q9ASZ8|PPR37_ARATH	3702	24.528	30	5.28e-11	70.1	sp|Q9ASZ8|PPR37_ARATH Pentatricopeptide repeat-containing protein At1g12620 OS=Arabidopsis thaliana OX=3702 GN=At1g12620 PE=2 SV=1	N/A	N/A	2	1	265	0	PPR37_ARATH	Pentatricopeptide repeat-containing protein At1g12620 OS=Arabidopsis thaliana OX=3702 GN=At1g12620 PE=2 SV=1
g7188	LTL1	GDSL esterase/lipase LTL1	Q9M8Y5	Arabidopsis thaliana	Involved in the mechanisms of salt tolerance (PubMed:16930315). Mediates resistance to LiCl and NaCl (PubMed:16930315). {ECO:0000269|PubMed:16930315}.	sp|Q9M8Y5|LTL1_ARATH	3702	63.636	99	3.7499999999999992e-171	484	sp|Q9M8Y5|LTL1_ARATH GDSL esterase/lipase LTL1 OS=Arabidopsis thaliana OX=3702 GN=LTL1 PE=1 SV=1	N/A	N/A	1	1	363	0	LTL1_ARATH	GDSL esterase/lipase LTL1 OS=Arabidopsis thaliana OX=3702 GN=LTL1 PE=1 SV=1
