qseqid	gene	protein_name	uniprot_acc	organism	Function	sacc	taxid	pident	qcovs	evalue	bitscore	stitle	sscinames	sskingdoms	PE	SV	length	staxids	uniprot_entry	full_desc
g13703	NA	Lon protease homolog 2, peroxisomal	O04979	Spinacia oleracea	ATP-dependent serine protease that mediates the selective degradation of misfolded and unassembled polypeptides in the peroxisomal matrix. Necessary for type 2 peroxisome targeting signal (PTS2)-containing protein processing and facilitates peroxisome matrix protein import. {ECO:0000255|HAMAP-Rule:MF_03121}.	sp|O04979|LONP2_SPIOL	3562	80.43	99	0	1435	sp|O04979|LONP2_SPIOL Lon protease homolog 2, peroxisomal OS=Spinacia oleracea OX=3562 PE=2 SV=2	N/A	N/A	2	2	884	0	LONP2_SPIOL	Lon protease homolog 2, peroxisomal OS=Spinacia oleracea OX=3562 PE=2 SV=2
g13704	GOT1	Vesicle transport protein GOT1	Q6NMM1	Arabidopsis thaliana	May be involved in fusion of ER-derived transport vesicles with the Golgi complex. {ECO:0000250|UniProtKB:Q6ZVE7}.	sp|Q6NMM1|GOT1_ARATH	3702	65.714	100	4.5199999999999995e-67	202	sp|Q6NMM1|GOT1_ARATH Vesicle transport protein GOT1 OS=Arabidopsis thaliana OX=3702 GN=GOT1 PE=1 SV=1	N/A	N/A	1	1	140	0	GOT1_ARATH	Vesicle transport protein GOT1 OS=Arabidopsis thaliana OX=3702 GN=GOT1 PE=1 SV=1
g1493	MTERF4	Transcription termination factor MTERF4, chloroplastic	Q9ZT96	Arabidopsis thaliana	Transcription termination factor required for processing and steady-state levels of plastid transcripts. Required for splicing of the chloroplastic Clp protease (ClpP) group IIa intron. Required for maturation of 16S rRNA and 23S rRNA in the chloroplast. Essential for embryogenesis (PubMed:21464319). Required for the maintenance of the correct levels of transcripts in the mitochondria and chloroplasts. {ECO:0000269|PubMed:21464319}.	sp|Q9ZT96|MTEF4_ARATH	3702	54.22	77	1.5899999999999997e-152	449	sp|Q9ZT96|MTEF4_ARATH Transcription termination factor MTERF4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MTERF4 PE=1 SV=1	N/A	N/A	1	1	391	0	MTEF4_ARATH	Transcription termination factor MTERF4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MTERF4 PE=1 SV=1
g1495	PFP-ALPHA	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Q41140	Ricinus communis	Regulatory subunit of pyrophosphate--fructose 6-phosphate 1-phosphotransferase. {ECO:0000255|HAMAP-Rule:MF_03185}.	sp|Q41140|PFPA_RICCO	3988	46.809	38	6.18e-7	50.1	sp|Q41140|PFPA_RICCO Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha OS=Ricinus communis OX=3988 GN=PFP-ALPHA PE=3 SV=1	N/A	N/A	3	1	47	0	PFPA_RICCO	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha OS=Ricinus communis OX=3988 GN=PFP-ALPHA PE=3 SV=1
g15790	LIS	U4/U6 small nuclear ribonucleoprotein PRP4-like protein	O22212	Arabidopsis thaliana	Participates in pre-mRNA splicing. Part of the U4/U5/U6 tri-snRNP complex, one of the building blocks of the spliceosome (By similarity). Essential for reproduction. In female gametophyte, is necessary for the egg cell and central cell fate determination and hence reproductive success. Involved in a mechanism that prevents accessory cells from adopting gametic cell fate (PubMed:17326723). Modulates egg cell signaling center that regulates the development of all female gametophytic cells (PubMed:22190635). {ECO:0000250|UniProtKB:O43172, ECO:0000269|PubMed:17326723, ECO:0000269|PubMed:22190635}.	sp|O22212|PRP4L_ARATH	3702	66.026	87	0	654	sp|O22212|PRP4L_ARATH U4/U6 small nuclear ribonucleoprotein PRP4-like protein OS=Arabidopsis thaliana OX=3702 GN=LIS PE=2 SV=1	N/A	N/A	2	1	468	0	PRP4L_ARATH	U4/U6 small nuclear ribonucleoprotein PRP4-like protein OS=Arabidopsis thaliana OX=3702 GN=LIS PE=2 SV=1
g15791	At1g62670	Pentatricopeptide repeat-containing protein At1g62670, mitochondrial	Q9SXD1	Arabidopsis thaliana	NA	sp|Q9SXD1|PPR91_ARATH	3702	25.217	99	9.93e-42	163	sp|Q9SXD1|PPR91_ARATH Pentatricopeptide repeat-containing protein At1g62670, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At1g62670 PE=3 SV=2	N/A	N/A	3	2	460	0	PPR91_ARATH	Pentatricopeptide repeat-containing protein At1g62670, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At1g62670 PE=3 SV=2
g16073	Os07g0190000	Probable 1-deoxy-D-xylulose-5-phosphate synthase 2, chloroplastic	Q6YU51	Oryza sativa subsp. japonica	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP). Is a limiting enzyme for plastidic isoprenoid biosynthesis and essential for chloroplast development (By similarity). {ECO:0000250}.	sp|Q6YU51|DXS2_ORYSJ	39947	75.327	94	0	1094	sp|Q6YU51|DXS2_ORYSJ Probable 1-deoxy-D-xylulose-5-phosphate synthase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os07g0190000 PE=2 SV=1	N/A	N/A	2	1	689	0	DXS2_ORYSJ	Probable 1-deoxy-D-xylulose-5-phosphate synthase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os07g0190000 PE=2 SV=1
g17972	Terf1	Telomeric repeat-binding factor 1	P70371	Mus musculus	Binds the telomeric double-stranded 5'-TTAGGG-3' repeat and negatively regulates telomere length. Involved in the regulation of the mitotic spindle. Component of the shelterin complex (telosome) that is involved in the regulation of telomere length and protection. Shelterin associates with arrays of double-stranded 5'-TTAGGG-3' repeats added by telomerase and protects chromosome ends; without its protective activity, telomeres are no longer hidden from the DNA damage surveillance and chromosome ends are inappropriately processed by DNA repair pathways. {ECO:0000269|PubMed:24413433}.	sp|P70371|TERF1_MOUSE	10090	40.625	13	2.41e-6	53.5	sp|P70371|TERF1_MOUSE Telomeric repeat-binding factor 1 OS=Mus musculus OX=10090 GN=Terf1 PE=1 SV=1	N/A	N/A	1	1	64	0	TERF1_MOUSE	Telomeric repeat-binding factor 1 OS=Mus musculus OX=10090 GN=Terf1 PE=1 SV=1
g18435	1a	Replicase polyprotein 1a	P0C6U3	Human coronavirus HKU1 (isolate N1)	The papain-like proteinase 1 (PL1-PRO) and papain-like proteinase 2 (PL2-PRO) are responsible for the cleavages located at the N-terminus of the replicase polyprotein. In addition, PLP2 possesses a deubiquitinating/deISGylating activity and processes both 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains from cellular substrates. Antagonizes innate immune induction of type I interferon by blocking the phosphorylation, dimerization and subsequent nuclear translocation of host IRF-3 (By similarity). {ECO:0000250}.; FUNCTION: [3C-like proteinase nsp5]: Responsible for the majority of cleavages as it cleaves the C-terminus of replicase polyprotein at 11 sites. Recognizes substrates containing the core sequence [ILMVF]-Q-|-[SGACN]. Inhibited by the substrate-analog Cbz-Val-Asn-Ser-Thr-Leu-Gln-CMK. Also contains an ADP-ribose-1''-phosphate (ADRP)-binding function (By similarity). {ECO:0000255|PROSITE-ProRule:PRU00772}.; FUNCTION: Nsp7-nsp8 hexadecamer may possibly confer processivity to the polymerase, maybe by binding to dsRNA or by producing primers utilized by the latter. {ECO:0000250}.; FUNCTION: [RNA-capping enzyme subunit nsp9]: Catalytic subunit of viral RNA capping enzyme which catalyzes the RNA guanylyltransferase reaction for genomic and sub-genomic RNAs. The kinase-like NiRAN domain of NSP12 transfers RNA to the amino terminus of NSP9, forming a covalent RNA-protein intermediate. Subsequently, the NiRAN domain transfers RNA to GDP, forming the core cap structure GpppA-RNA. The NSP14 and NSP16 methyltransferases then add methyl groups to form functional cap structures. {ECO:0000250|UniProtKB:P0DTC1}.; FUNCTION: [Non-structural protein 1]: Binds to the 40S ribosomal subunit and inhibits host translation. The nsp1-40S ribosome complex further induces an endonucleolytic cleavage near the 5'UTR of host mRNAs, targeting them for degradation. By suppressing host gene expression, nsp1 facilitates efficient viral gene expression in infected cells and evasion from host immune response (By similarity). {ECO:0000250}.	sp|P0C6U3|R1A_CVHN1	443239	30.928	32	1.71e-12	74.7	sp|P0C6U3|R1A_CVHN1 Replicase polyprotein 1a OS=Human coronavirus HKU1 (isolate N1) OX=443239 GN=1a PE=1 SV=1	N/A	N/A	1	1	194	0	R1A_CVHN1	Replicase polyprotein 1a OS=Human coronavirus HKU1 (isolate N1) OX=443239 GN=1a PE=1 SV=1
g18437	CURT1A	Protein CURVATURE THYLAKOID 1A, chloroplastic	O04616	Arabidopsis thaliana	Determines thylakoid architecture by inducing membrane curvature. {ECO:0000269|PubMed:23839788}.	sp|O04616|CUT1A_ARATH	3702	50	100	2.12e-46	152	sp|O04616|CUT1A_ARATH Protein CURVATURE THYLAKOID 1A, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CURT1A PE=1 SV=1	N/A	N/A	1	1	174	0	CUT1A_ARATH	Protein CURVATURE THYLAKOID 1A, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CURT1A PE=1 SV=1
