MaternalLine,FlowerHead,PlantingDate,FirstLeafDate,TransplantDate,Id,Country,State,County,Latitude,Longitude,Google_cood,Locality,Location Details,label,index,Date.1,Surv.1,numStem.1,numRos.1,stemLength.1,numLvs.1,# latBuds.1,leafLong.1,leafWide.1,numFlwrBud.1,flwrBud.1,Date.2,Surv.2,numStem.2,numRos.2,stemLength.2,numLvs.2,leafLong.2,leafWide.2,flwrBud.2,notes.2,Date.3,numStem.3,numRos.3,stemLength.3,numLvs.3,leafLong.3,leafWide.3,numFlwrB.3,numRayF.3,numDiscF.3,firstFlwr.3,Date.4,Surv.4,numStem.4,numRos.4,numLSt.4,stemLength.4,numFlwrB.4,numRayF.4,numDiscF.4,firstFlwr.4,notes.4,Date.5,Surv.5,numStem.5,numRos.5,numLSt.5,stemLength.5,numFlwrB.5,numRayF.5,numDiscF.5,firstFlwr.5,notes.5,Date.6,Surv..6,numStem.6,numRos.6,numLSt.6,stemLength.6,numFlwrB.6,numRayF.6,numDiscF.6,notes.6,Date.7,Surv.7,numStem.7,numRos.7,numLSt.7,stemLength.7,numFlwrB.7,numRayF.7,numDiscF.7,notes.7,Index2,Date.8,Surv.8,numStem.8,numRos.8,numLSt.8,stemLength.8,numFlwrB.8,numRayF.8,numDiscF.8,notes.8,Taxon,Area,Bed,Position/Spot,Inventory Date,Status,Plant Count,Planting Material Type,Source,Provenance,Property,Ipen,Restriction,Date received,Quantity received,Collector,Collection Num,Collection Date,Sampling method,EO ID,EO number,Property ownership,Notes on Habitat and soil,Mother Plant/Maternal Pop,Family,Seed/Lot #,Index Seminum Year
2011-2598-1,L1B,2/29/24,3/7/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",8-6-1,9,5/1/2024,Y,0,1,NA,11,0,10,1.9,NA,NA,5/8/2024,Y,1,0,0.8,12,16.9,2.4,0,NA,5/15/2024,0,1,NA,16,22.6,2.3,NA,NA,NA,NA,5/22/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,9,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,L13B,2/29/24,3/10/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2-6-8,12,5/1/2024,Y,0,1,NA,11,2,15.7,1.5,NA,NA,5/8/2024,Y,1,2,1.7,17,23.8,1.8,0,NA,5/15/2024,1,0,2.6,18,31.2,2,0,0,0,NA,5/22/2024,Y,1,0,0,8.8,0,0,0,NA,NA,5/29/2024,Y,1,0,0,22.5,0,0,0,NA,NA,6/5/24,Y,1,0,0,49.2,0,0,0,NA,6/12/24,Y,1,0,0,63.1,0,0,0,NA,12,6/19/24,Y,1,0,0,58.4,0,0,0,Many lower leaves dead,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,L3B,2/29/24,3/8/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",8-6-12,27,5/1/2024,Y,0,1,NA,8,0,6.9,1.3,NA,NA,5/8/2024,Y,0,1,NA,10,15.2,1.3,NA,NA,5/15/2024,0,1,NA,13,17.6,1.3,NA,NA,NA,NA,5/22/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,27,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,L7B,2/29/24,3/7/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",5-5-2,58,5/1/2024,Y,1,0,2.1,12,1,16.7,2.3,0,N,5/8/2024,Y,1,1,11.7,21,19.2,2.5,0,NA,5/15/2024,1,0,24.3,20,19.2,2.5,0,0,0,NA,5/22/2024,Y,1,0,0,37.1,0,0,0,NA,NA,5/29/2024,Y,1,0,0,46.8,0,0,0,NA,NA,6/5/24,Y,1,0,0,66,2,1,0,NA,6/12/24,Y,1,0,3,70.7,3,3,0,NA,58,6/19/24,Y,1,0,3,71.2,3,4,1,NA,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,L4B,2/29/24,3/5/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",6-5-3,67,5/1/2024,Y,1,0,5.7,20,4,16.5,3,0,N,5/8/2024,Y,1,0,17.5,29,18.5,3.1,0,NA,5/15/2024,3,0,34,36,18.2,2.7,1,0,0,NA,5/22/2024,Y,3,0,5,53.5,3,1,0,NA,NA,5/29/2024,Y,3,0,5,60.1,6,3,1,NA,NA,6/5/24,Y,3,0,4,62.9,3,3,4,NA,6/12/24,Y,3,0,5,61.5,5,4,6,4 of 6 discs senesced,67,6/19/24,Y,3,0,5,59.9,4,5,10,6 of 10 discs senesced,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,S11C,2/29/24,3/17/34,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2-2-2,83,5/1/2024,Y,0,1,NA,8,0,6.5,1.7,NA,NA,5/8/2024,Y,0,1,NA,8,13.1,2.4,NA,NA,5/15/2024,0,1,NA,10,21.4,2.5,NA,NA,NA,NA,5/22/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,83,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,L9D,2/29/24,3/7/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",7-2-7,91,5/1/2024,Y,0,1,NA,9,0,9.4,1.8,NA,NA,5/8/2024,Y,0,1,NA,12,17.1,2.2,NA,NA,5/15/2024,0,1,NA,14,22.5,2.2,NA,NA,NA,NA,5/22/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,91,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,L4B,2/29/24,3/7/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",6-5-2,102,5/1/2024,Y,1,0,1.1,18,3,14.1,2.4,0,N,5/8/2024,Y,1,0,6.7,30,18.1,2.3,0,NA,5/15/2024,3,0,20,34,20.8,2,0,0,0,NA,5/22/2024,Y,3,0,0,33.5,0,0,0,NA,NA,5/29/2024,Y,3,0,0,50.5,3,0,0,NA,NA,6/5/24,Y,2,1,0,65.8,3,1,0,NA,6/12/24,Y,2,2,5,68.5,3,2,1,NA,102,6/19/24,Y,3,0,4,67.2,4,0,3,NA,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,L5A,2/29/24,3/7/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",7-3-2,103,5/1/2024,Y,1,0,5.4,23,6,12.9,2,0,N,5/8/2024,Y,1,3,15.6,43,13,1.8,0,Rosette attached just below soil,5/15/2024,1,3,26.1,66,13,2,2,0,0,NA,5/22/2024,Y,1,3,6,35.2,4,0,0,NA,NA,5/29/2024,Y,1,3,6,36.4,1,4,0,NA,NA,6/5/24,Y,1,2,4,37.7,1,1,4,NA,6/12/24,Y,1,4,6,37.5,2,1,5,NA,103,6/19/24,Y,1,3,4,36,1,1,6,NA,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
2011-2598-1,S8A,2/29/24,3/6/24,4/12/24,1180001,United States,Illinois,Jersey,NA,NA,"38.961398423802066, -90.51481032460987",NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",3-6-7,171,5/1/2024,Y,0,1,NA,10,0,11.2,2.1,NA,NA,5/8/2024,Y,0,1,NA,12,19.6,2.2,NA,NA,5/15/2024,0,1,NA,13,25,2.8,NA,NA,NA,NA,5/22/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,5/29/2024,Y,0,1,0,NA,NA,NA,NA,NA,NA,6/5/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,6/12/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,171,6/19/24,Y,0,1,N/A,N/A,N/A,N/A,N/A,NA,Boltonia decurrens,MBG Seed Bank,CCSD Seed Bank Freezer,NA,2023-12-01T00:00:00Z,Dormant,9628,Seed,Missouri Botanical Garden,Wild,Shaw Nature Reserve,NA,Project specific use only,2011-12-01T00:00:00Z,98,Smith,s.n.,08 Nov 1997,NA,NA,NA,NA,Open bottomland/floodplain,NA,Asteraceae,NA,NA
