Sample_Name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Sample_Species,index,label,MaternalLine,FlowerHead,State,County,Latitude,Longitude,Google_latitude,Google_longitude,Adapted_Longitude,Adapted_Latitude,PC1_variance,PC2_variance,shape_number
Boltonia_001,-0.00500149,0.00340393,7.54109e-4,0.0552737,0.075144,-0.0115175,0.00178365,-0.00626506,-0.00410234,0.0176766,B. decurrens,1,3-4-4,2011-2599-1,2,Illinois,Saint Clair,38.6494444,-90.1161111,38.651507278988504,-90.10298738781108,-90.1161111,38.6494444,4.494366810369465,1.7090556653626248,23
Boltonia_002,-0.00455761,0.00386939,0.00147384,0.0565665,0.0751506,-0.0113317,2.04556e-4,-0.00585916,-0.00401095,0.0191374,B. decurrens,2,3-4-3,2011-2599-1,2,Illinois,Saint Clair,38.6494444,-90.1161111,38.651507278988504,-90.10298738781108,-90.1161111,38.6494444,4.494366810369465,1.7090556653626248,23
Boltonia_004,0.0153718,-0.00119279,0.00120142,-0.006015,-0.00642092,-2.41807e-4,3.26748e-4,0.00607813,-8.75765e-5,9.49947e-4,B. decurrens,4,4-6-12,2011-2659-1,12B,Illinois,Frederick,NA,NA,40.07116308939078,-90.429571958886,-90.429571958886,40.07116308939078,4.494366810369465,1.7090556653626248,23
Boltonia_005,0.0200265,-0.00246542,-6.22684e-4,-0.0209953,-0.0324402,0.00585824,0.0145915,-0.130226,-0.00112517,3.21125e-4,B. decurrens,5,5-2-8,2011-2613-1,8A,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404,-90.18724497777134,-90.1994444,40.2047222,4.494366810369465,1.7090556653626248,23
Boltonia_006,0.0210082,-0.0030467,-2.20912e-4,-0.0229995,-0.034516,0.00659852,0.0166577,-0.135753,-0.00182487,7.28423e-4,B. decurrens,6,1-6-5,2011-2664-1,14,Illinois,Fulton,40.2047222,-90.1994444,40.207444479612775,-90.1871999885973,-90.1994444,40.2047222,4.494366810369465,1.7090556653626248,23
Boltonia_007,0.0167226,-0.00144338,9.43597e-4,-0.00848558,-0.01156,9.44063e-4,-0.00343651,0.0198604,6.42619e-4,2.5117e-4,B. decurrens,7,2-1-1,2011-2661-1,7B,Illinois,Tazewell,NA,NA,40.69584983597212,-89.54394792156027,-89.54394792156027,40.69584983597212,4.494366810369465,1.7090556653626248,23
Boltonia_008,-2.98458e-4,0.00208431,0.00102769,0.0701837,0.124951,-0.0228597,-0.00423491,-0.0255376,0.00870037,-0.0549464,B. decurrens,8,3-3-1,2011-2635-1,28,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,-90.22302347588696,38.86501904919102,4.494366810369465,1.7090556653626248,23
Boltonia_009,0.0170353,-9.91665e-4,0.00218461,-0.00780927,-0.0106137,0.00248756,-0.00212782,0.0138595,2.75817e-4,-2.39969e-4,B. decurrens,9,8-6-1,2011-2598-1,L1B,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_010,-0.138958,0.100932,0.0609947,-0.056975,0.0137883,0.0261222,-4.14399e-4,-0.00447028,0.0217661,0.055388,B. decurrens,10,6-4-5,2011-2636-1,5,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,-90.4458333,40.010555600000004,4.494366810369465,1.7090556653626248,23
Boltonia_012,0.0182296,-0.00134375,0.00342228,-0.00986842,-0.0136858,0.0025128,-0.0018421,0.0136523,-4.16441e-4,-0.00112068,B. decurrens,12,2-6-8,2011-2598-1,L13B,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_013,0.0186093,-0.00117978,0.00178558,-0.0135393,-0.0184617,0.00288407,-0.00500921,0.0410549,2.56217e-4,-4.21652e-4,B. decurrens,13,5-6-5,2011-2629-1,28C,Illinois,Marshal,41.045,-89.4311111,41.02868892611459,-89.43846248262098,-89.4311111,41.045,4.494366810369465,1.7090556653626248,23
Boltonia_014,0.0205684,-0.00206552,-7.98114e-4,-0.0207198,-0.0322236,0.00567793,0.014942,-0.127611,-8.8873e-4,3.18203e-4,B. decurrens,14,10-6-5,2011-2613-1,14B,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404,-90.18724497777134,-90.1994444,40.2047222,4.494366810369465,1.7090556653626248,23
Boltonia_015,0.0191574,-0.00281698,-1.74173e-4,-0.0162678,-0.0248471,0.00294793,-0.00587565,0.0557307,9.48033e-4,-0.00114836,B. decurrens,15,1-2-6,2011-2623-1,30C,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,-89.55849691836283,41.34414603458205,4.494366810369465,1.7090556653626248,23
Boltonia_016,-0.00160451,0.00375875,-4.5363e-4,0.0653732,0.111651,-0.020622,-0.00380332,-0.0186651,0.0053609800000000004,-0.0438223,B. decurrens,16,9-6-8,2011-2635-1,17,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,-90.22302347588696,38.86501904919102,4.494366810369465,1.7090556653626248,23
Boltonia_017,0.018463,-0.00155519,0.00052129400000000005,-0.0173368,-0.0263223,0.00450454,0.0124755,-0.0962835,-4.77132e-4,7.73672e-5,B. decurrens,17,9-5-3,2011-2664-1,7,Illinois,Fulton,40.2047222,-90.1994444,40.207444479612775,-90.1871999885973,-90.1994444,40.2047222,4.494366810369465,1.7090556653626248,23
Boltonia_018,-0.161629,0.104741,0.0498391,-0.0495527,0.00552497,0.0106549,0.00694796,0.00131557,-0.00556035,0.0147806,B. decurrens,18,1-6-11,2011-2636-1,9,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,-90.4458333,40.010555600000004,4.494366810369465,1.7090556653626248,23
Boltonia_019,0.0156983,-6.53961e-4,0.00176388,-0.00616514,-0.00762744,2.71165e-4,-5.44462e-4,0.008881,1.80837e-4,-4.09246e-4,B. decurrens,19,2-3-5,2011-2675-1,2A,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,-90.4275,40.0672223,4.494366810369465,1.7090556653626248,23
Boltonia_020,0.0185926,-0.00247199,9.23418e-4,-0.0136456,-0.0184057,0.00244926,-0.00378504,0.0395303,0.00108519,-0.00107935,B. decurrens,20,7-1-6,2011-2650-1,18A,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775,-89.0297386240063,-89.4583333,40.8852777,4.494366810369465,1.7090556653626248,23
Boltonia_021,0.0152473,-4.93934e-4,8.37644e-4,-0.00429261,-0.00547632,6.02004e-4,-0.0010452,0.00846264,6.18585e-4,-8.58251e-5,B. decurrens,21,2-4-1,2011-2666-1,18A,Illinois,Fulton,40.4925,-89.9022222,40.46699902833787,-89.9485498557629,-89.9022222,40.4925,4.494366810369465,1.7090556653626248,23
Boltonia_022,0.0149982,-0.00134769,0.00140862,-0.00515743,-0.00361998,0.00145577,-4.27579e-4,0.0086458,8.46042e-4,1.7705e-4,B. decurrens,22,10-2-3,2011-2636-1,23,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,-90.4458333,40.010555600000004,4.494366810369465,1.7090556653626248,23
Boltonia_023,0.0193057,-0.00210564,-8.14458e-4,-0.0175855,-0.0280079,0.00556171,0.013171799999999999,-0.109287,3.55735e-4,9.52982e-4,B. decurrens,23,4-4-1,2011-2664-1,29,Illinois,Fulton,40.2047222,-90.1994444,40.207444479612775,-90.1871999885973,-90.1994444,40.2047222,4.494366810369465,1.7090556653626248,23
