# This file was produced by bcftools stats (1.14+htslib-1.14) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -s - ../IMLS_Illumina/Boltonia_vcf/onlydecurrens/Boltonia_decurrens_imputed.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	../IMLS_Illumina/Boltonia_vcf/onlydecurrens/Boltonia_decurrens_imputed.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	424
SN	0	number of records:	9957183
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8259717
SN	0	number of MNPs:	0
SN	0	number of indels:	1697466
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5236732	3022985	1.73	5236732	3022985	1.73
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	788168	443830	344338	296279	0	0	296279
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1217566	712562	505004	407191	0	0	407191
AF	0	0.002358	517195	329650	187545	117167	0	0	117167
AF	0	0.004717	350155	223364	126791	75347	0	0	75347
AF	0	0.007075	265836	170231	95605	55419	0	0	55419
AF	0	0.009434	213186	136592	76594	43336	0	0	43336
AF	0	0.011792	180743	115876	64867	36041	0	0	36041
AF	0	0.014151	158671	101874	56797	31503	0	0	31503
AF	0	0.016509	139238	89582	49656	27421	0	0	27421
AF	0	0.018868	127231	81429	45802	24582	0	0	24582
AF	0	0.021226	115149	73796	41353	22411	0	0	22411
AF	0	0.023585	108334	69580	38754	20995	0	0	20995
AF	0	0.025943	99968	64278	35690	19147	0	0	19147
AF	0	0.028302	94602	60788	33814	18298	0	0	18298
AF	0	0.030660	89827	57545	32282	17244	0	0	17244
AF	0	0.033019	85236	54678	30558	16382	0	0	16382
AF	0	0.035377	80087	51573	28514	15307	0	0	15307
AF	0	0.037736	76027	48881	27146	14473	0	0	14473
AF	0	0.040094	72433	46445	25988	13689	0	0	13689
AF	0	0.042453	68041	43684	24357	12874	0	0	12874
AF	0	0.044811	66046	42464	23582	12689	0	0	12689
AF	0	0.047170	63943	41178	22765	12209	0	0	12209
AF	0	0.049528	61867	39819	22048	11893	0	0	11893
AF	0	0.051887	59688	38303	21385	11189	0	0	11189
AF	0	0.054245	57638	36827	20811	10868	0	0	10868
AF	0	0.056604	57002	36570	20432	10638	0	0	10638
AF	0	0.058962	55447	35532	19915	10325	0	0	10325
AF	0	0.061321	53505	34332	19173	10079	0	0	10079
AF	0	0.063679	52797	33799	18998	9837	0	0	9837
AF	0	0.066038	50611	32674	17937	9380	0	0	9380
AF	0	0.068396	48969	31201	17768	9149	0	0	9149
AF	0	0.070755	47583	30372	17211	8890	0	0	8890
AF	0	0.073113	45919	29603	16316	8558	0	0	8558
AF	0	0.075472	44825	28715	16110	8252	0	0	8252
AF	0	0.077830	43196	27670	15526	7969	0	0	7969
AF	0	0.080189	41357	26587	14770	7848	0	0	7848
AF	0	0.082547	40213	25777	14436	7492	0	0	7492
AF	0	0.084906	39528	25419	14109	7358	0	0	7358
AF	0	0.087264	38394	24596	13798	7144	0	0	7144
AF	0	0.089623	38448	24776	13672	7264	0	0	7264
AF	0	0.091981	37322	23885	13437	6801	0	0	6801
AF	0	0.094340	35577	22840	12737	6702	0	0	6702
AF	0	0.096698	34985	22413	12572	6539	0	0	6539
AF	0	0.099057	34576	22320	12256	6432	0	0	6432
AF	0	0.101415	33807	21648	12159	6254	0	0	6254
AF	0	0.103774	32644	21008	11636	6187	0	0	6187
AF	0	0.106132	32393	20799	11594	6134	0	0	6134
AF	0	0.108491	32026	20613	11413	5873	0	0	5873
AF	0	0.110849	31079	19851	11228	5860	0	0	5860
AF	0	0.113208	30582	19689	10893	5684	0	0	5684
AF	0	0.115566	30605	19754	10851	5673	0	0	5673
AF	0	0.117925	29727	19121	10606	5399	0	0	5399
AF	0	0.120283	29716	19094	10622	5455	0	0	5455
AF	0	0.122642	28902	18576	10326	5303	0	0	5303
AF	0	0.125000	28441	18224	10217	5025	0	0	5025
AF	0	0.127358	27685	17762	9923	5024	0	0	5024
AF	0	0.129717	26921	17162	9759	4879	0	0	4879
AF	0	0.132075	26349	16997	9352	4818	0	0	4818
AF	0	0.134434	26312	16857	9455	4639	0	0	4639
AF	0	0.136792	25565	16499	9066	4653	0	0	4653
AF	0	0.139151	25101	16191	8910	4676	0	0	4676
AF	0	0.141509	24754	15829	8925	4342	0	0	4342
AF	0	0.143868	24047	15465	8582	4336	0	0	4336
AF	0	0.146226	24165	15463	8702	4356	0	0	4356
AF	0	0.148585	23570	15167	8403	4271	0	0	4271
AF	0	0.150943	23098	14964	8134	4100	0	0	4100
AF	0	0.153302	22771	14654	8117	4172	0	0	4172
AF	0	0.155660	22304	14242	8062	4086	0	0	4086
AF	0	0.158019	22260	14344	7916	3946	0	0	3946
AF	0	0.160377	21808	14025	7783	3995	0	0	3995
AF	0	0.162736	21629	13906	7723	3826	0	0	3826
AF	0	0.165094	21215	13572	7643	3777	0	0	3777
AF	0	0.167453	20652	13140	7512	3717	0	0	3717
AF	0	0.169811	20171	12923	7248	3671	0	0	3671
AF	0	0.172170	20452	13204	7248	3638	0	0	3638
AF	0	0.174528	20563	13135	7428	3602	0	0	3602
AF	0	0.176887	20265	12975	7290	3700	0	0	3700
AF	0	0.179245	19557	12552	7005	3487	0	0	3487
AF	0	0.181604	19266	12401	6865	3437	0	0	3437
AF	0	0.183962	18207	11714	6493	3215	0	0	3215
AF	0	0.186321	18363	11896	6467	3227	0	0	3227
AF	0	0.188679	18151	11641	6510	3144	0	0	3144
AF	0	0.191038	17805	11412	6393	3164	0	0	3164
AF	0	0.193396	17865	11537	6328	3110	0	0	3110
AF	0	0.195755	17397	11143	6254	3078	0	0	3078
AF	0	0.198113	16905	10852	6053	3115	0	0	3115
AF	0	0.200472	16770	10780	5990	3080	0	0	3080
AF	0	0.202830	16719	10765	5954	2980	0	0	2980
AF	0	0.205189	16677	10753	5924	2960	0	0	2960
AF	0	0.207547	16353	10479	5874	2917	0	0	2917
AF	0	0.209906	15902	10257	5645	2718	0	0	2718
AF	0	0.212264	15643	10079	5564	2685	0	0	2685
AF	0	0.214623	15025	9659	5366	2576	0	0	2576
AF	0	0.216981	14967	9631	5336	2625	0	0	2625
AF	0	0.219340	15008	9598	5410	2795	0	0	2795
AF	0	0.221698	14574	9342	5232	2663	0	0	2663
AF	0	0.224057	15349	9862	5487	2609	0	0	2609
AF	0	0.226415	15069	9801	5268	2657	0	0	2657
AF	0	0.228774	14542	9318	5224	2618	0	0	2618
AF	0	0.231132	14687	9453	5234	2468	0	0	2468
AF	0	0.233491	13988	9106	4882	2407	0	0	2407
AF	0	0.235849	13514	8726	4788	2425	0	0	2425
AF	0	0.238208	13701	8839	4862	2450	0	0	2450
AF	0	0.240566	13728	8778	4950	2434	0	0	2434
AF	0	0.242925	13829	8947	4882	2254	0	0	2254
AF	0	0.245283	13562	8783	4779	2304	0	0	2304
AF	0	0.247642	13218	8548	4670	2185	0	0	2185
AF	0	0.250000	12802	8262	4540	2284	0	0	2284
AF	0	0.252358	12736	8246	4490	2143	0	0	2143
AF	0	0.254717	12666	8184	4482	2244	0	0	2244
AF	0	0.257075	12533	8113	4420	2206	0	0	2206
AF	0	0.259434	12462	7977	4485	2277	0	0	2277
AF	0	0.261792	12559	8066	4493	2115	0	0	2115
AF	0	0.264151	12550	8084	4466	2121	0	0	2121
AF	0	0.266509	12430	7994	4436	2101	0	0	2101
AF	0	0.268868	11845	7598	4247	2097	0	0	2097
AF	0	0.271226	11883	7636	4247	1998	0	0	1998
AF	0	0.273585	11559	7484	4075	2034	0	0	2034
AF	0	0.275943	11285	7295	3990	1955	0	0	1955
AF	0	0.278302	11462	7390	4072	1995	0	0	1995
AF	0	0.280660	11392	7265	4127	1928	0	0	1928
AF	0	0.283019	11090	7161	3929	1863	0	0	1863
AF	0	0.285377	11092	7230	3862	1945	0	0	1945
AF	0	0.287736	11043	7157	3886	2003	0	0	2003
AF	0	0.290094	10881	6940	3941	1793	0	0	1793
AF	0	0.292453	10619	6843	3776	1835	0	0	1835
AF	0	0.294811	10848	7010	3838	1787	0	0	1787
AF	0	0.297170	10384	6722	3662	1809	0	0	1809
AF	0	0.299528	10403	6683	3720	1761	0	0	1761
AF	0	0.301887	10314	6565	3749	1750	0	0	1750
AF	0	0.304245	10012	6531	3481	1685	0	0	1685
AF	0	0.306604	9909	6385	3524	1777	0	0	1777
AF	0	0.308962	10061	6461	3600	1641	0	0	1641
AF	0	0.311321	9872	6343	3529	1720	0	0	1720
AF	0	0.313679	9697	6178	3519	1683	0	0	1683
AF	0	0.316038	9919	6410	3509	1575	0	0	1575
AF	0	0.318396	9670	6375	3295	1604	0	0	1604
AF	0	0.320755	9414	6108	3306	1528	0	0	1528
AF	0	0.323113	9318	5983	3335	1630	0	0	1630
AF	0	0.325472	9195	5873	3322	1651	0	0	1651
AF	0	0.327830	9101	5954	3147	1564	0	0	1564
AF	0	0.330189	9074	5790	3284	1535	0	0	1535
AF	0	0.332547	8978	5692	3286	1509	0	0	1509
AF	0	0.334906	8707	5615	3092	1537	0	0	1537
AF	0	0.337264	9133	5844	3289	1515	0	0	1515
AF	0	0.339623	8608	5514	3094	1538	0	0	1538
AF	0	0.341981	8853	5729	3124	1484	0	0	1484
AF	0	0.344340	8742	5533	3209	1531	0	0	1531
AF	0	0.346698	8676	5577	3099	1456	0	0	1456
AF	0	0.349057	8593	5497	3096	1460	0	0	1460
AF	0	0.351415	8784	5677	3107	1457	0	0	1457
AF	0	0.353774	8676	5634	3042	1422	0	0	1422
AF	0	0.356132	8463	5458	3005	1362	0	0	1362
AF	0	0.358491	8263	5308	2955	1370	0	0	1370
AF	0	0.360849	8368	5431	2937	1333	0	0	1333
AF	0	0.363208	8213	5274	2939	1368	0	0	1368
AF	0	0.365566	8116	5202	2914	1404	0	0	1404
AF	0	0.367925	8133	5251	2882	1409	0	0	1409
AF	0	0.370283	7987	5118	2869	1313	0	0	1313
AF	0	0.372642	8141	5341	2800	1374	0	0	1374
AF	0	0.375000	8176	5230	2946	1308	0	0	1308
AF	0	0.377358	7972	5169	2803	1367	0	0	1367
AF	0	0.379717	7845	5043	2802	1383	0	0	1383
AF	0	0.382075	7903	5072	2831	1308	0	0	1308
AF	0	0.384434	7722	4979	2743	1289	0	0	1289
AF	0	0.386792	7561	4874	2687	1213	0	0	1213
AF	0	0.389151	7671	4905	2766	1204	0	0	1204
AF	0	0.391509	7732	4930	2802	1220	0	0	1220
AF	0	0.393868	7630	5023	2607	1234	0	0	1234
AF	0	0.396226	7576	4935	2641	1251	0	0	1251
AF	0	0.398585	7453	4788	2665	1174	0	0	1174
AF	0	0.400943	7428	4787	2641	1201	0	0	1201
AF	0	0.403302	7263	4662	2601	1208	0	0	1208
AF	0	0.405660	7227	4662	2565	1150	0	0	1150
AF	0	0.408019	7109	4629	2480	1136	0	0	1136
AF	0	0.410377	7016	4534	2482	1140	0	0	1140
AF	0	0.412736	7113	4564	2549	1127	0	0	1127
AF	0	0.415094	6909	4555	2354	1134	0	0	1134
AF	0	0.417453	7047	4495	2552	1153	0	0	1153
AF	0	0.419811	6961	4501	2460	1113	0	0	1113
AF	0	0.422170	7006	4541	2465	1142	0	0	1142
AF	0	0.424528	6924	4515	2409	1045	0	0	1045
AF	0	0.426887	6650	4312	2338	1092	0	0	1092
AF	0	0.429245	6847	4429	2418	1084	0	0	1084
AF	0	0.431604	6663	4354	2309	1085	0	0	1085
AF	0	0.433962	6849	4445	2404	1078	0	0	1078
AF	0	0.436321	6758	4384	2374	1091	0	0	1091
AF	0	0.438679	6646	4315	2331	1106	0	0	1106
AF	0	0.441038	6690	4297	2393	1057	0	0	1057
AF	0	0.443396	6518	4245	2273	1053	0	0	1053
AF	0	0.445755	6381	4187	2194	1044	0	0	1044
AF	0	0.448113	6601	4277	2324	1103	0	0	1103
AF	0	0.450472	6644	4303	2341	1090	0	0	1090
AF	0	0.452830	6705	4330	2375	1060	0	0	1060
AF	0	0.455189	6330	4104	2226	970	0	0	970
AF	0	0.457547	6444	4152	2292	1004	0	0	1004
AF	0	0.459906	6385	4156	2229	981	0	0	981
AF	0	0.462264	6291	4107	2184	951	0	0	951
AF	0	0.464623	6287	4170	2117	985	0	0	985
AF	0	0.466981	6237	4048	2189	1035	0	0	1035
AF	0	0.469340	6163	3989	2174	948	0	0	948
AF	0	0.471698	6217	4082	2135	935	0	0	935
AF	0	0.474057	5956	3810	2146	941	0	0	941
AF	0	0.476415	5837	3709	2128	943	0	0	943
AF	0	0.478774	6010	3863	2147	893	0	0	893
AF	0	0.481132	5983	3897	2086	903	0	0	903
AF	0	0.483491	5790	3752	2038	813	0	0	813
AF	0	0.485849	5754	3760	1994	867	0	0	867
AF	0	0.488208	5742	3713	2029	885	0	0	885
AF	0	0.490566	5654	3638	2016	866	0	0	866
