Sample_Name,Ps,Pn,Pd,Pop,Pop_Index,Sample_Species,fastq,GVCF,index,MaternalLine,FlowerHead,Country,State,County,Latitude,Longitude,Google_latitude,Google_longitude,Locality,Location_Details,PlantingDate,FirstLeafDate,Collection_Date,Collector,Adapted_Longitude,Adapted_Latitude,Pop_Name,Load_type
Boltonia_001,0.19332677094273923,0.1493905849989141,0.08063549779972316,Fairmont City (1997),Pop_01,B. decurrens,TRUE,TRUE,1,2011-2599-1,2,United States,Illinois,Saint Clair,38.6494444,-90.1161111,38.6515072789885,-90.10298738781108,NA,"Fairmont City, Maternal lines = 28, Seedheads = 28; 2 packets",2/29/24,3/7/24,1997-12-05T00:00:00Z,Smith,-90.1161111,38.6494444,1 - Fairmont City (1997),Total Load
Boltonia_002,0.19382601501186097,0.14983069977426636,0.08142745973045748,Fairmont City (1997),Pop_01,B. decurrens,TRUE,TRUE,2,2011-2599-1,2,United States,Illinois,Saint Clair,38.6494444,-90.1161111,38.6515072789885,-90.10298738781108,NA,"Fairmont City, Maternal lines = 28, Seedheads = 28; 2 packets",2/29/24,3/6/24,1997-12-05T00:00:00Z,Smith,-90.1161111,38.6494444,1 - Fairmont City (1997),Total Load
Boltonia_004,0.18209927421215988,0.14078572415744756,0.07619706767486864,Frederick Landing (2011),Pop_09,B. decurrens,TRUE,TRUE,4,2011-2659-1,12B,United States,Illinois,Frederick,NA,NA,40.07116308939078,-90.429571958886,NA,"Frederick Landing, Maternal lines = 15, Seedheads = 44; 2 packets",2/29/24,3/6/24,2011-12-01T00:00:00Z,Smith,-90.429571958886,40.07116308939078,9 - Frederick Landing (2011),Total Load
Boltonia_005,0.17983697640208302,0.13886484939025595,0.0743755552341797,Anderson Lake (2000),Pop_11,B. decurrens,TRUE,TRUE,5,2011-2613-1,8A,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404,-90.18724497777134,NA,"Anderson Lake, Maternal lines = 30, Seedheads = 61; 2 packets",2/29/24,3/7/24,2000-10-01T00:00:00Z,Smith,-90.1994444,40.2047222,11 - Anderson Lake (2000),Total Load
Boltonia_006,0.1783306094702518,0.13780857392941054,0.07328058178212095,Anderson Lake (1997),Pop_10,B. decurrens,TRUE,TRUE,6,2011-2664-1,14,United States,Illinois,Fulton,40.2047222,-90.1994444,40.20744447961278,-90.1871999885973,NA,"Anderson Lake, Maternal lines = 31, Seedheads = 31",2/29/24,3/12/24,1997-11-21T00:00:00Z,Smith,-90.1994444,40.2047222,10 - Anderson Lake (1997),Total Load
Boltonia_007,0.18074362247100695,0.1399005587401036,0.07444786480176849,Cooper Park (2000),Pop_13,B. decurrens,TRUE,TRUE,7,2011-2661-1,7B,United States,Illinois,Tazewell,NA,NA,40.69584983597212,-89.54394792156027,NA,"Cooper park South, Maternal lines = 43, Seedheads = 73; 4 packets",2/29/24,3/9/24,2000-10-01T00:00:00Z,Smith,-89.54394792156027,40.69584983597212,13 - Cooper Park (2000),Total Load
Boltonia_008,0.1902104203854855,0.14737839669889238,0.07952330778395278,West Alton (1999),Pop_03,B. decurrens,TRUE,TRUE,8,2011-2635-1,28,United States,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,NA,"West Alton, Maternal lines = 32, Seedheads = 32; 2 packets",2/29/24,3/6/24,1999-11-07T00:00:00Z,Smith,-90.22302347588696,38.86501904919102,3 - West Alton (1999),Total Load
Boltonia_009,0.16512654581192315,0.12887218737865994,0.06913483324036389,Gilbert Lake (1997),Pop_04,B. decurrens,TRUE,TRUE,9,2011-2598-1,L1B,United States,Illinois,Jersey,NA,NA,38.96139842380207,-90.51481032460988,NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2/29/24,3/7/24,1997-11-08T00:00:00Z,Smith,-90.51481032460988,38.96139842380207,4 - Gilbert Lake (1997),Total Load
Boltonia_012,0.15612523804365402,0.12191261541701492,0.0662631104132664,Gilbert Lake (1997),Pop_04,B. decurrens,TRUE,TRUE,12,2011-2598-1,L13B,United States,Illinois,Jersey,NA,NA,38.96139842380207,-90.51481032460988,NA,"Gilbert Lake, Maternal lines = 32, Seedheads = 98; 6 packets",2/29/24,3/10/24,1997-11-08T00:00:00Z,Smith,-90.51481032460988,38.96139842380207,4 - Gilbert Lake (1997),Total Load
Boltonia_013,0.17948216772402792,0.13828488506011885,0.07406910040011294,Sparland (1999),Pop_16,B. decurrens,TRUE,TRUE,13,2011-2629-1,28C,United States,Illinois,Marshal,41.045,-89.4311111,41.02868892611459,-89.43846248262098,NA,"Sparland, Maternal lines = 30, Seedheads = 90; 3 packets",2/29/24,3/7/24,1999-11-11T00:00:00Z,Smith,-89.4311111,41.045,16 - Sparland (1999),Total Load
