"statistic","signif","env_var","sig_color"
-0.04449502926982696,0.5647435256474352,"annualPET","p >= 0.05"
0.054226325587014595,0.32266773322667736,"aridityIndexThornthwaite","p >= 0.05"
-0.02276239239442903,0.5349465053494651,"climaticMoistureIndex","p >= 0.05"
0.12091578767971163,0.24047595240475952,"continentality","p >= 0.05"
0.035208890456376096,0.43955604439556045,"embergerQ","p >= 0.05"
0.28245197673290606,0.0466953304669533,"growingDegDays0","p < 0.05"
0.10705618059265934,0.22557744225577442,"growingDegDays5","p >= 0.05"
0.2156308947168513,0.13438656134386562,"maxTempColdest","p >= 0.05"
0.3019461256390783,0.045795420457954206,"minTempWarmest","p < 0.05"
-0.04181564196062426,0.41025897410258977,"monthCountByTemp10","p >= 0.05"
0.1649940793870657,0.18498150184981502,"PETColdestQuarter","p >= 0.05"
0.1649940793870657,0.1887811218878112,"PETDriestQuarter","p >= 0.05"
0.27727598860341235,0.06529347065293471,"PETseasonality","p >= 0.05"
0.020166359019621695,0.41505849415058493,"PETWarmestQuarter","p >= 0.05"
0.009532385910799614,0.39716028397160286,"PETWettestQuarter","p >= 0.05"
0.2730194094158593,0.07089291070892911,"thermicityIndex","p >= 0.05"
0.20400280232485252,0.1260873912608739,"Bio1 - Annual Mean Temperature","p >= 0.05"
0.13067773089624687,0.2283771622837716,"Bio10 - Mean Temperature of Warmest Quarter","p >= 0.05"
0.2601186255171224,0.08139186081391861,"Bio11 - Mean Temperature of Coldest Quarter","p >= 0.05"
0.0640907825110583,0.3447655234476552,"Bio12 - Annual Precipitation","p >= 0.05"
-0.16450506497075337,0.9194080591940806,"Bio13 - Precipitation of Wettest Month","p >= 0.05"
0.24173828753688067,0.07179282071792821,"Bio14 - Precipitation of Driest Month","p >= 0.05"
0.2754730401239417,0.030896910308969103,"Bio15 - Precipitation Seasonality","p < 0.05"
0.1252540854711353,0.1665833416658334,"Bio16 - Precipitation of Wettest Quarter","p >= 0.05"
0.2828455870893016,0.03799620037996201,"Bio17 - Precipitation of Driest Quarter","p < 0.05"
-0.09876127135247692,0.5838416158384162,"Bio18 - Precipitation of Warmest Quarter","p >= 0.05"
0.2828455870893016,0.0405959404059594,"Bio19 - Precipitation of Coldest Quarter","p < 0.05"
-0.12366801635595846,0.8209179082091791,"Bio2 - Mean Diurnal Range","p >= 0.05"
-0.2974557007539145,0.9809019098090191,"Bio3 - Isothermality","p >= 0.05"
0.23817112594316175,0.06919308069193081,"Bio4 - Temperature Seasonality","p >= 0.05"
-0.1087972882623202,0.7291270872912708,"Bio5 - Max Temperature of Warmest Month","p >= 0.05"
0.2830871857598695,0.07239276072392761,"Bio6 - Min Temperature of Coldest Month","p >= 0.05"
0.353163138293952,0.020597940205979402,"Bio7 - Temperature Annual Range","p < 0.05"
-0.016122027340177186,0.4941505849415059,"Bio8 - Mean Temperature of Wettest Quarter","p >= 0.05"
0.2601186255171224,0.08039196080391961,"Bio9 - Mean Temperature of Driest Quarter","p >= 0.05"
