"statistic","signif","env_var","sig_color"
0.31650826648057934,0.033596640335966405,"annualPET","p < 0.05"
0.3390881417608383,0.0096990300969903,"aridityIndexThornthwaite","p < 0.05"
0.11338704179420865,0.22507749225077492,"climaticMoistureIndex","p >= 0.05"
0.3845192875031171,0.012398760123987601,"continentality","p < 0.05"
0.3417943385460691,0.008099190080991902,"embergerQ","p < 0.05"
0.4578775674193733,0.0066993300669933005,"growingDegDays0","p < 0.05"
0.38089909077056766,0.0091990800919908,"growingDegDays5","p < 0.05"
0.42051750375075625,0.007099290070992901,"maxTempColdest","p < 0.05"
0.4642970226297512,0.0066993300669933005,"minTempWarmest","p < 0.05"
0.04746663105183899,0.35676432356764326,"monthCountByTemp10","p >= 0.05"
0.40103547607097473,0.005599440055994401,"PETColdestQuarter","p < 0.05"
0.40103547607097473,0.006399360063993601,"PETDriestQuarter","p < 0.05"
0.44891087930806145,0.007499250074992501,"PETseasonality","p < 0.05"
0.149122826168249,0.22327767223277672,"PETWarmestQuarter","p >= 0.05"
0.09680023609248505,0.2820717928207179,"PETWettestQuarter","p >= 0.05"
0.4494257818666657,0.007899210078992101,"thermicityIndex","p < 0.05"
0.4165520455240971,0.0072992700729927005,"Bio1 - Annual Mean Temperature","p < 0.05"
0.3887697014325626,0.017998200179982,"Bio10 - Mean Temperature of Warmest Quarter","p < 0.05"
0.4329064015203175,0.006999300069993001,"Bio11 - Mean Temperature of Coldest Quarter","p < 0.05"
0.3681239841205972,0.010798920107989201,"Bio12 - Annual Precipitation","p < 0.05"
-0.14657614901489682,0.8981101889811018,"Bio13 - Precipitation of Wettest Month","p >= 0.05"
0.43436357893669814,0.012798720127987202,"Bio14 - Precipitation of Driest Month","p < 0.05"
0.4545901434594163,0.0082991700829917,"Bio15 - Precipitation Seasonality","p < 0.05"
0.32308007152446677,0.016698330166983303,"Bio16 - Precipitation of Wettest Quarter","p < 0.05"
0.4584603969773509,0.0051994800519948,"Bio17 - Precipitation of Driest Quarter","p < 0.05"
0.23177281404428454,0.1371862813718628,"Bio18 - Precipitation of Warmest Quarter","p >= 0.05"
0.4584603969773509,0.007799220077992201,"Bio19 - Precipitation of Coldest Quarter","p < 0.05"
-0.09850416756033195,0.7705229477052294,"Bio2 - Mean Diurnal Range","p >= 0.05"
-0.075673014848453,0.6959304069593041,"Bio3 - Isothermality","p >= 0.05"
0.43338350202877945,0.004899510048995101,"Bio4 - Temperature Seasonality","p < 0.05"
0.28625932970380163,0.0471952804719528,"Bio5 - Max Temperature of Warmest Month","p < 0.05"
0.4478017075120238,0.007999200079992,"Bio6 - Min Temperature of Coldest Month","p < 0.05"
0.49097472846917856,0.0034996500349965005,"Bio7 - Temperature Annual Range","p < 0.05"
0.09260756166960399,0.26877312268773124,"Bio8 - Mean Temperature of Wettest Quarter","p >= 0.05"
0.4329064015203175,0.0064993500649935,"Bio9 - Mean Temperature of Driest Quarter","p < 0.05"
0.3761908755631414,0.0037996200379962005,"geo_dist","p < 0.05"
