label,index,MaternalLine,FlowerHead,PlantingDate,FirstLeafDate,Google_Latitude,Google_Longitude,State,County,variable_name,Date_index,values,Date
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,leafLong,1,10.4,2024-05-01
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,leafLong,2,13.2,2024-05-08
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,leafLong,3,17.5,2024-05-15
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,leafWide,1,1.7,2024-05-01
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,leafWide,2,2,2024-05-08
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,leafWide,3,2.1,2024-05-15
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numDiscF,3,NA,2024-05-15
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numDiscF,4,NA,2024-05-22
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numDiscF,5,NA,2024-05-29
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numDiscF,6,NA,2024-06-05
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numDiscF,7,NA,2024-06-12
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numDiscF,8,NA,2024-06-19
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numFlwrB,1,NA,2024-05-01
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numFlwrB,2,NA,2024-05-08
3-4-4,1,2011-2599-1,2,2/29/24,3/7/24,38.651507278988504,-90.10298738781108,Illinois,Saint Clair,numFlwrB,3,NA,2024-05-15
