label,index,variable_name,Date_index,values,Date
3-4-4,1,leafLong,1,10.4,2024-05-01
3-4-4,1,leafLong,2,13.2,2024-05-08
3-4-4,1,leafLong,3,17.5,2024-05-15
3-4-4,1,leafWide,1,1.7,2024-05-01
3-4-4,1,leafWide,2,2,2024-05-08
3-4-4,1,leafWide,3,2.1,2024-05-15
3-4-4,1,numDiscF,3,NA,2024-05-15
3-4-4,1,numDiscF,4,NA,2024-05-22
3-4-4,1,numDiscF,5,NA,2024-05-29
3-4-4,1,numDiscF,6,NA,2024-06-05
3-4-4,1,numDiscF,7,NA,2024-06-12
3-4-4,1,numDiscF,8,NA,2024-06-19
3-4-4,1,numFlwrB,1,NA,2024-05-01
3-4-4,1,numFlwrB,2,NA,2024-05-08
3-4-4,1,numFlwrB,3,NA,2024-05-15
3-4-4,1,numFlwrB,4,NA,2024-05-22
3-4-4,1,numFlwrB,5,NA,2024-05-29
3-4-4,1,numFlwrB,6,NA,2024-06-05
3-4-4,1,numFlwrB,7,NA,2024-06-12
3-4-4,1,numFlwrB,8,NA,2024-06-19
3-4-4,1,numLSt,4,0,2024-05-22
3-4-4,1,numLSt,5,0,2024-05-29
3-4-4,1,numLSt,6,NA,2024-06-05
3-4-4,1,numLSt,7,NA,2024-06-12
3-4-4,1,numLSt,8,NA,2024-06-19
3-4-4,1,numLvs,1,13,2024-05-01
3-4-4,1,numLvs,2,16,2024-05-08
3-4-4,1,numLvs,3,19,2024-05-15
3-4-4,1,numRayF,3,NA,2024-05-15
3-4-4,1,numRayF,4,NA,2024-05-22
3-4-4,1,numRayF,5,NA,2024-05-29
3-4-4,1,numRayF,6,NA,2024-06-05
3-4-4,1,numRayF,7,NA,2024-06-12
3-4-4,1,numRayF,8,NA,2024-06-19
3-4-4,1,numRos,1,1,2024-05-01
3-4-4,1,numRos,2,1,2024-05-08
3-4-4,1,numRos,3,1,2024-05-15
3-4-4,1,numRos,4,1,2024-05-22
3-4-4,1,numRos,5,1,2024-05-29
3-4-4,1,numRos,6,1,2024-06-05
3-4-4,1,numRos,7,1,2024-06-12
3-4-4,1,numRos,8,1,2024-06-19
3-4-4,1,numStem,1,0,2024-05-01
3-4-4,1,numStem,2,0,2024-05-08
3-4-4,1,numStem,3,0,2024-05-15
3-4-4,1,numStem,4,0,2024-05-22
3-4-4,1,numStem,5,0,2024-05-29
3-4-4,1,numStem,6,0,2024-06-05
3-4-4,1,numStem,7,0,2024-06-12
3-4-4,1,numStem,8,0,2024-06-19
3-4-4,1,stemLength,1,NA,2024-05-01
3-4-4,1,stemLength,2,NA,2024-05-08
3-4-4,1,stemLength,3,NA,2024-05-15
3-4-4,1,stemLength,4,NA,2024-05-22
3-4-4,1,stemLength,5,NA,2024-05-29
3-4-4,1,stemLength,6,NA,2024-06-05
3-4-4,1,stemLength,7,NA,2024-06-12
3-4-4,1,stemLength,8,NA,2024-06-19
3-4-3,2,leafLong,1,9.4,2024-05-01
3-4-3,2,leafLong,2,14.9,2024-05-08
3-4-3,2,leafLong,3,18,2024-05-15
3-4-3,2,leafWide,1,1.9,2024-05-01
