qseqid	gene	protein_name	uniprot_acc	organism	Function	sacc	taxid	pident	qcovs	evalue	bitscore	stitle	sscinames	sskingdoms	PE	SV	length	staxids	uniprot_entry	full_desc
g1365	SKP1B	SKP1-like protein 1B	Q9FHW7	Arabidopsis thaliana	Involved in ubiquitination and subsequent proteasomal degradation of target proteins. Together with CUL1, RBX1 and a F-box protein, it forms a SCF E3 ubiquitin ligase complex. The functional specificity of this complex depends on the type of F-box protein. In the SCF complex, it serves as an adapter that links the F-box protein to CUL1. SCF(UFO) is required for vegetative and floral organ development as well as for male gametogenesis. SCF(TIR1) is involved in auxin signaling pathway. SCF(COI1) regulates responses to jasmonates. SCF(EID1) and SCF(AFR) are implicated in phytochrome A light signaling. SCF(ADO1), SCF(ADO2), SCF(ADO3) are related to the circadian clock. SCF(ORE9) seems to be involved in senescence. SCF(EBF1/EBF2) may regulate ethylene signaling. Plays a role during embryogenesis and early postembryonic development, especially during cell elongation and division. Contributes to the correct chromosome segregation during tetrad formation. {ECO:0000269|PubMed:10398681, ECO:0000269|PubMed:12970487, ECO:0000269|PubMed:14688296}.	sp|Q9FHW7|SKP1B_ARATH	3702	59.412	97	1.7999999999999997e-61	190	sp|Q9FHW7|SKP1B_ARATH SKP1-like protein 1B OS=Arabidopsis thaliana OX=3702 GN=SKP1B PE=1 SV=1	N/A	N/A	1	1	170	0	SKP1B_ARATH	SKP1-like protein 1B OS=Arabidopsis thaliana OX=3702 GN=SKP1B PE=1 SV=1
g1367	SEI2	Seipin-2	F4I340	Arabidopsis thaliana	Involved in lipid metabolism and lipid droplet (LD) morphology, number, and size. Supports the formation of small-sized LDs and modulates triacylglycerol accumulation. Induces probably a reorganization of the endoplasmic reticulum into LD-forming domains. {ECO:0000269|PubMed:26362606}.	sp|F4I340|SEI2_ARATH	3702	41.092	77	4.039999999999999e-99	309	sp|F4I340|SEI2_ARATH Seipin-2 OS=Arabidopsis thaliana OX=3702 GN=SEI2 PE=2 SV=1	N/A	N/A	2	1	348	0	SEI2_ARATH	Seipin-2 OS=Arabidopsis thaliana OX=3702 GN=SEI2 PE=2 SV=1
g13703	NA	Lon protease homolog 2, peroxisomal	O04979	Spinacia oleracea	ATP-dependent serine protease that mediates the selective degradation of misfolded and unassembled polypeptides in the peroxisomal matrix. Necessary for type 2 peroxisome targeting signal (PTS2)-containing protein processing and facilitates peroxisome matrix protein import. {ECO:0000255|HAMAP-Rule:MF_03121}.	sp|O04979|LONP2_SPIOL	3562	80.43	99	0	1435	sp|O04979|LONP2_SPIOL Lon protease homolog 2, peroxisomal OS=Spinacia oleracea OX=3562 PE=2 SV=2	N/A	N/A	2	2	884	0	LONP2_SPIOL	Lon protease homolog 2, peroxisomal OS=Spinacia oleracea OX=3562 PE=2 SV=2
g13704	GOT1	Vesicle transport protein GOT1	Q6NMM1	Arabidopsis thaliana	May be involved in fusion of ER-derived transport vesicles with the Golgi complex. {ECO:0000250|UniProtKB:Q6ZVE7}.	sp|Q6NMM1|GOT1_ARATH	3702	65.714	100	4.5199999999999995e-67	202	sp|Q6NMM1|GOT1_ARATH Vesicle transport protein GOT1 OS=Arabidopsis thaliana OX=3702 GN=GOT1 PE=1 SV=1	N/A	N/A	1	1	140	0	GOT1_ARATH	Vesicle transport protein GOT1 OS=Arabidopsis thaliana OX=3702 GN=GOT1 PE=1 SV=1
g13706	NA	Pyruvate kinase isozyme G, chloroplastic	Q40546	Nicotiana tabacum	NA	sp|Q40546|KPYG_TOBAC	4097	82.992	87	0	847	sp|Q40546|KPYG_TOBAC Pyruvate kinase isozyme G, chloroplastic OS=Nicotiana tabacum OX=4097 PE=2 SV=1	N/A	N/A	2	1	488	0	KPYG_TOBAC	Pyruvate kinase isozyme G, chloroplastic OS=Nicotiana tabacum OX=4097 PE=2 SV=1
g1641	SDR1	(+)-neomenthol dehydrogenase	Q9M2E2	Arabidopsis thaliana	Aldehyde reductase that catalyzes the reduction of the aldehyde carbonyl groups on saturated and alpha,beta-unsaturated aldehydes with more than 5 carbons (PubMed:21169366). Involved in basal resistance against pathogens. {ECO:0000269|PubMed:18599651, ECO:0000269|PubMed:21169366}.	sp|Q9M2E2|SDR1_ARATH	3702	61.486	97	2.67e-128	370	sp|Q9M2E2|SDR1_ARATH (+)-neomenthol dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=SDR1 PE=1 SV=1	N/A	N/A	1	1	296	0	SDR1_ARATH	(+)-neomenthol dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=SDR1 PE=1 SV=1
g1642	At4g00590	Putative threonine aspartase	O65268	Arabidopsis thaliana	NA	sp|O65268|TASP1_ARATH	3702	58.78	99	7.519999999999999e-168	479	sp|O65268|TASP1_ARATH Putative threonine aspartase OS=Arabidopsis thaliana OX=3702 GN=At4g00590 PE=2 SV=3	N/A	N/A	2	3	410	0	TASP1_ARATH	Putative threonine aspartase OS=Arabidopsis thaliana OX=3702 GN=At4g00590 PE=2 SV=3
g16964	EMB1027	Arginine--tRNA ligase, chloroplastic/mitochondrial	O23247	Arabidopsis thaliana	Forms part of a macromolecular complex that catalyzes the attachment of specific amino acids to cognate tRNAs during protein synthesis. {ECO:0000250|UniProtKB:P54136}.	sp|O23247|SYRM_ARATH	3702	75.468	69	0	932	sp|O23247|SYRM_ARATH Arginine--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=EMB1027 PE=1 SV=1	N/A	N/A	1	1	587	0	SYRM_ARATH	Arginine--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=EMB1027 PE=1 SV=1
g16965	DDB_G0289029	IST1-like protein	Q54I39	Dictyostelium discoideum	NA	sp|Q54I39|IST1L_DICDI	44689	26.286	21	6.38e-10	65.5	sp|Q54I39|IST1L_DICDI IST1-like protein OS=Dictyostelium discoideum OX=44689 GN=DDB_G0289029 PE=3 SV=1	N/A	N/A	3	1	175	0	IST1L_DICDI	IST1-like protein OS=Dictyostelium discoideum OX=44689 GN=DDB_G0289029 PE=3 SV=1
g1736	RH26	DEAD-box ATP-dependent RNA helicase 26	Q9FNM7	Arabidopsis thaliana	NA	sp|Q9FNM7|RH26_ARATH	3702	57.843	96	0	851	sp|Q9FNM7|RH26_ARATH DEAD-box ATP-dependent RNA helicase 26 OS=Arabidopsis thaliana OX=3702 GN=RH26 PE=1 SV=2	N/A	N/A	1	2	816	0	RH26_ARATH	DEAD-box ATP-dependent RNA helicase 26 OS=Arabidopsis thaliana OX=3702 GN=RH26 PE=1 SV=2
