Orthogroup	Boltonia_decurrens_hap1_1.0_CDS	Arabidopsis_thaliana_GCF_000001735.4_CDS
OG0000137	g1630.t1, g24206.t1, g13198.t1	lcl|NC_003075.7_cds_NP_001329750.1_29773, lcl|NC_003075.7_cds_NP_001329749.1_29775, lcl|NC_003075.7_cds_NP_567160.1_29774, lcl|NC_003071.7_cds_NP_001324696.1_19047, lcl|NC_003071.7_cds_NP_565963.2_19046, lcl|NC_003075.7_cds_NP_192922.1_31419, lcl|NC_003075.7_cds_NP_192921.1_31417, lcl|NC_003075.7_cds_NP_001329644.1_31416, lcl|NC_003075.7_cds_NP_849539.1_31412, lcl|NC_003075.7_cds_NP_001328718.1_31414, lcl|NC_003075.7_cds_NP_001328719.1_31415, lcl|NC_003075.7_cds_NP_192920.3_31413
OG0000142	g13316.t1	lcl|NC_003075.7_cds_NP_001329561.1_34434
OG0000142	g3839.t1	lcl|NC_003075.7_cds_NP_194344.2_34432, lcl|NC_003075.7_cds_NP_001329560.1_34431, lcl|NC_003075.7_cds_NP_001329558.1_34433, lcl|NC_003075.7_cds_NP_001329555.1_34435, lcl|NC_003075.7_cds_NP_001329557.1_34437, lcl|NC_003075.7_cds_NP_001329554.1_34436, lcl|NC_003075.7_cds_NP_001329559.1_34429, lcl|NC_003075.7_cds_NP_001329556.1_34430, lcl|NC_003075.7_cds_NP_849553.1_34428, lcl|NC_003076.8_cds_NP_200498.1_46043, lcl|NC_003074.8_cds_NP_190852.2_27679, lcl|NC_003074.8_cds_NP_001325739.1_27678
OG0000164	g28239.t1, g23462.t1	lcl|NC_003074.8_cds_NP_001325644.1_28575, lcl|NC_003074.8_cds_NP_001325646.1_28572, lcl|NC_003074.8_cds_NP_001325649.1_28571, lcl|NC_003074.8_cds_NP_001325645.1_28566, lcl|NC_003074.8_cds_NP_001319779.1_28567, lcl|NC_003074.8_cds_NP_001325651.1_28568, lcl|NC_003074.8_cds_NP_001325647.1_28569, lcl|NC_003074.8_cds_NP_001325648.1_28570, lcl|NC_003074.8_cds_NP_567048.1_28573, lcl|NC_003071.7_cds_NP_001323674.1_18999, lcl|NC_003071.7_cds_NP_565958.1_19000, lcl|NC_003074.8_cds_NP_001325650.1_28574
OG0000169	g24528.t1, g1886.t1	lcl|NC_003076.8_cds_NP_196346.1_38331, lcl|NC_003076.8_cds_NP_001032122.1_47030, lcl|NC_003076.8_cds_NP_001330765.1_47027, lcl|NC_003076.8_cds_NP_001318861.1_47028, lcl|NC_003076.8_cds_NP_568946.1_47029, lcl|NC_003076.8_cds_NP_001330766.1_47023, lcl|NC_003076.8_cds_NP_001330767.1_47024, lcl|NC_003076.8_cds_NP_001330768.1_47021, lcl|NC_003076.8_cds_NP_001330764.1_47022, lcl|NC_003076.8_cds_NP_001330769.1_47020, lcl|NC_003076.8_cds_NP_001330771.1_47026, lcl|NC_003076.8_cds_NP_001330770.1_47025
OG0000193	g32777.t1	lcl|NC_003070.9_cds_NP_974037.1_8314, lcl|NC_003070.9_cds_NP_001323277.1_8312, lcl|NC_003070.9_cds_NP_175977.1_8313, lcl|NC_003070.9_cds_NP_974036.2_8315, lcl|NC_003070.9_cds_NP_001323278.1_8309, lcl|NC_003070.9_cds_NP_001323275.1_8311, lcl|NC_003070.9_cds_NP_001323276.1_8310
OG0000193	g14420.t1	lcl|NC_003075.7_cds_NP_849448.4_34506, lcl|NC_003075.7_cds_NP_567747.4_34505, lcl|NC_003075.7_cds_NP_001328772.1_34504, lcl|NC_003075.7_cds_NP_001320072.1_34503
OG0000198	g32183.t1, g32186.t1, g32184.t1, g20716.t1, g33896.t1, g32182.t1, g35100.t1, g32185.t2, g32185.t1, g1394.t1, g32190.t1, g32190.t2	lcl|NC_003071.7_cds_NP_179503.1_14637
OG0000205	g30592.t1	lcl|NC_003074.8_cds_NP_001319527.1_22395, lcl|NC_003074.8_cds_NP_001189866.1_22396, lcl|NC_003074.8_cds_NP_187809.3_22398, lcl|NC_003074.8_cds_NP_001325623.1_22397, lcl|NC_003076.8_cds_NP_001332376.1_38213, lcl|NC_003076.8_cds_NP_001332375.1_38212, lcl|NC_003076.8_cds_NP_001332377.1_38214, lcl|NC_003076.8_cds_NP_001332374.1_38211, lcl|NC_003076.8_cds_NP_001332372.1_38207, lcl|NC_003076.8_cds_NP_001332373.1_38208, lcl|NC_003076.8_cds_NP_001318493.1_38209, lcl|NC_003076.8_cds_NP_196285.5_38210
OG0000231	g18248.t1, g11952.t1, g31211.t1, g13766.t1	lcl|NC_003075.7_cds_NP_194071.1_33861, lcl|NC_003070.9_cds_NP_001077441.1_139, lcl|NC_003070.9_cds_NP_171668.1_138, lcl|NC_003071.7_cds_NP_001078066.1_19801, lcl|NC_003071.7_cds_NP_182120.1_19800, lcl|NC_003071.7_cds_NP_001078067.1_19799, lcl|NC_003074.8_cds_NP_001078323.1_29327, lcl|NC_003074.8_cds_NP_191702.1_29328
OG0000233	g12834.t1, g12832.t1, g12928.t1	lcl|NC_003070.9_cds_NP_563838.1_1735
OG0000233	g33789.t1, g33794.t1, g9609.t1, g9911.t1, g7754.t1	lcl|NC_003076.8_cds_NP_568228.1_38889, lcl|NC_003074.8_cds_NP_189372.1_25376, lcl|NC_003076.8_cds_NP_201338.1_47670
OG0000234	g13000.t1	lcl|NC_003070.9_cds_NP_001323226.1_2069, lcl|NC_003070.9_cds_NP_001323227.1_2070, lcl|NC_003070.9_cds_NP_172551.1_2068, lcl|NC_003070.9_cds_NP_176274.1_8894, lcl|NC_003070.9_cds_NP_001185274.1_8891, lcl|NC_003070.9_cds_NP_001319277.1_8892, lcl|NC_003070.9_cds_NP_176267.3_8883, lcl|NC_003070.9_cds_NP_001323339.1_8884, lcl|NC_003070.9_cds_NP_564761.1_8888, lcl|NC_003070.9_cds_NP_176268.1_8885, lcl|NC_003070.9_cds_NP_564762.2_8890
OG0000242	g25256.t1	lcl|NC_003070.9_cds_NP_001319430.1_12582, lcl|NC_003070.9_cds_NP_178181.1_12581, lcl|NC_003070.9_cds_NP_001320419.1_12584, lcl|NC_003070.9_cds_NP_001320420.1_12583
OG0000242	g33544.t1, g4895.t1	lcl|NC_003071.7_cds_NP_179486.1_14612, lcl|NC_003071.7_cds_NP_001324052.1_14613, lcl|NC_003071.7_cds_NP_001324051.1_14614, lcl|NC_003075.7_cds_NP_194748.1_35208, lcl|NC_003075.7_cds_NP_001190870.1_35209
