qseqid	gene	protein_name	uniprot_acc	organism	Function	niche_module	concise_function	floodplain_vs_upland_interpretation	region_ID	region_chr	region_start	region_end	gene_chr	gene_start	gene_end	gene_strand
g11049	rpmF	Large ribosomal subunit protein bL32	Q1GT88	Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256)	NA	NA	NA	NA	3_51925000	Chr_3	51920000	51930000	Chr_3	51922400	51924865	-
g11467	RGGB	RGG repeats nuclear RNA binding protein B	O23593	Arabidopsis thaliana	Ribosome-binding protein that acts as a regulator of mRNA translation by promoting ribosome inactivation (By similarity). Binds RNA (By similarity). {ECO:0000250|UniProtKB:Q5XJA5, ECO:0000250|UniProtKB:Q9SQ56}.	NA	NA	NA	3_56565000	Chr_3	56560000	56570000	Chr_3	56559976	56563019	-
g12067	RCD1	Inactive poly [ADP-ribose] polymerase RCD1	Q8RY59	Arabidopsis thaliana	Inactive ADP-ribosyltransferase that functions with SRO1 to regulate oxidative stress, hormonal and developmental responses. Required for embryogenesis, vegetative and reproductive development, and abiotic stress responses. May regulate several stress-responsive genes. Seems to play a larger developmental role than SRO1. Does not bind NAD in vitro. {ECO:0000269|PubMed:11018516, ECO:0000269|PubMed:11041881, ECO:0000269|PubMed:14657410, ECO:0000269|PubMed:15208394, ECO:0000269|PubMed:15728341, ECO:0000269|PubMed:16926493, ECO:0000269|PubMed:19548978, ECO:0000269|PubMed:19625634, ECO:0000269|PubMed:20226034, ECO:0000269|PubMed:21172813}.	Stress_ABA_ROS	Regulator of oxidative and hormonal stress responses integrating multiple abiotic stress signals.	Divergence here could tune how genotypes handle ROS and hormone signaling during flooding, re-oxygenation, and chronic upland drought.	3_63085000	Chr_3	63080000	63090000	Chr_3	63082722	63086227	-
g12068	abhd17c	Alpha/beta hydrolase domain-containing protein 17C	Q7ZVZ7	Danio rerio	Hydrolyzes fatty acids from S-acylated cysteine residues in proteins. Has depalmitoylating activity towards nras. {ECO:0000250|UniProtKB:Q6PCB6}.	NA	NA	NA	3_63105000	Chr_3	63100000	63110000	Chr_3	63105992	63110072	+
g12105	PP2C42	Probable protein phosphatase 2C 42	Q0V7V2	Arabidopsis thaliana	Dephosphorylates and represses plasma membrane H(+)-ATPases (PM H(+)-ATPases, e.g. AHA1 and AHA2), thus influencing negatively plant growth and fitness (PubMed:24858935). Promotes the apical hook maintenance of etiolated seedlings (PubMed:24858935). {ECO:0000269|PubMed:24858935}.	NA	NA	NA	3_63515000	Chr_3	63510000	63520000	Chr_3	63512179	63515225	-
g12106	SIS8	Probable serine/threonine-protein kinase SIS8	Q9C9U5	Arabidopsis thaliana	Acts as a negative regulator of salt tolerance (PubMed:18299802). Mediates sugar response during early seedling development (PubMed:24320620). {ECO:0000269|PubMed:18299802, ECO:0000269|PubMed:24320620}.	Stress_ABA_ROS	Kinase linking salt tolerance with sugar signaling during early seedling development.	Could drive differences in seedling establishment under osmotic stress and carbon limitation in floodplains versus uplands.	3_63525000	Chr_3	63520000	63530000	Chr_3	63523848	63530114	-
g12166	ASP5	Aspartate aminotransferase, chloroplastic	P46248	Arabidopsis thaliana	Amino acid aminotransferase important for the metabolism of amino acids and Krebs-cycle related organic acids. No activity with D-Asp or D-Ala as amino donors. In plants, it is involved in nitrogen metabolism and in aspects of carbon and energy metabolism. {ECO:0000269|PubMed:18318836, ECO:0000269|PubMed:7766905, ECO:0000269|PubMed:9535706}.	Nutrient_P_N	Chloroplastic aminotransferase central to nitrogen and carbon metabolism.	Could reflect divergent optimization of N and C use under contrasting soil fertility and redox regimes in floodplain vs upland soils.	3_64145000	Chr_3	64140000	64150000	Chr_3	64133866	64140571	+
g12167	At1g80640	Probable receptor-like protein kinase At1g80640	Q0V7T5	Arabidopsis thaliana	NA	NA	NA	NA	3_64145000	Chr_3	64140000	64150000	Chr_3	64143850	64146945	-
g13193	PUB4	U-box domain-containing protein 4	O22193	Arabidopsis thaliana	Functions as an E3 ubiquitin ligase. {ECO:0000250}.	NA	NA	NA	4_735000	Chr_4	730000	740000	Chr_4	730103	731779	-
g1629	LPEAT2	Lysophospholipid acyltransferase LPEAT2	Q8S8S2	Arabidopsis thaliana	Possesses acyl-CoA-dependent lysophospholipid acyltransferase activity with a subset of lysophospholipids as substrates (PubMed:19445718, PubMed:28408542). Exhibits strong acylation activity on lysophosphatidylethanolamine (LPE), and lower activity on lysophosphatidylcholine (LPC) and lysophosphatidylserine (LPS) (PubMed:19445718). Exhibits acylation activity on both LPE and LPC (PubMed:28408542). Has a preference for 18:1-LPE over 16:0-LPE as acceptor (PubMed:19445718). Palmitoyl-CoA (16:0-CoA) is a better acyl donor than oleoyl-CoA (18:1-CoA) (PubMed:19445718, PubMed:28408542). Among several different acyl-CoA species the best acyl donor is eicosanoyl-CoA (20:0-CoA) (PubMed:28408542). Activity is calcium-independent (PubMed:19445718). Its activity is essential for maintaining adequate levels of phosphatidylethanolamine (PE), LPE and LPC in the cells, which is crucial for plant growth regulation (PubMed:28408542). {ECO:0000269|PubMed:19445718, ECO:0000269|PubMed:28408542}.	Nutrient_P_N	Enzyme controlling phospholipid acyl composition and membrane lipid homeostasis.	Membrane remodeling differences here may help floodplain plants tolerate submergence and recovery compared to upland plants.	1_24625000	Chr_1	24620000	24630000	Chr_1	24628829	24635651	-
