CHROM	POS	bin_id	Intersect_Name
1	3532025	1:3000001-6000000	1
1	19305925	1:18000001-21000000	2
1	22598508	1:21000001-24000000	3
2	10616572	2:9000001-12000000	4
2	19680743	2:18000001-21000000	5
2	42273072.5	2:42000001-45000000	6
4	21292497	4:21000001-24000000	7
4	33587117	4:33000001-36000000	8
4	38625830	4:36000001-39000000	9
5	6853697	5:6000001-9000000	10
5	17516475	5:15000001-18000000	11
5	21157545	5:21000001-24000000	12
6	26563846	6:24000001-27000000	13
7	23039518	7:21000001-24000000	14
8	14472193	8:12000001-15000000	15
8	16499007	8:15000001-18000000	16
8	20066266	8:18000001-21000000	17
9	14167459	9:12000001-15000000	18
9	51146750.5	9:51000001-54000000	19
