ID	CHROM	POSITION	START	END
1_24625000	1	24625000	24620000	24630000
1_33705000	1	33705000	33700000	33710000
1_37165000	1	37165000	37160000	37170000
1_40215000	1	40215000	40210000	40220000
1_46845000	1	46845000	46840000	46850000
1_46885000	1	46885000	46880000	46890000
2_12245000	2	12245000	12240000	12250000
3_46825000	3	46825000	46820000	46830000
3_51925000	3	51925000	51920000	51930000
3_56565000	3	56565000	56560000	56570000
3_56745000	3	56745000	56740000	56750000
3_63085000	3	63085000	63080000	63090000
3_63105000	3	63105000	63100000	63110000
3_63515000	3	63515000	63510000	63520000
3_63525000	3	63525000	63520000	63530000
3_64145000	3	64145000	64140000	64150000
4_735000	4	735000	730000	740000
5_25925000	5	25925000	25920000	25930000
5_42345000	5	42345000	42340000	42350000
5_42365000	5	42365000	42360000	42370000
5_42375000	5	42375000	42370000	42380000
6_28655000	6	28655000	28650000	28660000
6_28665000	6	28665000	28660000	28670000
6_37315000	6	37315000	37310000	37320000
6_46765000	6	46765000	46760000	46770000
6_46775000	6	46775000	46770000	46780000
7_4215000	7	4215000	4210000	4220000
7_4285000	7	4285000	4280000	4290000
7_17465000	7	17465000	17460000	17470000
7_25805000	7	25805000	25800000	25810000
7_25815000	7	25815000	25810000	25820000
7_25885000	7	25885000	25880000	25890000
8_28345000	8	28345000	28340000	28350000
8_30125000	8	30125000	30120000	30130000
8_32825000	8	32825000	32820000	32830000
8_32845000	8	32845000	32840000	32850000
9_4105000	9	4105000	4100000	4110000
9_5505000	9	5505000	5500000	5510000
9_5815000	9	5815000	5810000	5820000
9_23085000	9	23085000	23080000	23090000
9_25265000	9	25265000	25260000	25270000
9_54035000	9	54035000	54030000	54040000
