qseqid	gene	protein_name	uniprot_acc	organism	Function
g1101	At4g20840	Berberine bridge enzyme-like 21	Q9SVG3	Arabidopsis thaliana	NA
g1102	yabD	Uncharacterized metal-dependent hydrolase YabD	P37545	Bacillus subtilis (strain 168)	NA
g1103	BUsg_343	Uncharacterized metal-dependent hydrolase BUsg_343	Q8K9J1	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	NA
g1104	ycfH	Uncharacterized metal-dependent hydrolase YcfH	P0AFQ7	Escherichia coli (strain K12)	Has D-tyrosyl-tRNA deacylase activity in vitro. {ECO:0000269|PubMed:19332551}.
g1105	BGAL8	Beta-galactosidase 8	Q9SCV4	Arabidopsis thaliana	NA
g1108	ZAN	Zonadhesin	Q9Y493	Homo sapiens	Binds in a species-specific manner to the zona pellucida of the egg. May be involved in gamete recognition and/or signaling.
g1109	TP53I3	Quinone oxidoreductase PIG3	Q53FA7	Homo sapiens	Catalyzes the NADPH-dependent reduction of quinones (PubMed:19349281). Exhibits a low enzymatic activity with beta-naphthoquinones, with a strong preference for the ortho-quinone isomer (1,2-beta-naphthoquinone) over the para isomer (1,4-beta-naphthoquinone). Also displays a low reductase activity for non-quinone compounds such as diamine and 2,6-dichloroindophenol (in vitro) (PubMed:19349281). Involved in the generation of reactive oxygen species (ROS) (PubMed:19349281). {ECO:0000269|PubMed:19349281}.
g1111	ZAN	Zonadhesin	Q9Y493	Homo sapiens	Binds in a species-specific manner to the zona pellucida of the egg. May be involved in gamete recognition and/or signaling.
g1112	AGO8	Protein argonaute 8	Q3E984	Arabidopsis thaliana	Involved in RNA-mediated post-transcriptional gene silencing (PTGS). Main component of the RNA-induced silencing complex (RISC) that binds to a short guide RNA such as a microRNA (miRNA) or small interfering RNA (siRNA). RISC uses the mature miRNA or siRNA as a guide for slicer-directed cleavage of homologous mRNAs to repress gene expression (By similarity). {ECO:0000250}.
g1113	NA	Retrovirus-related Pol polyprotein from transposon TNT 1-94	P10978	Nicotiana tabacum	NA
g1117	NDA1	Internal alternative NAD(P)H-ubiquinone oxidoreductase A1, mitochondrial	Q8GWA1	Arabidopsis thaliana	Alternative NADH-ubiquinone oxidoreductase which catalyzes the oxidation of mitochondrial NADH does not translocate protons across the inner mitochondrial membrane. {ECO:0000250}.
g1120	Os03g0255100	Beta-galactosidase 6	Q10NX8	Oryza sativa subsp. japonica	Releases galactose by hydrolysis of plant cell wall galactose-containing polysaccharides such as galacto-xyloglucan, pectic galactan and galactan (in vitro). {ECO:0000269|PubMed:12723614}.
g1121	yabD	Uncharacterized metal-dependent hydrolase YabD	P37545	Bacillus subtilis (strain 168)	NA
g1122	yabD	Uncharacterized metal-dependent hydrolase YabD	P37545	Bacillus subtilis (strain 168)	NA
g1146	NDA1	Internal alternative NAD(P)H-ubiquinone oxidoreductase A1, mitochondrial	M0ZYF3	Solanum tuberosum	Alternative NADH-ubiquinone oxidoreductase which catalyzes the oxidation of mitochondrial NADH does not translocate protons across the inner mitochondrial membrane. {ECO:0000250}.
g1149	AHL	3',5'-bisphosphate nucleotidase AHL	Q38945	Arabidopsis thaliana	Phosphatase that converts adenosine 3'-phosphate 5'-phosphosulfate (PAPS) to adenosine 5'-phosphosulfate (APS) and 3'-phosphoadenosine 5'-phosphate (3'-PAP) to AMP (PubMed:10205895). May regulate the flux of sulfur in the sulfur-activation pathway by converting PAPS to APS (By similarity). Prevents both the toxicity of PAP on RNA processing enzymes as well as the product inhibition by PAP of sulfate conjugation. {ECO:0000250|UniProtKB:Q42546, ECO:0000269|PubMed:10205895}.
g1150	SCAMP3	Secretory carrier-associated membrane protein 3	Q9M5P2	Arabidopsis thaliana	Probably involved in membrane trafficking. {ECO:0000250}.
g1151	DHDPS2	4-hydroxy-tetrahydrodipicolinate synthase 2, chloroplastic	Q9FVC8	Arabidopsis thaliana	Catalyzes the condensation of (S)-aspartate-beta-semialdehyde [(S)-ASA] and pyruvate to 4-hydroxy-tetrahydrodipicolinate (HTPA). {ECO:0000250}.
g1203	At2g20760	Clathrin light chain 1	Q9SKU1	Arabidopsis thaliana	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles.
g1295	IQD10	Protein IQ-DOMAIN 10	Q9LKA0	Arabidopsis thaliana	May be involved in cooperative interactions with calmodulins or calmodulin-like proteins (By similarity). Recruits calmodulin proteins to microtubules, thus being a potential scaffold in cellular signaling and trafficking (By similarity). May associate with nucleic acids and regulate gene expression at the transcriptional or post-transcriptional level (By similarity). {ECO:0000250|UniProtKB:Q9SF32}.
g1296	tmem120	Transmembrane protein 120 homolog	Q54IK2	Dictyostelium discoideum	NA
g1297	NUDT15	Nudix hydrolase 15, mitochondrial	Q8GYB1	Arabidopsis thaliana	Coenzyme A diphosphatase which mediates the cleavage of oxidized CoA. Can use malonyl-CoA, hexanoyl-CoA, lauroyl-CoA, myristoyl-CoA and palmitoyl-CoA as substrates, but not isobutyryl-CoA or propionyl-CoA.
g1298	NUDT15	Nudix hydrolase 15, mitochondrial	Q8GYB1	Arabidopsis thaliana	Coenzyme A diphosphatase which mediates the cleavage of oxidized CoA. Can use malonyl-CoA, hexanoyl-CoA, lauroyl-CoA, myristoyl-CoA and palmitoyl-CoA as substrates, but not isobutyryl-CoA or propionyl-CoA.
g1430	Os01g0618500	DEAD-box ATP-dependent RNA helicase 26	Q0JL73	Oryza sativa subsp. japonica	NA
