bin_i	bin_j	mean_r2	n_pairs
1:17410001-17420000	1:19750001-19760000	0.00144273	3920
1:17710001-17720000	1:19040001-19050000	0.00555419	24297
1:18490001-18500000	1:18750001-18760000	0.00199121	21780
1:17980001-17990000	1:18660001-18670000	0.023524	28925
1:19250001-19260000	1:21270001-21280000	0.00248717	14508
1:19260001-19270000	1:19300001-19310000	0.0141382	720
1:17840001-17850000	1:18560001-18570000	0.0020243	6240
1:17990001-18000000	1:20660001-20670000	0.0011841	1904
1:18470001-18480000	1:21130001-21140000	0.00156328	12580
1:19500001-19510000	1:21180001-21190000	0.00244853	73563
1:17430001-17440000	1:17600001-17610000	0.0019817	32062
1:19110001-19120000	1:21170001-21180000	0.00335262	54112
1:19680001-19690000	1:20080001-20090000	0.00486032	229384
1:19210001-19220000	1:19920001-19930000	0.00149045	200
1:19120001-19130000	1:19200001-19210000	0.0241352	8322
1:20670001-20680000	1:21050001-21060000	0.00254259	217100
1:20180001-20190000	1:21080001-21090000	0.00385068	67614
1:20350001-20360000	1:20810001-20820000	0.00455378	67080
1:19390001-19400000	1:19630001-19640000	0.0128869	137326
1:18880001-18890000	1:19540001-19550000	0.00751136	8832
1:18850001-18860000	1:20560001-20570000	0.00485045	13203
1:20210001-20220000	1:20710001-20720000	0.00158429	3497
1:18190001-18200000	1:20500001-20510000	0.0163934	6240
1:18250001-18260000	1:19470001-19480000	0.00147635	13500
1:18710001-18720000	1:20460001-20470000	0.00447653	26536
1:17930001-17940000	1:20320001-20330000	0.00263475	28272
1:17470001-17480000	1:19330001-19340000	0.00308194	8325
1:17440001-17450000	1:20350001-20360000	0.00204202	55640
1:17960001-17970000	1:19300001-19310000	0.00594927	8544
1:20390001-20400000	1:20420001-20430000	0.00304795	9734
1:18110001-18120000	1:19370001-19380000	0.00538714	45050
1:17330001-17340000	1:19230001-19240000	0.00141995	20460
1:17420001-17430000	1:19950001-19960000	0.00282066	21924
1:17760001-17770000	1:18040001-18050000	0.00334575	9342
1:17850001-17860000	1:18760001-18770000	0.00656236	14820
1:18970001-18980000	1:21300001-21310000	0.00320051	29008
1:17440001-17450000	1:17800001-17810000	0.00292555	52858
1:18340001-18350000	1:21230001-21240000	0.00126406	292
1:17710001-17720000	1:18660001-18670000	0.00790609	86775
1:20680001-20690000	1:21250001-21260000	0.00249529	29040
1:19670001-19680000	1:19880001-19890000	0.0135931	143220
1:19550001-19560000	1:20180001-20190000	0.00434692	148980
1:18200001-18210000	1:21130001-21140000	0.00365907	8880
1:20540001-20550000	1:21150001-21160000	0.00325239	103155
1:18770001-18780000	1:20040001-20050000	0.00345385	69264
1:20220001-20230000	1:20910001-20920000	0.00130826	1944
1:19530001-19540000	1:19780001-19790000	0.00770138	58993
1:19410001-19420000	1:20080001-20090000	0.00266239	66144
1:20400001-20410000	1:21050001-21060000	0.0038107	186550
1:18750001-18760000	1:19640001-19650000	0.0151251	64680
1:18720001-18730000	1:20660001-20670000	0.00235366	25228
1:18260001-18270000	1:19670001-19680000	0.00183837	28210
1:17480001-17490000	1:19530001-19540000	0.003934	134695
1:17970001-17980000	1:19500001-19510000	0.00906574	31188
1:17940001-17950000	1:20520001-20530000	0.00304765	34440
1:19180001-19190000	1:19990001-20000000	0.0068397	37576
1:18610001-18620000	1:19540001-19550000	0.00219609	20792
1:18120001-18130000	1:19570001-19580000	0.00334654	24180
1:17340001-17350000	1:19430001-19440000	0.00214582	3861
1:17830001-17840000	1:19400001-19410000	0.00350726	502
1:17800001-17810000	1:20420001-20430000	0.00198738	7657
1:17860001-17870000	1:18960001-18970000	0.00837493	22912
1:17490001-17500000	1:20160001-20170000	0.00301627	5895
1:17630001-17640000	1:18140001-18150000	0.00181945	3654
1:17310001-17320000	1:17900001-17910000	0.00456218	149379
1:19560001-19570000	1:20380001-20390000	0.00200065	38918
1:18700001-18710000	1:21300001-21310000	0.00287651	28268
1:18480001-18490000	1:20950001-20960000	0.0022251	15000
1:19910001-19920000	1:20250001-20260000	0.00413923	12626
1:19540001-19550000	1:19980001-19990000	0.00206274	9016
1:19420001-19430000	1:20280001-20290000	0.00145704	19018
1:17490001-17500000	1:17610001-17620000	0.00694812	2910
1:18240001-18250000	1:20990001-21000000	0.00458134	627
1:20900001-20910000	1:21220001-21230000	0.00374576	2409
1:20410001-20420000	1:21250001-21260000	0.00357637	58344
1:18340001-18350000	1:20850001-20860000	0.000966988	26
1:18180001-18190000	1:19150001-19160000	0.0136464	5117
1:18670001-18680000	1:19120001-19130000	0.014352	103806
1:18760001-18770000	1:19840001-19850000	0.02026	3900
1:18640001-18650000	1:20140001-20150000	0.00296735	13529
1:18390001-18400000	1:21040001-21050000	0.0025549	596
1:20680001-20690000	1:20870001-20880000	0.00460387	23100
1:19400001-19410000	1:19880001-19890000	0.00785657	82830
1:19390001-19400000	1:20390001-20400000	0.00291712	74732
1:17560001-17570000	1:20710001-20720000	0.00128413	1430
1:17980001-17990000	1:19700001-19710000	0.00996644	14418
1:18040001-18050000	1:19050001-19060000	0.0134016	3287
1:18130001-18140000	1:19770001-19780000	0.00310618	11615
1:18530001-18540000	1:19020001-19030000	0.0015502	12824
